Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	1997	43	43	2	43		43			914412	914412	43	admin		R: AP	Legacy estimate.   GoC=R+	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	1998	35	35	2		35	35			940233	940233	35	gov		R:	Estimate informed by reported data.  EPI Coverage Situation in Women and Children of Afghanistan, Report of Post NIDÿs, Routine Coverage and Acceleration Campaign Survey in Afghanistan (1999) results ignored by working group.  Survey includes immunizations given during national immunization days.  GoC=R+	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	1999	38	38	2	43	38	38	381008	878443	967977	967977	38	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 223 less than 300. Afghanistan Multiple Indicator Cluster Survey, 2000, East of Afghanistan results ignored by working group.  Survey includes immunizations given during national immunization days.  GoC=R+ D+	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	2000	30	30	1	38	30	30	412754	1079435	995813	995813	30	gov		R:	Estimate informed by reported data.   Data reflects unstable situation in the country.  Estimate challenged by: D-	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	2001	43	43	2	66	43	43	494628	747690	969246	969246	43	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	2002	46	46	1	59	46	46	558125	943215	980458	980458	46	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	2003	44	44	1	56	44	44	652071	1159028	1063246	1063246	44	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	2004	51	51	2	65	51	51			1097160	1097160	51	gov		R:	Estimate informed by reported data.    GoC=R+	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	2005	57	57	1	73	57	57	888419	1215335	1099366	1099366	57	gov		R:	Estimate informed by reported data.  Afghanistan Health Survey 2006 results ignored by working group.  Survey is not nationally representative and does not include 5 provinces. Card retention was 17 percent.  Estimate challenged by: D-	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	2006	60	60	1	77	60	60	961705	1254168	1136774	1136774	60	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	2007	60	60	1	77	60	60	991297	1282605	1156957	1156957	60	gov		R:	Estimate informed by reported data.  National Risk and Vulnerability Assessment 2007/8: A profile of Afghanistan results ignored by working group.  Survey shows inconsistent results between levels of BCG and DTP coverage.  Estimate challenged by: D-	
Afghanistan	Wed Sep 06 18:35:26 2023	afg	bcg	2008	66	66	1	85	66	66	1116419	1315091	1091824	1091824	66	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
