Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	1997	70	70	2		70	70			718872	718872	70	gov		R: AP	Legacy estimate.   GoC=R+	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	1998	60	60	1		85	85			736639	736639	61	interpolated		C:	Reported data calibrated to 1997 and 2007 levels.  Reported data excluded due to an increase from 70 percent to 85 percent with decrease 52 percent.   Estimate challenged by: R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	1999	49	49	1	52	52	52	303741	586605	757141	757141	52	gov		C:	Reported data calibrated to 1997 and 2007 levels.   The resurgence of the war in December 1998 weakened the capacity of the Ministry of Health to carry out immunization activities. In 1999 only 18 of 164 districts reported. Since then there has been an improvement in the number of districts reporting (75 p  Estimate challenged by: R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2000	53	53	1	56	56	56	337706	603028	780036	780036	56	gov		C:	Reported data calibrated to 1997 and 2007 levels.  Angola Multiple Indicator Cluster Survey 2001 results ignored by working group.  Survey results ignored; unexplained discrepancy across antigens.  Estimate challenged by: R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2001	70	70	1	74	75	75	460307	619915	804851	804851	75	gov		C:	Reported data calibrated to 1997 and 2007 levels.    Estimate challenged by: D-R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2002	76	76	1	80	82	82	508755	636334	829886	829886	82	gov		C:	Reported data calibrated to 1997 and 2007 levels.    Estimate challenged by: D-R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2003	54	54	1	62	62	62	473807	721200	854768	854768	62	gov		C:	Reported data calibrated to 1997 and 2007 levels.    Estimate challenged by: R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2004	63	63	1	72	72	72	617275	860000	882792	882792	72	gov		C:	Reported data calibrated to 1997 and 2007 levels.    Estimate challenged by: R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2005	51	51	1	61	61	61	535134	884080	911861	911861	61	gov		C:	Reported data calibrated to 1997 and 2007 levels.    Estimate challenged by: R-S-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2006	54	54	1	65	65	65	595058	908829	939039	939039	65	gov		C:	Reported data calibrated to 1997 and 2007 levels.    Estimate challenged by: R-S-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2007	75	75	1	88	88	88	821164	934281	966438	966438	88	gov	75	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 75 percent based on 1 survey(s).    The increase in 2007 is the result of intensive national efforts targeting districts with high levels of unvaccinated children through increased fixed post, outreach, and mobile teams during the second semester of 2007.  GoC=Assigned by working group.  In spite of reported coverage at similar levels between 2007-2011, the dramatic increase in coverage level from 2006 is not supported by an independent source.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2008	73	73	1	87	87	87	832025	960436	993966	993966	87	gov		C:	Reported data calibrated to 2007 and 2013 levels.    GoC=Assigned by working group.  Consistency across antigens given available information.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2009	70	70	1	83	83	83	824007	987331	1022476	1022476	83	gov		C:	Reported data calibrated to 2007 and 2013 levels.    GoC=Assigned by working group.  Consistency across antigens given available information.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2010	79	79	1	93	93	93	939341	1014980	1048894	1048894	93	gov		C:	Reported data calibrated to 2007 and 2013 levels.   The increase in 2010 is the result of intensification of routine immunization through outreach, mobile team activities and increase in cold chain equipment supported by the private sector and international agencies in selected districts.  GoC=Assigned by working group.  Consistency across antigens given available information.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2011	74	74	1	88	88	88	915169	1043399	1074349	1074349	88	gov		C:	Reported data calibrated to 2007 and 2013 levels.    GoC=Assigned by working group.  Consistency across antigens given available information.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2012	73	73	1	87	87	87	936771	1074702	1102911	1102911	87	gov		C:	Reported data calibrated to 2007 and 2013 levels.  EPI Coverage Evaluation Survey, Angola 2013 results ignored by working group.  Summary results from the survey available in PowerPoint format only. Full survey report not available.  GoC=Assigned by working group.  GoC assigned to maintain consistency across vaccines.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2013	71	71	1	85	85	85	942115	1104794	1129971	1129971	85	gov	71	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 71 percent based on 1 survey(s).    Programme reports a one month stockout at national level.  GoC=Assigned by working group.  GoC assigned to maintain consistency across vaccines.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2014	72	72	1	81	81	81	983909	1219172	1156171	1156171	81	gov	72	W: AP	Estimate of 72 percent assigned by working group.  Estimate based on survey for consistency with other antigens.  Decline in reported administrative coverage due in part to change in target population following release of 2014 census results. As such, data suggest coverage levels in prior years are overestimated. DQA conducted during 2014 suggests problems with recording and monitoring of vaccination services.  GoC=Assigned by working group.  GoC assigned to maintain consistency across vaccines.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2015	64	64	1	78	78	78	981520	1253301	1180604	1180604	78	gov		C:	Reported data calibrated to 2014 and 2017 levels.   Programme reports one month national stockout due to financial short-falls.  GoC=Assigned by working group.  GoC assigned to maintain consistency across vaccines.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2016	40	40	1	58	58	58	593717	1017617	1204674	1204674	58	gov		C:	Reported data calibrated to 2014 and 2017 levels.   Revised target population based on projections from the 2014 census. Decline of twelve percent in 2016 compared with 2015. Programme reports BCG stockout..  GoC=Assigned by working group.  GoC assigned to maintain consistency across vaccines.	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2017	69	69	1	92	92	92	967549	1054981	1231485	1231485	92	gov		W: AP	Estimate of 69 percent assigned by working group.  Estimate is based on estimated coverage during 2015 prior to the stockout. Although reported coverage for 2017 suggests recovery from the vaccine supply disruption, the reported coverage level is greater than that observed in 2015 by a magnitude that requires independent verification.   Estimate challenged by: R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2018	72	72	1	95	95	95	1034712	1091825	1257353	1257353	95	gov		C:	Reported data calibrated to 2017 levels.   Estimate challenged by: D-R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2019	69	69	1	92	92	92	1042703	1130660	1284366	1284366	92	gov		C:	Reported data calibrated to 2017 levels.  Reported administrative data reflect incomplete reporting. Programme reports subnational vaccine supply disruptions for all antigens.  Estimate challenged by: D-R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2020	58	58	1	81	81	81	936639	1151492	1312910	1312910	81	gov		C:	Reported data calibrated to 2017 levels.  Country indicates that due to Covid-19 restrictions most health facilities were only partially operational between March and July 2020. Reported administrative data reflect incomplete reporting. Programme reports subnational vaccine supply disruptions for all antigens..  Estimate challenged by: D-R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2021	56	56	1	79	79	79	922812	1172592	1338792	1338792	79	gov		C:	Reported data calibrated to 2017 levels.  Country reports resources redirected to Covid-19 may have contributed to the decline in coverage seen in 2021. Reported administrative data reflect incomplete reporting. Programme reports subnational vaccine supply disruptions for most antigens.  Estimate challenged by: D-R-	
Angola	Wed Sep 06 18:35:39 2023	ago	bcg	2022	60		1	83	83	83	995179	1195331	1359723	1359723	83	gov		C:	Reported data calibrated to 2017 levels.  Programme reports vaccine supply disruptions for all antigens at subnational levels. WHO and UNICEF recommend assessment of the routine monitoring system. WHO and UNICEF are aware of a 2023 Demographic and Health Survey and await the final results.  Estimate challenged by: D-R-	
