Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	1997	94	94	2		94	94			65082	65082	94	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	1998	87	87	2		87	87			61371	61371	87	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).    GoC=R+ S+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	1999	93	93	3	83	93	93	49920	60000	58257	58257	93	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 289 less than 300.   GoC=R+ S+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2000	93	93	1	90	93	93	43715	48732	54861	54861	93	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2001	93	93	1	84	93	93	37668	44896	51320	51320	93	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2002	94	94	1	94	94	94	39683	42216	47945	47945	94	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2003	95	95	2	95	95	95	41883	44042	45781	45781	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2004	97	97	2	97	97	97	40388	41466	43180	43180	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2005	98	98	1	98	98	98	34787	35609	40463	40463	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2006	97	97	2	97	97	97	35797	36942	37946	37946	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2007	98	98	2	98	98	98	34750	35458	36175	36175	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2008	99	99	2	100	100	100	33150	33294	35256	35256	100	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 292 less than 300.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2009	97	97	2	97	97	97	33294	34390	34903	34903	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2010	99	99	2	100	100	100	34427	34531	34904	34904	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2011	97	97	2	97	97	97	34570	35476	35059	35059	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2012	96	96	2	97	96	96	35269	36501	35489	35489	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2013	99	99	2	100	100	100	36168	36273	35555	35555	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2014	99	99	2	100	100	100	35234	35346	35130	35130	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Albania	Wed Sep 06 18:36:04 2023	alb	bcg	2015	99	99	2	100	100	100	33162	33262	33845	33845	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
