Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	1997	96	96	1						756	756	100	extrapolated		W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	1998	96	96	1						751	751	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	1999	96	96	1						813	813	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	2000	99	99	1						728	728	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	2001	96	96	1						753	753	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	2002	99	99	1						796	796	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.    GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	2003	99	99	1						736	736	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	2004	99	99	1						815	815	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	2005	99	99	1						864	864	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	2006	96	96	1						901	901	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	2007	96	96	1						839	839	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Andorra	Wed Sep 06 18:36:12 2023	and	dtp1	2008	99	99	1						910	910	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    GoC=No accepted empirical data	
