Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	1997	98	98	2		98	98			49113	49113	98	gov		R: AP	Legacy estimate.   GoC=R+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	1998	98	98	2		98	98			49459	49459	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	1999	98	98	2	98	98	98	49000	50000	50789	50789	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2000	98	98	2	98	98	98	53711	54807	53456	53456	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2001	98	98	2	98	98	98	56901	58063	55996	55996	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2002	98	98	2	98	98	98	58148	59335	58545	58545	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2003	98	98	2	98	98	98	59829	61050	61647	61647	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2004	98	98	2	98	98	98	58040	59225	63303	63303	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2005	98	98	2	98	98	98	61804	63065	62531	62531	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2006	98	98	2	98	98	98			65308	65308	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2007	98	98	2	98	98	98			76288	76288	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2008	98	98	2		98	98			91138	91138	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2009	98	98	1						105716	105716	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2010	98	98	2	98	98	98			116038	116038	98	gov		R:	Estimate informed by reported data.   GoC=R+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2011	96	96	1						114089	114089	96	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2012	94	94	1	94	94	94	27159	28830	111989	111989	94	gov		R:	Estimate informed by reported data.  Recent trends in reported data on target population and number of children vaccinated, along with exceptionally high reported coverage, appear to suggest that the reported data are not reflective of all areas of the country (i.e., partial reporting).  Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2013	94	94	1	94		94	32147	34108	108953	108953	94	admin		R:	Estimate informed by reported administrative data.   Recent trends in reported data on target population and number of children vaccinated, along with exceptionally high reported coverage, appear to suggest that the reported data are not reflective of all areas of the country (i.e., partial reporting).  Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2014	90	90	1	90	90	90	22277	24830	106019	106019	90	gov		R:	Estimate informed by reported data.  Recent trends in reported data on target population and number of children vaccinated, along with exceptionally high reported coverage, appear to suggest that the reported data are not reflective of all areas of the country (i.e., partial reporting).  Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2015	96	96	1	96	96	96	25197	26370	102419	102419	96	gov		R:	Estimate informed by reported data.  Recent trends in reported data on target population and number of children vaccinated, along with exceptionally high reported coverage, appear to suggest that the reported data are not reflective of all areas of the country (i.e., partial reporting).  Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2016	99	99	1	99	99	99	52941	53683	98939	98939	99	gov		R:	Estimate informed by reported data.  Programme reports an unexplained increase in the target population size from 2015 to 2016 while coverage remained similar.  Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2017	95	95	1	95	95	95	46701	49131	96361	96361	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2018	95	95	1	95	95	95	30682	32313	91874	91874	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2019	94	94	1	94	94	94	46236	49341	89806	89806	94	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2020	86	86	1	86	86	86	62511	72802	98648	98648	86	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2021	99	99	1	99	99	99	51149	51806	96536	96536	99	gov		R:	Estimate informed by reported data. .  Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	bcg	2022	96		1	96	96	96	61356	63942	93343	93343	96	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	1997	97	97	1						49113	49113	96	extrapolated		W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	1998	97	97	1						49459	49459	96	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	1999	96	96	1						50789	50789	96	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2000	96	96	2	96	96	96	52614	54807	53456	53456	96	gov		R: AP	 Estimate based on reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2001	96	96	2	96	96	96	55740	58063	55996	55996	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2002	96	96	2	96	96	96	56961	59335	58545	58545	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2003	96	96	2	96	96	96	58608	61050	61647	61647	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2004	96	96	2	96	96	96	56856	59225	63303	63303	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2005	97	97	2	97	97	97	61173	63065	62531	62531	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2006	97	97	2	97	97	97			65308	65308	97	gov		R:	Estimate informed by reported data.   GoC=R+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2007	97	97	2	97	97	97			76288	76288	97	gov		R:	Estimate informed by reported data.   GoC=R+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2008	96	96	1						91138	91138	96	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2009	95	95	1						105716	105716	95	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2010	94	94	2		94	94			116038	116038	94	gov		R:	Estimate informed by reported data.   GoC=R+	
United Arab Emirates	Wed Sep 06 18:36:19 2023	are	dtp1	2011	95	95	1						114089	114089	95	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
