Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	1997	99	99	1	117	117	117			715945	715945	71	extrapolated		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate. Reported data excluded because 117 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	1998	98	98	1	115	115	115			715365	715365	71	extrapolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 115 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	1999	96	96	1	110	110	110			721366	721366	71	extrapolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 110 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2000	95	95	1	71	71	71	512616	719617	718129	718129	71	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2001	92	92	1	69	69	69	497457	716557	711677	711677	69	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2002	95	95	1	110	110	110	768781	700072	710765	710765	75	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 110 percent greater than 100 percent.   Estimate challenged by: D-R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2003	99	99	1	110	110	110	763579	694573	706544	706544	81	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 110 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2004	99	99	1	108	108	108	753051	699812	709873	709873	88	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 108 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2005	99	99	1	104	104	104	728062	700030	717321	717321	94	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2006	99	99	1	100	100	100	712467	714447	718419	718419	100	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2007	99	99	1	102	102	102	708101	696337	718146	718146	100	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: D-R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2008	99	99	1	104	104	104	746447	718342	717468	717468	100	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2009	99	99	1	102	102	102	746971	729641	726291	726291	100	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2010	99	99	1	103	103	103	754236	731725	734558	734558	101	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2011	99	99	1	107	107	107	785120	733568	739376	739376	101	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 107 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2012	99	99	1	104	104	104	768381	737483	743784	743784	101	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2013	99	99	1	101	101	101	725235	730308	747375	747375	101	gov		C:	Reported data calibrated to 1997 and 2016 levels.   Consistent with other antigens, estimate follows official government estimate.  Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2014	99	99	1	101	101	101	744048	736117	749562	749562	98	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2015	96	96	1	101	101	101	755160	750971	750290	750290	95	interpolated		C:	Reported data calibrated to 1997 and 2016 levels.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2016	92	92	2	92	92	92	682960	744902	734548	734548	92	gov		R: AP	 Estimate based on reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2017	95	95	2	95	95	95	686038	720702	713799	713799	95	gov		R:	Estimate informed by reported data.  Reported data for 2017 are incomplete.  GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2018	93	93	2	93	93	93	646458	692893	674273	674273	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2019	85	85	2	85	85	85	579535	681391	661385	661385	85	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2020	75	75	2	75	75	75	480845	640656	635978	635978	75	gov		R:	Estimate informed by reported data.  Data are preliminary and subject to modifications. Decline in reported coverage is unexplained by country but aligns with COVID-19 pandemic service disruptions.  GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2021	80	81	1	80	80	80	431366	540346	629391	629391	80	gov		R:	Estimate informed by reported data.  Unexplained decline in the infant target population of 15.7 percent between 2020 and 2021. Country advancing in the use of an Electronic Immunization Registry. Estimate of 80 percent changed from previous revision value of 81 percent.  Estimate challenged by: D-	
Argentina	Wed Sep 06 18:36:38 2023	arg	bcg	2022	79		1	79	79	79	416512	530360	627741	627741	79	gov		R:	Estimate informed by reported data.  No vaccination coverage survey in the last 5 years. WHO and UNICEF recommend an independent assessment of the reported vaccination coverage.  Estimate challenged by: D-	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	1997	96	96	1						715945	715945	96	extrapolated		R: AP	Legacy estimate.   GoC=No accepted empirical data	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	1998	96	96	1						715365	715365	96	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	1999	96	96	1						721366	721366	96	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2000	96	96	2				619236	699761	718129	718129	96	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2001	96	96	2				658236	719617	711677	711677	96	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2002	96	96	1						710765	710765	96	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2003	96	96	1						706544	706544	96	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2004	99	99	1	96	96	96	671820	699812	709873	709873	96	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2005	99	99	1	93	93	93	651028	700030	717321	717321	93	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2006	93	93	2	93	93	93	664436	714447	718419	718419	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2007	94	94	2	94	94	94	654557	696337	718146	718146	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2008	97	97	2	97	97	97	697891	718342	717468	717468	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2009	94	94	2	94	94	94	685863	729641	726291	726291	94	gov		R:	Estimate informed by reported data.  DTP-HepB-Hib pentavalent combination vaccine introduced. Previous presentation was DTP-Hib.  GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2010	95	95	2	95	95	95	693675	731725	734558	734558	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2011	94	94	2	94	94	94	692488	733568	739376	739376	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2012	94	94	2	94	94	94	692387	737483	743784	743784	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2013	94	94	2	94	94	94	687351	730308	747375	747375	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2014	98	98	2	98	98	98	722017	736117	749562	749562	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2015	94	94	2	94	94	94	706829	750971	750290	750290	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2016	93	93	1	88	88	88	658719	744902	734548	734548	88	gov		W:	 Estimate is based on interpolation between 2015 and 2017 estimated coverage levels.   Estimate challenged by: R-	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2017	91	91	2	91	91	91	658050	720702	713799	713799	91	gov		R:	Estimate informed by reported data.  Reported data for 2017 are incomplete.  GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2018	91	91	2	91	91	91	629028	692893	674273	674273	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2019	87	87	2	87	87	87	592922	681391	661385	661385	87	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2020	79	79	2	79	79	79	506694	640656	635978	635978	79	gov		R:	Estimate informed by reported data.  Data are preliminary and subject to modifications. Decline in reported coverage is unexplained by country but aligns with COVID-19 pandemic service disruptions.  GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2021	88	82	1	88	88	88	473311	540346	629391	629391	88	gov		R:	Estimate informed by reported data.  Unexplained decline in the infant target population of 15.7 percent between 2020 and 2021. Country advancing in the use of an Electronic Immunization Registry. Estimate of 88 percent changed from previous revision value of 82 percent.  Estimate challenged by: D-	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp1	2022	87		1	87	87	87	463630	530360	627741	627741	87	gov		R:	Estimate informed by reported data.  No vaccination coverage survey in the last 5 years. WHO and UNICEF recommend an independent assessment of the reported vaccination coverage.  Estimate challenged by: D-	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	1997	88	88	2	88	88	88			715945	715945	88	gov		R: AP	Legacy estimate.   GoC=R+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	1998	84	84	2	84	84	84			715365	715365	84	gov		R:	Estimate informed by reported data.   GoC=R+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	1999	86	86	2	86	86	86			721366	721366	86	gov		R:	Estimate informed by reported data.   GoC=R+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2000	83	83	2	83	83	83	593898	719617	718129	718129	83	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2001	83	83	2	83	83	83	593898	716557	711677	711677	83	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2002	93	93	2	93	93	93	647814	700072	710765	710765	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2003	96	96	2	96	96	96	664834	694573	706544	706544	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2004	98	98	2	98	98	98	682594	699812	709873	709873	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2005	98	98	2	98	98	98	686402	700030	717321	717321	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2006	91	91	2	91	91	91	653209	714447	718419	718419	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2007	91	91	2	91	91	91	636053	696337	718146	718146	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2008	93	93	2	93	93	93	671002	718342	717468	717468	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2009	94	94	2	94	94	94	687067	729641	726291	726291	94	gov		R:	Estimate informed by reported data.  DTP-HepB-Hib pentavalent combination vaccine introduced. Previous presentation was DTP-Hib.  GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2010	94	94	2	94	94	94	687067	731725	734558	734558	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2011	91	91	2	91	91	91	664199	733568	739376	739376	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2012	91	91	2	91	91	91	673397	737483	743784	743784	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2013	94	94	2	94	94	94	686092	730308	747375	747375	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2014	94	94	2	94	94	94	693206	736117	749562	749562	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2015	94	94	2	94	94	94	704782	750971	750290	750290	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2016	92	92	2	92	92	92	684223	744902	734548	734548	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2017	86	86	2	86	86	86	619273	720702	713799	713799	86	gov		R:	Estimate informed by reported data.  Reported data for 2017 are incomplete.  GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2018	86	86	2	86	86	86	593292	692893	674273	674273	86	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2019	83	83	2	83	83	83	564185	681391	661385	661385	83	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2020	74	74	2	74	74	74	475907	640656	635978	635978	74	gov		R:	Estimate informed by reported data.  Data are preliminary and subject to modifications. Decline in reported coverage is unexplained by country but aligns with COVID-19 pandemic service disruptions.  GoC=R+ D+	
Argentina	Wed Sep 06 18:36:38 2023	arg	dtp3	2021	81	76	1	81	81	81	438638	540346	629391	629391	81	gov		R:	Estimate informed by reported data.  Unexplained decline in the infant target population of 15.7 percent between 2020 and 2021. Country advancing in the use of an Electronic Immunization Registry. Estimate of 81 percent changed from previous revision value of 76 percent.  Estimate challenged by: D-	
