Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	1997	72	72	1		72	72			48622	48622	72	gov		R: AP	Legacy estimate.   Estimate challenged by: S-	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	1998	95	95	2		95	95			45399	45399	95	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	1999	93	93	1	93	93	93	33643	39753	42867	42867	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	2000	97	97	1	97	97	97	32502	33593	39951	39951	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	2001	96	96	1	96	96	96	30940	32087	38353	38353	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	2002	97	97	1	97	97	97	31403	32380	38062	38062	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	2003	92	92	2	92	92	92	33652	36538	38688	38688	92	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	2004	96	96	2	96	96	96	36223	37811	39508	39508	96	gov		R:	Estimate informed by reported data.  Armenia Demographic and Health Survey 2005 results ignored by working group.  Survey results inconsistent with other survey results. Drop out rates in excess of 20 percentage conflict with other surveys findings of less than 5 percent drop out.  GoC=R+ D+	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	2005	94	94	2	94	94	94	33791	36031	39919	39919	94	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Armenia	Wed Sep 06 18:36:48 2023	arm	bcg	2006	91	91	2	90	91	91	33849	37456	35754	35754	91	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
