Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	1997	99	99	1						1428	1428	89	extrapolated		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.  Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  GoC=No accepted empirical data	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	1998	99	99	1						1336	1336	89	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.   Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  GoC=No accepted empirical data	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	1999	99	99	1						1313	1313	89	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.   Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  GoC=No accepted empirical data	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2000	98	98	1				712		1487	1487	89	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.   Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  Estimate challenged by: D-	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2001	99	99	1	89	89	89	1422	1593	1377	1377	89	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.   Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  Estimate challenged by: R-	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2002	98	98	2	98	98	98	1290	1318	1327	1327	98	gov		R: AP	 Estimate based reported data.  Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  GoC=R+ D+	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2003	99	99	1						1289	1289	95	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.   Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  GoC=No accepted empirical data	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2004	99	99	1	91	91	91	1138	1255	1263	1263	91	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.   Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  Estimate challenged by: R-	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2005	99	99	2	99	99	99	1283	1283	1250	1250	99	gov		R:	Estimate informed by reported data.  Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  GoC=R+ D+	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2006	99	99	1	97	96	96	1182	1221	1252	1252	96	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.   Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  Estimate challenged by: R-	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2007	99	99	1	105	105	105	1300	1244	1280	1280	97	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.  Reported data excluded because 105 percent greater than 100 percent.  Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  Estimate challenged by: R-	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2008	99	99	2	106	106	106	1449	1365	1416	1416	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 106 percent greater than 100 percent.  Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  GoC=R+ D+	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2009	99	99	2	95	100	100	1364	1438	1403	1403	100	gov		R:	Estimate informed by reported data.  Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  GoC=R+ D+	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2010	99	99	1	90		90	1235	1366	1258	1258	90	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.   Trend in official government estimate follows trend in administrative data. There is substantial uncertainty in the provisional estimate due to uncertainty in denominator (last census in 1979) and difficulties in recording and reporting the number of vaccinations delivered by some service providers.  Estimate challenged by: R-	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2011	99	99	1	75	75	75	775	1038	1239	1239	90	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.  Reported data excluded due to decline in reported coverage from 90 percent to 75 percent with increase to 90 percent.   Estimate challenged by: D-R-	
Antigua and Barbuda	Wed Sep 06 18:36:56 2023	atg	dtp1	2012	99	99	1	98	90	90	1190	1215	1182	1182	90	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
