Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	1997	91	91	1						250493	250493	92	extrapolated		W: AP	Estimate of 91 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	1998	84	84	1						248727	248727	92	extrapolated		C:	Reported data calibrated to 1997 and 2010 levels.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	1999	96	96	1						248005	248005	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 88.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2000	96	96	1						248574	248574	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 90.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2001	97	97	1						245871	245871	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2002	97	97	1						249653	249653	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2003	97	97	1						249982	249982	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2004	97	97	1					65513	253295	253295	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2005	97	97	1					62587	262616	262616	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.   Reported data from 2005 onward based on Medicare Australia, Australian Childhood Immunisation Register Coverage Report.  GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2006	97	97	1						269661	269661	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2007	97	97	1						288358	288358	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2008	97	97	1						297654	297654	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2009	97	97	1						297485	297485	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2010	97	97	1						300113	300113	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2011	92	92	2		92	92			299948	299948	92	gov		R: AP	 Estimates based on reported data.   GoC=R+	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2012	92	92	2		92	92			306357	306357	92	gov		R:	Estimate informed by reported data.   GoC=R+	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2013	92	92	1						305523	305523	92	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2014	92	92	1						299548	299548	92	extrapolated		R:	Estimate based on extrapolation from data reported by national government.   Results of an audit of the Australian Immunisation Register (available at https://www.anao.gov.au/work/performance-audit/administration-australian-childhood-immunisation-register) supports reported coverage levels.  GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2015	97	97	1						305209	305209	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2016	98	98	1						309448	309448	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 94.    GoC=No accepted empirical data	
Australia	Wed Sep 06 18:37:07 2023	aus	dtp1	2017	98	98	1						311698	311698	92	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.    GoC=No accepted empirical data	
