Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	1997	96	96	1						84075	84075	64	extrapolated		W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	1998	94	94	1						81119	81119	64	extrapolated		C:	Reported data calibrated to 1997 and 2016 levels.    GoC=No accepted empirical data	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	1999	93	93	1	64	64	64			78059	78059	64	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2000	99	99	1	75	75	75	58818	78138	77772	77772	75	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2001	99	99	1	75	75	75	51863	81233	75404	75404	75	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2002	99	99	1	77	77	77	57978	75458	77477	77477	77	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2003	90	90	1	68	68	68	53419	78399	76515	76515	68	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2004	99	99	1	97	97	97	77823	80186	78187	78187	97	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2005	99	99	1	68	91	91	53673	78877	77691	77691	91	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2006	86	86	1	69	69	69	53660	78313	77517	77517	69	gov		C:	Reported data calibrated to 1997 and 2016 levels.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2007	95	95	1	68	68	68	51388	75808	76004	76004	68	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 85.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2008	94	94	1	65	65	65	50387	77238	77176	77176	65	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 83.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2009	94	94	1	61	61	61	46178	75711	76298	76298	61	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 83.    Estimate challenged by: D-R-	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2010	95	95	1						78061	78061	66	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 86.    GoC=No accepted empirical data	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2011	96	96	1						77842	77842	71	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 89.    GoC=No accepted empirical data	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2012	97	97	1						78392	78392	76	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Austria	Wed Sep 06 18:37:16 2023	aut	dtp1	2013	98	98	1						78867	78867	80	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.    GoC=No accepted empirical data	
