Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	1997	77	77	1	94	94	94			156355	156355	94	gov		W: AP	Estimate of 77 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	1998	79	79	1	96	96	96			149144	149144	96	gov		C:	Reported data calibrated to 1997 and 2005 levels.  National Immunization Programme Evaluation Azerbaijan, 1999 results ignored by working group.  An April 2009 workshop found that birth estimates reported by the Ministry of Health was significantly lower than that reported by the State Committee of Statistics suggesting lower coverage levels.  Estimate challenged by: R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	1999	82	82	1	99	99	99	104503	105825	144671	144671	99	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2000	81	81	1	98	98	98	101528	103695	140560	140560	98	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2001	83	83	1	99	99	99	99284	100531	137188	137188	99	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2002	82	82	1	99	99	99	95461	96363	136473	136473	99	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2003	83	83	1	99	99	99	98378	99455	139585	139585	99	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: D-R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2004	82	82	1	99	99	99	106821	108301	145422	145422	99	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2005	82	82	1	98	98	98	113343	115620	150285	150285	98	gov	82	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 82 percent based on 1 survey(s).     Estimate challenged by: R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2006	86	86	1	98	99	99	117104	119406	157359	157359	99	gov		C:	Reported data calibrated to 2005 and 2010 levels.    Estimate challenged by: D-R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2007	88	88	1	98	98	98	123716	126461	165562	165562	98	gov		C:	Reported data calibrated to 2005 and 2010 levels.    Estimate challenged by: D-R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2008	92	92	1	98	98	98	132059	134448	173520	173520	98	gov		C:	Reported data calibrated to 2005 and 2010 levels.    Estimate challenged by: D-R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2009	95	95	1	98	98	98	139261	141891	180053	180053	98	gov		C:	Reported data calibrated to 2005 and 2010 levels.    Estimate challenged by: D-R-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2010	98	98	1	98	98	98	140131	142681	183642	183642	98	gov	98	R: AP	 Estimate set to level of survey.   Estimate challenged by: D-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2011	99	99	1	99	99	99	138577	140571	189318	189318	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2012	98	98	1	98	98	98	151257	154800	192733	192733	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2013	98	98	1	98	98	98	155268	159023	193204	193204	98	gov		R: AP	 Estimate follows reported official government estimate.  National programme revised target population estimates during 2013.  GoC=Assigned by working group.  GoC assigned to maintain consistency across vaccines.	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2014	98	98	1	98	98	98	161476	165181	191050	191050	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2015	98	98	1	98	98	98	157157	160877	183781	183781	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2016	98	98	1	98	98	98	150106	153006	171882	171882	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2017	97	97	2	97	97	97	135241	139285	148053	148053	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2018	97	97	2	97	97	97	131659	135182	142871	142871	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2019	96	96	2	96	96	96	128833	134308	147022	147022	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Azerbaijan	Wed Sep 06 18:37:35 2023	aze	bcg	2020	94	94	2	94	94	94	119763	127303	131920	131920	94	gov		R:	Estimate informed by reported data.  WHO and UNICEF are aware of a vaccination coverage surveys conducted in 2018 and 2019. However, available information suggests use of a convenience sample of districts and insufficient information on sampling of children.  GoC=R+ D+	
