Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	1997	87	87	1		71	71			249706	249706	71	gov		W: AP	Estimate of 87 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	1998	86	86	1		58	58			249258	249258	71	interpolated		C:	Reported data calibrated to 1997 and 1999 levels.  Reported data excluded due to decline in reported coverage from 71 percent to 58 percent with increase to 71 percent.   Estimate challenged by: R-	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	1999	84	84	1	71	71	71			260402	260402	71	gov	84	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 84 percent based on 1 survey(s).     Estimate challenged by: R-	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	2000	85	85	1	80	73	73	215135	267674	268825	268825	73	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Fluctuation in officially reported data suggests problems in reporting system.   Estimate challenged by: R-	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	2001	87	87	1	63	63	63	192901	307607	277120	277120	63	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Fluctuation in officially reported data suggests problems in reporting system.   Estimate challenged by: D-R-	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	2002	88	88	1	113	97	97	294018	260091	291756	291756	97	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Fluctuation in officially reported data suggests problems in reporting system.  Data quality audit conducted for the Vaccine Fund suggested inadequacies in the reporting system.  Estimate challenged by: D-R-	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	2003	90	90	1	85	92	92	246723	291197	304505	304505	92	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Fluctuation in officially reported data suggests problems in reporting system.   Estimate challenged by: R-	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	2004	91	91	3	91	91	91	273786	301142	321627	321627	91	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).   Data quality audit conducted for the Vaccine Fund suggested inadequacies in the reporting system.  GoC=R+ S+ D+	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	2005	89	89	3	89	89	89	274969	309639	339874	339874	89	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Burundi	Wed Sep 06 18:37:43 2023	bdi	bcg	2006	98	98	3	98	98	98	327639	333274	354990	354990	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
