Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	1997	95	95	1						115236	115236	97	extrapolated		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	1998	96	96	1						113567	113567	97	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=No accepted empirical data	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	1999	97	97	2		97	97			113865	113865	97	gov		R: AP	.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2000	97	97	2		97	97			115979	115979	97	gov		R:	Estimate informed by reported data.  Estimates from 2000 onward are based on the results from regional cluster surveys.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2001	97	97	2		97	97			115312	115312	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2002	97	97	2		97	97			113272	113272	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2003	97	97	2		97	97			114030	114030	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2004	97	97	2		97	97			117258	117258	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2005	98	98	2		98	98			119858	119858	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2006	99	99	2		99	99			122679	122679	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2007	99	99	2		99	99			124109	124109	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2008	99	99	2		99	99			126866	126866	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2009	99	99	2		100	100			126685	126685	100	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2008), Wallonia (2008-2009) and Brussels (2008-2009) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2010	99	99	2		100	100			128589	128589	100	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2008), Wallonia (2008-2009) and Brussels (2008-2009) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2011	99	99	2		100	100			126480	126480	100	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2008), Wallonia (2008-2009) and Brussels (2008-2009) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2012	99	99	2		100	100			125850	125850	100	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2012), Wallonia (2008-2009) and Brussels (2008-2009) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2013	99	99	2		100	100			123860	123860	100	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2012), Wallonia (2008-2009) and Brussels (2008-2009) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2014	99	99	2		100	100			123414	123414	100	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2012), Wallonia (2008-2009) and Brussels (2008-2009) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2015	99	99	2		100	100			121285	121285	100	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2012), Wallonia (2015-2016) and Brussels (2012) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2016	99	99	2		99	99			121005	121005	99	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2016), Wallonia (2015-2016) and Brussels (2012) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2017	99	99	2		99	99			119292	119292	99	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2016), Wallonia (2015-2016) and Brussels (2012) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2018	99	99	2		99	99			118034	118034	99	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2016), Wallonia (2015-2016) and Brussels (2012) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2019	98	98	2		98	98			116136	116136	98	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2016), Wallonia (2019) and Brussels (2019) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2020	98	98	2		98	98			114894	114894	98	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2020), Wallonia (2019) and Brussels (2019) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2021	98	98	2		98	98			116448	116448	98	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2020), Wallonia (2019) and Brussels (2019) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp1	2022	98		2		98	98			117003	117003	98	gov		R:	Estimate informed by reported data.  National government reports are based on population weighted regional survey results from Flanders (2020), Wallonia (2019) and Brussels (2019) and an assumption of stable coverage since the year of the most recent regional survey and year of calculation.  GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp3	1997	87	87	1						115236	115236	79	extrapolated		W: AP	Estimate of 87 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp3	1998	79	79	2		79	79			113567	113567	79	gov		R: AP	 Estimate based on reported data.   GoC=R+	
Belgium	Wed Sep 06 18:37:55 2023	bel	dtp3	1999	87	87	1						113865	113865	87	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
