Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	1997	78	78	1		89	89			274976	274976	89	gov		W: AP	Estimate of 78 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	1998	83	83	1		92	92			280484	280484	92	gov		W-I:	Estimate informed by interpolation between 1997 and 2000 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	1999	87	87	1	91	100	100	242576	267709	286638	286638	100	gov		W-I:	Estimate informed by interpolation between 1997 and 2000 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2000	92	92	1	102	102	102	245269	240460	291591	291591	100	interpolated	92	W: AP	Estimate of 92 percent assigned by working group.  Estimate based on survey results to maintain consistency with other vaccines. Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2001	91	91	1	100		100	250305	248880	298375	298375	100	admin		W-I:	Estimate informed by interpolation between 2000 and 2005 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2002	90	90	1	106		106	270166	254928	306563	306563	100	interpolated		W-I:	Estimate informed by interpolation between 2000 and 2005 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting. Reported data excluded because 106 percent greater than 100 percent.   Estimate challenged by: R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2003	90	90	1	105	105	105	303073	287664	317134	317134	100	interpolated		W-I:	Estimate informed by interpolation between 2000 and 2005 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting. Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2004	89	89	1	109	109	109	315798	288557	325479	325479	100	interpolated		W-I:	Estimate informed by interpolation between 2000 and 2005 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting. Reported data excluded because 109 percent greater than 100 percent.   Estimate challenged by: R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2005	88	88	1	98	110	110	327122	335026	332970	332970	100	interpolated	88	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 88 percent based on 1 survey(s).   Reported data excluded because 110 percent greater than 100 percent.   Estimate challenged by: D-R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2006	93	93	1	111	100	100	348699	315348	343944	343944	100	gov		C:	Reported data calibrated to 2005 and 2007 levels.    Estimate challenged by: R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2007	97	97	1	116	116	116	375516	324900	349619	349619	99	interpolated	97	W: AP	Estimate of 97 percent assigned by working group.  Estimate based on survey results to maintain consistency with other vaccines. Reported data excluded because 116 percent greater than 100 percent.   Estimate challenged by: D-R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2008	96	96	1	114	114	114	381113	334608	355330	355330	99	interpolated		C:	Reported data calibrated to 2007 and 2011 levels.  Reported data excluded because 114 percent greater than 100 percent.   Estimate challenged by: D-R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2009	93	93	1	110	110	110	379803	344460	363609	363609	98	interpolated		C:	Reported data calibrated to 2007 and 2011 levels.  Reported data excluded because 110 percent greater than 100 percent.   Estimate challenged by: D-R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2010	90	90	1	109	109	109	394891	361728	371512	371512	97	interpolated		C:	Reported data calibrated to 2007 and 2011 levels.  Reported data excluded because 109 percent greater than 100 percent.   Estimate challenged by: D-R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2011	88	88	1	109	100	109	407322	373608	381302	381302	96	interpolated	88	W: AP	Estimate of 88 percent assigned by working group.  Estimate is based on survey result. Reported data excluded because 109 percent greater than 100 percent.  Official government estimate based on survey results.  Estimate challenged by: D-R-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2012	96	96	1	112	97	112	433729	385873	391846	391846	96	interpolated	92	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 92 percent based on 2 survey(s).  Reported data excluded because 112 percent greater than 100 percent.  Official government estimate based on survey results.  Estimate challenged by: D-	
Benin	Wed Sep 06 18:38:03 2023	ben	bcg	2013	95	95	3	95	98	95	378595	398521	403500	403500	95	admin	90	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 90 percent based on 1 survey(s).   Reported official government estimate based on the results of an external EPI review conducted in 10 communes.  GoC=R+ S+ D+	
