Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	1997	92	92	1		100	100			3692440	3692440	100	gov		W: AP	Estimate of 92 percent assigned by working group. Legacy estimate. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	1998	91	91	1		92	92			3710628	3710628	100	extrapolated	91	W: AP	Estimate of 91 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	1999	92	92	1	100	94	94	2993216	2985683	3723175	3723175	100	extrapolated		C:	Reported data calibrated to 1998 and 2001 levels.  Survey results ignored. Sample size 0 less than 300. Survey results ignored. Sample size 0 less than 300. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2000	94	94	1	94	95	95	2973202	3154344	3747294	3747294	100	extrapolated		C:	Reported data calibrated to 1998 and 2001 levels.  Survey results ignored. Sample size 0 less than 300. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2001	95	95	1	101	94	94	3237582	3201664	3756397	3756397	100	extrapolated	95	W: AP	Estimate of 95 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2002	95	95	1	87	95	95	3319837	3794671	3757983	3757983	100	extrapolated	95	W: AP	Estimate of 95 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2003	93	93	1	92	95	95	3559379	3850832	3736470	3736470	100	extrapolated	93	W: AP	Estimate of 93 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2004	96	96	1	92	92	92	3609535	3923814	3696847	3696847	100	extrapolated	96	W: AP	Estimate of 96 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2005	97	97	1	97	96	96	3616898	3992082	3603063	3603063	100	extrapolated	97	W: AP	Estimate of 97 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2006	97	97	1	96	98	98	3659951	4062594	3529412	3529412	100	extrapolated	97	W: AP	Estimate of 97 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2007	98	98	1	92	98	98	3806428	4135449	3466895	3466895	100	extrapolated	98	W: AP	Estimate of 98 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2008	99	99	1	90	98	98	3798409	4210773	3379263	3379263	100	extrapolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2009	99	99	1	94	99	99	3600085	3815594	3274543	3274543	100	extrapolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2010	98	98	1	94	99	99	3639891	3870920	3176782	3176782	100	extrapolated	98	W: AP	Estimate of 98 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2011	99	99	1	95	99	99	3715359	3927048	3092771	3092771	100	extrapolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2012	98	98	1	108	99	99	3712686	3431228	3061928	3061928	100	extrapolated	98	W: AP	Estimate of 98 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered. Target population revised downward based on 2011 census results.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2013	99	99	1	106	99	99	3697234	3478236	3067200	3067200	100	extrapolated		C:	Reported data calibrated to 2012 and 2014 levels.  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered. Target population revised downward based on 2011 census results.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2014	99	99	1	105	99	99	3719011	3525888	3049016	3049016	100	extrapolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered. Target population revised downward based on 2011 census results.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2015	99	99	1	117	99	99	3762488	3228362	3026354	3026354	100	extrapolated	100	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 100 percent based on 2 survey(s).  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered. Programme reports one month national level stockout.  Estimate challenged by: D-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2016	99	99	1	114	99	99	3755206	3279741	3036914	3036914	100	extrapolated	98	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 98 percent based on 1 survey(s).  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2017	99	99	1	115	99	99	3812147	3327304	2993715	2993715	100	extrapolated	100	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 100 percent based on 1 survey(s).  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2018	99	99	1	114	99	99	3839010	3370437	3025083	3025083	100	extrapolated	100	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 100 percent based on 1 survey(s).  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2019	99	99	1	115	100	100	3931799	3408614	3040527	3040527	100	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2020	99	99	1	110	100	100	3787022	3441465	3022909	3022909	100	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered. While reported administrative coverage consistently appears overestimated when compared to recent survey results, declines in reported administered doses are neither reflected in the reported official coverage nor the estimated coverage.  Estimate challenged by: D-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2021	99	99	1	117	100	100	4041757	3468365	3019672	3019672	100	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	bcg	2022	99		1	118		118	4129519	3495475	2994966	2994966	100	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.Reported data excluded because 118 percent greater than 100 percent. Reported data excluded due to sudden change in coverage from 100 level to 118 percent.   Estimate challenged by: D-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	1997	92	92	2						3692440	3692440	88	extrapolated		W: AP	Estimate of 92 percent assigned by working group. Legacy estimate.   GoC=S+	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	1998	89	89	2						3710628	3710628	88	extrapolated	89	W: AP	Estimate of 89 percent assigned by working group.  Estimate based on survey result.   GoC=S+	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	1999	91	91	2						3723175	3723175	88	extrapolated		C:	Reported data calibrated to 1998 and 2001 levels.  Survey results ignored. Sample size 0 less than 300. Survey results ignored. Sample size 0 less than 300.   GoC=S+	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2000	92	92	1	111	88	88	3514999	3154344	3747294	3747294	88	gov		C:	Reported data calibrated to 1998 and 2001 levels.  Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2001	94	94	1	102	87	87	3267406	3201664	3756397	3756397	88	extrapolated	94	W: AP	Estimate of 94 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2002	95	95	1	89	86	86	3289442	3698418	3757983	3757983	88	extrapolated	95	W: AP	Estimate of 95 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2003	93	93	1	93	91	91	3504211	3753154	3736470	3736470	88	extrapolated	93	W: AP	Estimate of 93 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2004	99	99	1	97	97	97	3552242	3668766	3696847	3696847	88	extrapolated	96	RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2005	97	97	1	96	95	95	3568160	3732596	3603063	3603063	88	extrapolated	97	W: AP	Estimate of 97 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2006	97	97	1	95	97	97	3619122	3798525	3529412	3529412	88	extrapolated	97	W: AP	Estimate of 97 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2007	98	98	1	97	98	98	3737986	3866647	3466895	3466895	88	extrapolated	98	W: AP	Estimate of 98 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2008	99	99	1	95	98	98	3741783	3937073	3379263	3379263	88	extrapolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2009	99	99	1	97	99	99	3524038	3617183	3274543	3274543	88	extrapolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2010	98	98	1	98	99	99	3580866	3669632	3176782	3176782	88	extrapolated	98	W: AP	Estimate of 98 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2011	99	99	1	99	99	99	3668596	3722842	3092771	3092771	88	extrapolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2012	97	97	1	112	99	99	3671240	3283685	3061928	3061928	88	extrapolated	97	W: AP	Estimate of 97 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered. Target population revised downward based on 2011 census results.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2013	98	98	1	110	91	91	3650721	3328672	3067200	3067200	88	extrapolated		C:	Reported data calibrated to 2012 and 2014 levels.  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered. Target population revised downward based on 2011 census results.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2014	99	99	1	110	93	93	3725531	3374274	3049016	3049016	88	extrapolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey result. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered. Target population revised downward based on 2011 census results.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2015	99	99	1	121	93	93	3752841	3089542	3026354	3026354	88	extrapolated	99	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 99 percent based on 2 survey(s).   Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2016	99	99	1	119	94	94	3740295	3138712	3036914	3036914	88	extrapolated	98	RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.  Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2017	99	99	1	118	98	98	3760167	3184230	2993715	2993715	88	extrapolated	100	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 100 percent based on 1 survey(s).   Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2018	99	99	1	117	98	98	3764922	3225508	3025083	3025083	88	extrapolated	100	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 100 percent based on 1 survey(s).   Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2019	99	99	1	120	100	100	3923449	3262044	3040527	3040527	88	extrapolated		C:	Reported data calibrated to 2018 levels. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2020	99	99	1	113	100	100	3737688	3293482	3022909	3022909	88	extrapolated		C:	Reported data calibrated to 2018 levels. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered. While reported administrative coverage consistently appears overestimated when compared to recent survey results, declines in reported administered doses are neither reflected in the reported official coverage nor the estimated coverage.  Estimate challenged by: D-R-	
Bangladesh	Wed Sep 06 18:39:00 2023	bgd	dtp1	2021	99	99	1	121	100	100	4006351	3319225	3019672	3019672	88	extrapolated		C:	Reported data calibrated to 2018 levels. Reported data excluded.  Nationally reported data for official coverage includes only valid doses administered.  Estimate challenged by: D-R-	
