Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	1997	97	97	2		97	97			64571	64571	97	gov		R: AP	Legacy estimate.   GoC=R+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	1998	98	98	2	100	98	98			65359	65359	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	1999	99	99	2	100	99	99			71185	71185	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2000	98	98	2	98	98	98			72366	72366	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2001	98	98	2	98	98	98	65120	66612	69104	69104	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2002	98	98	2	94	98	98	63501	67262	69264	69264	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2003	98	98	2	97	98	98	65241	67359	69866	69866	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2004	98	98	2	94	98	98	65592	69886	72834	72834	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2005	98	98	2	98	98	98	66712	68165	74296	74296	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2006	98	98	2	98	98	98	68476	70112	76960	76960	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2007	98	98	2	98	98	98	69238	70514	78577	78577	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2008	98	98	1	98	98	98	71098	72894	80839	80839	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bulgaria	Wed Sep 06 18:39:10 2023	bgr	bcg	2009	98	98	2	98	98	98	75119	76774	82999	82999	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
