Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	1997	98	98	2	98	98	98			13956	13956	98	gov		R: AP	Legacy estimate.   GoC=R+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	1998	98	98	2	98	98	98			14231	14231	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	1999	99	99	1	95	95	95			14642	14642	95	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.    Estimate challenged by: R-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2000	98	98	2	98	98	98	13131	13457	14689	14689	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2001	99	99	2	99	99	99	13257	13352	14644	14644	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2002	99	99	1	100	100	100	13531	13482	15286	15286	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2003	99	99	2	99	99	99	14296	14456	15968	15968	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2004	99	99	1	97	97	97	14457	14456	16673	16673	97	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: D-R-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2005	99	99	1	99	99	99	14896	15067	17430	17430	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2006	99	99	1	100	100	100	14702	14937	17660	17660	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2007	97	97	1	97	97	97	15444	15929	17760	17760	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2008	98	98	2				16883	16905	18126	18126	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2009	98	98	2	98	98	98	17170	17595	18558	18558	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2010	99	99	2	100	100	100	17560	17607	19378	19378	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2011	99	99	1	99	99	99	16756	16981	19264	19264	99	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: D-R-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2012	99	99	2	100	100	100	18164	18206	19459	19459	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2013	99	99	2	99	99	99	19175	19387	19802	19802	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2014	99	98	1	98	98	98	20093	20420	20627	20627	98	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.   Estimate of 99 percent changed from previous revision value of 98 percent.  Estimate challenged by: R-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2015	98	98	2	98	98	98	20120	20511	21277	21277	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2016	99	99	1	99	99	99	19769	19920	21178	21178	99	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: R-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2017	98	98	2	98	98	98	19943	20257	20921	20921	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2018	99	99	2	100	100	100	19547	19574	20574	20574	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2019	99	99	1	99	99	99	18331	18503	19828	19828	99	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.   Programme reports three months vaccine supply disruption.  Estimate challenged by: R-	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2020	99	99	2	100	100	100	17775	17843	18949	18949	100	gov		R:	Estimate informed by reported data.  Programme reports a two months vaccine stockout at national and subnational levels.  GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2021	99	99	2	100	100	100	17026	17026	17501	17501	100	gov		R:	Estimate informed by reported data.  Reported coverage data do not reflect declining trend on vaccine doses administered since 2018 for all vaccines.  GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp1	2022	97		2	97	97	97	16839	17293	16861	16861	97	gov		R:	Estimate informed by reported data.  No nationally representative independent assessment within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage.  GoC=R+ D+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp3	1997	98	98	2		98	98			13956	13956	98	gov		R: AP	Legacy estimate.   GoC=R+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp3	1998	98	98	2		98	98			14231	14231	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Bahrain	Wed Sep 06 18:39:17 2023	bhr	dtp3	1999	97	97	1	97	97	97	12692	13010	14642	14642	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
