Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	1997	95	95	1						6686	6686	100	extrapolated		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	1998	96	96	1						6539	6539	100	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	1999	96	96	1						5997	5997	100	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2000	99	99	1	105	105	105	5558	5281	5912	5912	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.  Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: R-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2001	99	99	1	105		105			5934	5934	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.  Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: R-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2002	99	99	1						5724	5724	100	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2003	99	99	1						5547	5547	100	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2004	99	99	1	103	100	100	5144	5011	5617	5617	100	gov		C:	Reported data calibrated to 1997 and 2005 levels.    Estimate challenged by: R-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2005	99	99	1	100	99	99	5034	5046	5998	5998	99	gov		R: AP	 Estimate based on reported data.   Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2006	95	95	2	94	95	95	4819	5112	5259	5259	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2007	98	98	2	104	104	104	5394	5205	5487	5487	98	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2008	99	99	2	100	100	100	5717	5725	5931	5931	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2009	99	99	1	99	99	99	5268	5288	6018	6018	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2010	99	99	2	100	101	101	5323	5319	5526	5526	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2011	99	99	2		104	104			5309	5309	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2012	99	99	2	99	99	99	5079	5112	5385	5385	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2013	99	99	2	100	100	100	4998	4987	4713	4713	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2014	96	96	1	96	96	96	4468	4639	5277	5277	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2015	99	99	2	100	100	100	4829	4808	5023	5023	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2016	95	95	2	95	95	95	4490	4727	4819	4819	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2017	98	98	1	98	98	98	4043	4124	4643	4643	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2018	94	94	1	94	94	94	3845	4098	4643	4643	94	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2019	91	91	1	91	91	91	3550	3897	4641	4641	91	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2020	97	97	1	97	97	97	3770	3897	4670	4670	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2021	91	79	1	91	91	91	3377	3726	4666	4666	91	gov		R:	Estimate informed by reported data.  Decline in reported coverage is unexplained. The trend in coverage for other antigens also signals a decline and thus the trend is followed. Estimate of 91 percent changed from previous revision value of 79 percent.  Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp1	2022	98		1	98	98	98	3347	3426	4659	4659	98	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high quality survey to confirm reported levels of coverage. Programme reports use of an immunization registry as of 2022. Increase in reported coverage for vaccines recommended in the first year of life appears partly due to a decrease of 19 percent in the target population compared to 2021 (and 12 percent lower than that for 2020). Reported number of doses administered for 2022 is lower than that for 2021, and the trend in reported number of doses administered has declined since 2012.  Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	1997	86	86	2		86	86			6686	6686	86	gov		R: AP	Legacy estimate.   GoC=R+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	1998	89	89	2		89	89			6539	6539	89	gov		R:	Estimate informed by reported data.   GoC=R+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	1999	82	82	2	81	82	82			5997	5997	82	gov		R:	Estimate informed by reported data.   GoC=R+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	2000	99	99	1	99	99	99	5239	5281	5912	5912	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	2001	99	99	2	99		99			5934	5934	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	2002	94	94	2	94	94	94			5724	5724	94	gov		R:	Estimate informed by reported data.   GoC=R+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	2003	92	92	2		92	92			5547	5547	92	gov		R:	Estimate informed by reported data.   GoC=R+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	2004	93	93	2	93	93	93	4671	5011	5617	5617	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	2005	93	93	1	89	93	93	4506	5046	5998	5998	93	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	2006	95	95	2	95	95	95	4856	5112	5259	5259	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	2007	95	95	2	95	95	95	4950	5205	5487	5487	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bahamas	Wed Sep 06 18:39:25 2023	bhs	dtp3	2008	93	93	2	93	93	93	5346	5725	5931	5931	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
