Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	1997	97	97	2		97	97			49295	49295	97	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	1998	92	92	2		92	92			48368	48368	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	1999	99	99	1	99	100	100	55744	56198	43683	43683	100	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).    Estimate challenged by: D-	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2000	93	93	3	93	93	93	38870	41834	42028	42028	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2001	95	95	3	95	95	95	37908	40034	41129	41129	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2002	91	91	3	91	91	91	35196	38589	41639	41639	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2003	94	94	2	94		94			41385	41385	94	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2004	95	95	1	95	95	95	33908	35693	41110	41110	95	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    Estimate challenged by: D-	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2005	95	95	1	95	95	95	32353	33973	39408	39408	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2006	97	97	1	97	97	97	30948	31925	38221	38221	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2007	98	98	1	95	98	98	31161	32655	39581	39581	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2008	96	96	1	96	96	96	21282	22143	39120	39120	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2009	97	97	1	97		97	33296	34209	38540	38540	97	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2010	96	96	2				33207	34461	36491	36491	96	interpolated	99	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=S+ D+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2011	94	94	3	94		94	31263	33175	33512	33512	94	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2012	96	96	3	98	96	96	31900	32579	34147	34147	96	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2013	97	97	1						32532	32532	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2014	98	98	1	99	98	98	27461	27953	31463	31463	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2015	95	95	2	95		95	28929	30316	31311	31311	95	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2016	97	97	2	97		97	28811	29635	31308	31308	97	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2017	97	97	1	97		97	36671	37738	31166	31166	97	admin		R:	Estimate informed by reported administrative data.   Programme reports one month national stockout and disruption in services because of district level stockouts.  Estimate challenged by: D-	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2018	95	95	2	96	95	95	28512	29703	30959	30959	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2019	96	95	1						29754	29754	96	interpolated		R:	Estimate informed by interpolation between reported data.   Estimate of 96 percent changed from previous revision value of 95 percent.  GoC=No accepted empirical data	
Bosnia and Herzegovina	Wed Sep 06 18:38:16 2023	bih	bcg	2020	96	95	2	96		96	26304	27480	28685	28685	96	admin		R:	Estimate informed by reported administrative data.   Estimate of 96 percent changed from previous revision value of 95 percent.  GoC=R+ D+	
