Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	1997	98	98	2	98	98	98			94438	94438	98	gov		R: AP	Legacy estimate.   GoC=R+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	1998	99	99	2	99	99	99			97306	97306	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	1999	99	99	1	99	99	99	85492	86171	98061	98061	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2000	99	99	1	99	99	99	86852	87593	98533	98533	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2001	99	99	1	99	99	99	85236	85864	96506	96506	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2002	99	99	1	99	99	99	82501	83203	94055	94055	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2003	99	99	2		99	99			93851	93851	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2004	99	99	1	99	99	99	82479	83132	94454	94454	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2005	99	99	2	100	99	99	87923	88152	95244	95244	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2006	99	99	2	99	99	99	89895	90541	98274	98274	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2007	98	98	2	98	98	98	101280	103088	104347	104347	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2008	98	98	2	98	98	98	106641	108835	108282	108282	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2009	98	98	2	98	98	98	106474	108207	114506	114506	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2010	99	99	2	99	99	99	106060	107169	112104	112104	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2011	99	99	2	99	99	99	107373	108915	112930	112930	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2012	98	98	2	98	98	98	113590	114303	118860	118860	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2013	99	99	2	99	99	99	114567	116132	121519	121519	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2014	98	98	2	98	98	98	114239	115944	121732	121732	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2015	97	97	2	97	97	97	115558	118603	121637	121637	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2016	98	98	2	98	98	98	114100	116296	118469	118469	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2017	98	98	2	98	98	98	99252	101278	104281	104281	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2018	98	98	2	98	98	98	90897	92475	95501	95501	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2019	97	97	2	97	97	97	83021	85324	93218	93218	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2020	97	97	1	97	97	97	76330	78715	91163	91163	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2021	98	98	1	98	98	98	70850	72661	88853	88853	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	bcg	2022	98		1	98	98	98	65800	67448	87252	87252	98	gov		R:	Estimate informed by reported data.  Since 2016, the reported target population for vaccines recommended in the first year of life has decreased 38 percent. No nationally representative household survey within the last 5 years. MICS 2019 did not include an immunization module. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	1997	98	98	1						94438	94438	99	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	1998	99	99	1						97306	97306	99	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	1999	99	99	1						98061	98061	99	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2000	99	99	1					89689	98533	98533	99	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2001	99	99	1						96506	96506	99	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2002	99	99	1					88246	94055	94055	99	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2003	74	74	1						93851	93851	99	extrapolated		W:	 DTP1 estimate made based on the relationship between DTP1 and DTP3 dropout observed in a review of survey data.   GoC=No accepted empirical data	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2004	99	99	1					83132	94454	94454	99	extrapolated		C:	Reported data calibrated to 1997 and 2005 levels.    GoC=No accepted empirical data	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2005	99	99	2	99	99	99	85552	86242	95244	95244	99	gov		R: AP	 Estimate based on reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2006	99	99	2	99	99	99	89243	90541	98274	98274	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2007	99	99	2	99	99	99	98673	99459	104347	104347	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2008	98	98	2	98	98	98	104590	106984	108282	108282	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2009	98	98	2	98	98	98	102801	105088	114506	114506	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2010	99	99	1	97	97	97	80916	83071	112104	112104	97	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: D-R-	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2011	99	99	2	99	99	99	105456	106597	112930	112930	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2012	98	98	2	98	98	98	108270	110198	118860	118860	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2013	99	99	2	99	99	99	111769	112979	121519	121519	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2014	97	97	2	97	97	97	109637	112983	121732	121732	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2015	99	99	2	99	99	99	110443	111671	121637	121637	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2016	99	99	2	99	99	99	111438	112563	118469	118469	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2017	97	97	2	97	97	97	99777	102651	104281	104281	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2018	98	98	2	98	98	98	91969	94312	95501	95501	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2019	98	98	2	98	98	98	85724	87759	93218	93218	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2020	97	97	1	97	97	97	79140	81514	91163	91163	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2021	98	98	1	98	98	98	73426	75225	88853	88853	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp1	2022	98		1	98	98	98	67865	69302	87252	87252	98	gov		R:	Estimate informed by reported data.  Since 2016, the reported target population for vaccines recommended in the first year of life has decreased 38 percent. No nationally representative household survey within the last 5 years. MICS 2019 did not include an immunization module. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	1997	98	98	2	98	98	98			94438	94438	98	gov		R: AP	Legacy estimate.   GoC=R+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	1998	99	99	2	99	99	99			97306	97306	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	1999	99	99	2	98	99	99	87526	89310	98061	98061	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2000	99	99	2	99	99	99	88917	89689	98533	98533	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2001	99	99	2	99	99	99	89864	90545	96506	96506	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2002	99	99	2	99	99	99	87285	88246	94055	94055	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2003	50	50	2	86	50	50	41134	82469	93851	93851	50	gov		R:	Estimate informed by reported data.  Decline attributed to vaccine shortage.  GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2004	99	99	1	99	99	99	83888	84711	94454	94454	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2005	99	99	2	99	99	99	85483	86242	95244	95244	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2006	99	99	2	99	99	99	88975	90541	98274	98274	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2007	95	95	2	95	95	95	93850	98802	104347	104347	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2008	97	97	2	98	97	97	104395	106984	108282	108282	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2009	96	96	2	96	96	96	101224	104901	114506	114506	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2010	98	98	1	98	98	98	82260	83593	112104	112104	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2011	98	98	2	98	98	98	105060	106650	112930	112930	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Belarus	Wed Sep 06 18:38:30 2023	blr	dtp3	2012	98	98	2	98	98	98	107548	110305	118860	118860	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
