Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	1997	85	85	2		85	85			6872	6872	85	gov		R: AP	Legacy estimate.   GoC=R+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	1998	93	93	2		93	93			7012	7012	93	gov		R:	Estimate informed by reported data.    GoC=R+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	1999	96	96	2	96	96	96			7172	7172	96	gov		R:	Estimate informed by reported data.    GoC=R+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	2000	96	96	2	96	96	96	7301	7660	7281	7281	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	2001	98	98	2	98	98	98			7377	7377	98	gov		R:	Estimate informed by reported data.    GoC=R+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	2002	96	96	2	96	96	96	7316	7556	7442	7442	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	2003	99	99	2	99	99	99	7465	7550	7370	7370	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	2004	99	99	2	100	100	100	7714	7830	7369	7369	100	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 169 less than 300.   GoC=R+ D+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	2005	96	96	2	96	96	96	7383	7684	7445	7445	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	2006	97	97	2	97	97	97	7239	7457	7314	7314	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Belize	Wed Sep 06 18:39:33 2023	blz	bcg	2007	99	99	2	99	99	99	7522	7470	7272	7272	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
