Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	1997	88	88	2		88	88			253619	253619	88	gov	87	R: AP	Legacy estimate.   GoC=R+ S+	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	1998	85	85	2		85	85			254750	254750	85	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	1999	95	95	2	96	95	95			256767	256767	95	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=R+ S+	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2000	92	92	1	95	95	95	238123	251363	255609	255609	95	gov		C:	Reported data calibrated to 1999 and 2002 levels.    Estimate challenged by: R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2001	90	90	1	94	94	94	242119	257098	254327	254327	94	gov		C:	Reported data calibrated to 1999 and 2002 levels.    Estimate challenged by: R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2002	93	93	1	100	100	100	230094	211361	254547	254547	100	gov	93	W: AP	Estimate of 93 percent assigned by working group.  Estimate based on survey results.   Estimate challenged by: R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2003	96	96	1	100	99	99	204679	217229	255467	255467	99	gov		C:	Reported data calibrated to 2002 and 2004 levels.    Estimate challenged by: D-R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2004	86	86	1	86	86	86	223812	261784	256008	256008	86	gov		R: AP	 Estimate based on nationally reported data.   Estimate challenged by: S-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2005	88	88	3	88	88	88	228137	260428	257377	257377	88	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2006	87	87	1	87	87	87	227901	261591	261924	261924	87	gov	98	R: AP	 Estimate based on nationally reported data.   Estimate challenged by: S-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2007	87	87	1	86	86	86	224948	261983	262274	262274	86	gov		C:	Reported data calibrated to 2006 and 2011 levels.    Estimate challenged by: R-S-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2008	90	90	1	85	86	86	222626	261921	262479	262479	86	gov		C:	Reported data calibrated to 2006 and 2011 levels.    Estimate challenged by: R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2009	93	93	1	88	88	88	229260	261744	262835	262835	88	gov		C:	Reported data calibrated to 2006 and 2011 levels.    Estimate challenged by: R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2010	98	98	1	90	90	90	236605	261813	263411	263411	90	gov		C:	Reported data calibrated to 2006 and 2011 levels.    Estimate challenged by: R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2011	99	99	1	90	90	90	237180	264697	263576	263576	90	gov	100	W: AP	Estimate of 99 percent assigned by working group. .   Estimate challenged by: R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2012	99	99	1	87	87	87	234073	269662	263698	263698	87	gov	100	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 100 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2013	94	94	1	88		88	237524	269662	263801	263801	88	admin		C:	Reported data calibrated to 2012 and 2014 levels.    Estimate challenged by: R-	
Bolivia (Plurinational State of)	Wed Sep 06 18:39:40 2023	bol	bcg	2014	94	94	3	96	96	96	234124	244220	263668	263668	94	interpolated	98	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).  Reported data excluded.  Programme reported a revised target population. Programme also reported a decrease in the number of children vaccinated compared to 2013 due in part to the ongoing implementation of a new information system. WHO and UNICEF recommend a revision of the coverage data time series with a consistent target population.  GoC=R+ S+ D+	
