Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	1997	99	99	1	100	100	100			3620076	3620076	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	1998	99	99	1	100	100	100			3602190	3602190	100	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	1999	99	99	1	100	100	100			3546785	3546785	100	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2000	99	99	1	100	100	100	3694696	3296663	3489128	3489128	100	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2001	99	99	1	100	100	100	3665770	3342195	3433869	3433869	100	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2002	99	99	1	100	100	100	3541040	3309775	3351520	3351520	100	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2003	99	99	1	114	114	114	3456048	3040839	3259436	3259436	100	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 114 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2004	99	99	1	113	113	113	3625665	3021961	3257137	3257137	99	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 113 percent greater than 100 percent.   Estimate challenged by: D-R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2005	99	99	1	114	114	114	3472248	3032932	3238499	3238499	99	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 114 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2006	99	99	1	113	113	113	3328770	2944282	3182010	3182010	99	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 113 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2007	99	99	1	111	111	111	3211280	2891082	3123429	3123429	99	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 111 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2008	99	99	1	108	108	108	3163307	2934688	3071834	3071834	98	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 108 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2009	99	99	1	108	108	108	3110721	2880306	3057083	3057083	98	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 108 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2010	99	99	1	106	106	106	3053860	2880069	3041789	3041789	98	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 106 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2011	99	99	1	107	107	107	3092130	2880069	3033630	3033630	97	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 107 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2012	99	99	1	105	105	105	3022254	2880069	2986828	2986828	97	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2013	99	99	1	107	107	107	3129797	2913626	2962857	2962857	97	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 107 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2014	99	99	1	107	107	107	3101363	2904678	3001591	3001591	97	interpolated		C:	Reported data calibrated to 1997 and 2015 levels.  Reported data excluded because 107 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2015	99	99	1	105	105	105	3049524	2901909	3021946	3021946	96	interpolated		W: AP	Estimate of 99 percent assigned by working group.  . Reported data excluded because 105 percent greater than 100 percent.  Program reports one month stockout.  Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2016	96	90	2	96	96	96	2868993	2976429	2905301	2905301	96	gov		R: AP	 Estimate informed by reported coverage.  Programme reports a 1-month vaccine stockout. Estimate of 96 percent changed from previous revision value of 90 percent.  GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2017	94	91	2	94	94	94	2796204	2976213	2952133	2952133	94	gov		R:	Estimate informed by reported data.  Programme reports 10 month vaccine stockout. Estimate of 94 percent changed from previous revision value of 91 percent.  GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2018	98	92	2	98	98	98	2789273	2854295	2969862	2969862	98	gov		R:	Estimate informed by reported data.  Estimate of 98 percent changed from previous revision value of 92 percent.  GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2019	85	79	2	85	85	85	2476425	2923441	2886359	2886359	85	gov		R:	Estimate informed by reported data. . Estimate of 85 percent changed from previous revision value of 79 percent.  GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2020	73	67	2	74	73	73	2163230	2923441	2787294	2787294	73	gov		R:	Estimate informed by reported data.  A nationwide study by Silveira et al. (doi.org/10.1016/j.vaccine.2021.04.046) observed that the COVID-19 pandemic was associated with a 20 percent decrease in childhood vaccinations though much of the decline was indicated to be reversed by the end of 2020, an observation that is not supported by the reported data. Decline in reported coverage is unexplained by country but aligns with COVID-19 pandemic service disruptions. Estimate of 73 percent changed from previous revision value of 67 percent.  GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2021	69	63	2	69	69	69	1959638	2849064	2760958	2760958	69	gov		R:	Estimate informed by reported data.  Estimate of 69 percent changed from previous revision value of 63 percent.  GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	bcg	2022	88		2	88	88	88	2410276	2730050	2723266	2723266	88	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage..  GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	1997	99	99	2	99	99	99			3620076	3620076	99	gov		R: AP	Legacy estimate.   GoC=R+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	1998	99	99	2	100	100	100			3602190	3602190	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	1999	99	99	2	100	100	100			3546785	3546785	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2000	99	99	2	100	100	100	3439934	3296663	3489128	3489128	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2001	99	99	2	100	100	100	3380069	3342195	3433869	3433869	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2002	99	99	2	100	100	100	3226306	3309775	3351520	3351520	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2003	99	99	2	107	107	107	3249692	3040839	3259436	3259436	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 107 percent greater than 100 percent.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2004	99	99	2	104	104	104	3138909	3021961	3257137	3257137	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2005	99	99	2	104	104	104	3167005	3032932	3238499	3238499	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2006	99	99	2	104	104	104	3054070	2944282	3182010	3182010	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2007	99	99	2	103	103	103	2983230	2891082	3123429	3123429	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 103 percent greater than 100 percent.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2008	99	99	2	100	100	100	2936318	2934688	3071834	3071834	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2009	99	99	2	102	102	102	2948297	2880306	3057083	3057083	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 102 percent greater than 100 percent.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2010	99	99	2	100	100	100	2885762	2880069	3041789	3041789	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2011	99	99	1	103	103	103	2960190	2880069	3033630	3033630	99	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.  Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: R-	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2012	99	99	2	101	101	101	2922971	2880069	2986828	2986828	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.  Recommended vaccine schedule changed in 2012 from DTP-Hib and OPV to a sequential DTaP-Hib-IPV for first and second dose and DTP-Hib and OPV for the third dose.  GoC=R+ D+	
Brazil	Wed Sep 06 18:39:53 2023	bra	dtp1	2013	98	98	2	104	104	104	3024767	2913626	2962857	2962857	98	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ D+	
