Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	1997	98	98	1						3786	3786	93	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	1998	96	96	1						3750	3750	93	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	1999	95	95	1						3722	3722	93	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2000	93	93	2	93	93	93	3379	3635	3698	3698	93	gov		R: AP	 Estimate is based on the reported data.   GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2001	92	92	2	92	92	92	3654	3981	3669	3669	92	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2002	92	92	1						3670	3670	92	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2003	91	91	2	91		91	3378	3698	3660	3660	91	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2004	97	97	1						3638	3638	88	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    GoC=No accepted empirical data	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2005	97	97	1						3604	3604	84	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2006	94	94	1	81	81	81	2861	3529	3564	3564	81	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 84.    Estimate challenged by: D-R-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2007	93	93	2	93	93	93	3208	3469	3513	3513	93	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2008	85	85	2	85		85	3055	3589	3454	3454	85	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2009	93	93	2	93	93	93	3208	3469	3391	3391	93	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2010	94	94	1						3327	3327	94	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2011	95	95	1						3263	3263	95	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2012	96	96	2						3205	3205	96	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=S+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2013	97	97	2						3154	3154	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=S+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2014	98	98	3	98	98	98	2816	2885	3114	3114	98	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2015	99	99	1	96	96	96	2734	2857	3085	3085	96	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.    Estimate challenged by: D-R-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2016	99	99	1	100	100	100	2564	2553	3068	3068	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2017	90	90	1	90	90	90	2191	2434	3058	3058	90	gov		R:	Estimate informed by reported data.  Decline in reported coverage from 2016 may be related to transition to use of national immunization registry.  Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2018	96	96	1	96	96	96	2286	2384	3053	3053	96	gov		R:	Estimate informed by reported data.  Programme reports three months vaccine stockout at national level.  Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2019	92	92	1	92	92	92	2327	2524	3050	3050	92	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2020	86	86	1	86	86	86	2043	2384	3048	3048	86	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2021	83	83	1	83	83	83	1874	2263	3046	3046	83	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp1	2022	87		1	87	87	87	1850	2127	3037	3037	87	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	1997	96	96	2		96	96			3786	3786	96	gov		R: AP	Legacy estimate.   GoC=R+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	1998	93	93	2		93	93			3750	3750	93	gov		R:	Estimate informed by reported data.    GoC=R+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	1999	87	87	2	87	87	87			3722	3722	87	gov		R:	Estimate informed by reported data.    GoC=R+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2000	93	93	2	93	93	93	3402	3635	3698	3698	93	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2001	84	84	2	90	84	84	3329	3981	3669	3669	84	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2002	87	87	2		87	87			3670	3670	87	gov		R:	Estimate informed by reported data.    GoC=R+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2003	89	89	2	89	89	89	3175	3698	3660	3660	89	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2004	93	93	2	93	93	93			3638	3638	93	gov		R:	Estimate informed by reported data.    GoC=R+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2005	92	92	2		92	92			3604	3604	92	gov		R:	Estimate informed by reported data.    GoC=R+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2006	84	84	2	84	84	84	2977	3529	3564	3564	84	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2007	93	93	2	93	93	93	3208	3469	3513	3513	93	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2008	85	85	2	85		85	3055	3589	3454	3454	85	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2009	93	93	2	93	93	93	3208	3469	3391	3391	93	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2010	86	86	2	86		86	3019	3507	3327	3327	86	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2011	91	91	2	91	91	91	2959	3265	3263	3263	91	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2012	87	87	1	88	87	87	2866	3262	3205	3205	87	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2013	91	91	3	91		91	2653	2926	3154	3154	91	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2014	94	94	3	94	94	94	2725	2885	3114	3114	94	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2015	97	97	3	97	97	97	2772	2857	3085	3085	97	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2016	97	97	1	97	97	97	2471	2553	3068	3068	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2017	90	90	1	90	90	90	2198	2434	3058	3058	90	gov		R:	Estimate informed by reported data.  Decline in reported coverage from 2016 may be related to transition to use of national immunization registry.  Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2018	95	95	1	95	95	95	2257	2384	3053	3053	95	gov		R:	Estimate informed by reported data.  Programme reports three months vaccine stockout at national level.  Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2019	90	90	1	90	90	90	2278	2524	3050	3050	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2020	85	85	1	85	85	85	2024	2384	3048	3048	85	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2021	82	82	1	82	82	82	1856	2263	3046	3046	82	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	dtp3	2022	86		1	86	86	86	1831	2127	3037	3037	86	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Barbados	Wed Sep 06 18:40:28 2023	brb	hepb3	2001	18	18	2	18	18	18	675	3981	3669	3669	18	gov		R:	Estimate informed by reported data.   HepB vaccine introduced in 2000. Reporting started in 2001. Vaccine presentation is DTP-HepB-Hib.  GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	hepb3	2002	66	66	2		66	66			3670	3670	66	gov		R:	Estimate informed by reported data.    GoC=R+	
Barbados	Wed Sep 06 18:40:28 2023	brb	hepb3	2003	91	91	2		91	91	3175	3698	3660	3660	91	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Barbados	Wed Sep 06 18:40:28 2023	brb	hepb3	2004	93	93	2	93	93	93			3638	3638	93	gov		R:	Estimate informed by reported data.    GoC=R+	
Barbados	Wed Sep 06 18:40:28 2023	brb	hepb3	2005	92	92	2		92	92			3604	3604	92	gov		R:	Estimate informed by reported data.    GoC=R+	
