Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	1997	99	99	2		99	99			6503	6503	99	gov		R: AP	Legacy estimate.   GoC=R+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	1998	96	96	2		96	96			6405	6405	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	1999	98	98	1	98	98	98	7253	7371	6347	6347	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2000	99	99	1	100	100	100	7454	7460	6326	6326	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2001	99	99	1	99		99	7230	7331	6323	6323	99	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2002	95	95	2	95		95			6313	6313	95	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2003	95	95	2	95		95			6304	6304	95	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2004	99	99	2	99	99	99	6725	6868	6286	6286	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2005	94	94	1	94	94	94	6704	6955	6271	6271	94	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2006	99	99	2	100	100	100			6281	6281	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2007	96	96	2	96		96			6333	6333	96	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2008	99	99	2	100	100	100	6050	6070	6443	6443	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2009	99	99	2	100		100	6430	6433	6595	6595	100	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2010	95	95	2	95		95	6092	6384	6780	6780	95	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2011	96	96	2	96	96	96	6437	6710	6967	6967	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2012	99	99	2	100	100	100	6524	6524	7052	7052	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2013	99	99	2	100	100	100			7086	7086	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2014	99	99	1	100		100	6288	6288	7063	7063	100	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2015	99	99	2	100	100	100	6455	6455	6977	6977	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2016	99	99	2	100	100	100	6491	6494	6842	6842	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2017	99	99	2	100	100	100	6271	6271	6692	6692	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2018	99	99	2	100	100	100	6233	6236	6540	6540	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Brunei Darussalam	Wed Sep 06 18:40:37 2023	brn	bcg	2019	99	99	2	100	100	100	5984	5985	6392	6392	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
