Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	1997	92	92	2		92	92			16014	16014	92	gov		R: AP	Legacy estimate.   GoC=R+	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	1998	94	94	2		94	94			15645	15645	94	gov		R:	Estimate informed by reported data.    GoC=R+	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	1999	90	90	2	85	90	90	14367	15902	15249	15249	90	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	2000	97	97	2	97	97	97	13452	14326	14940	14940	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	2001	81	81	1	81		81	14165	17474	14632	14632	81	admin		R:	Estimate informed by reported administrative data.  Survey results ignored. Sample size 214 less than 300.   Estimate challenged by: D-	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	2002	83	83	1	83	83	83	14965	17911	14411	14411	83	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	2003	93	93	2	93		93	14023	15144	14135	14135	93	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	2004	92	92	2	83	92	92	13803	15745	14531	14531	92	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	2005	92	92	3	102	101	101	14071	13835	14575	14575	92	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   GoC=R+ S+ D+	
Bhutan	Wed Sep 06 18:40:47 2023	btn	bcg	2006	92	92	3	92	92	92	13484	14641	14374	14374	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
