Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	1997	98	98	1		59	59			47028	47028	59	gov		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	1998	99	99	1		66	66			47854	47854	66	gov		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	1999	99	99	1	67	67	67	33182	49534	48749	48749	67	gov	99	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 99 percent based on 1 survey(s).     GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2000	99	99	1	73	73	73	38662	53077	49908	49908	73	gov		W-I:	Estimate informed by interpolation between 1999 and 2006 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2001	99	99	1	72	72	72	38727	54020	50830	50830	72	gov		W-I:	Estimate informed by interpolation between 1999 and 2006 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2002	99	99	1	72	72	72	33188	42845	51051	51051	72	gov		W-I:	Estimate informed by interpolation between 1999 and 2006 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2003	99	99	1	92	92	92	39458	42845	51413	51413	92	gov		W-I:	Estimate informed by interpolation between 1999 and 2006 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2004	99	99	1	86	93	93	39735	45386	52256	52256	93	gov		W-I:	Estimate informed by interpolation between 1999 and 2006 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2005	99	99	1	126	126	126	46382	36797	53708	53708	93	extrapolated		W-I:	Estimate informed by interpolation between 1999 and 2006 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting. Reported data excluded because 126 percent greater than 100 percent.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2006	99	99	1	123	123	123	44233	37424	55173	55173	93	extrapolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey results. Reported data excluded because 123 percent greater than 100 percent.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2007	99	99	1	81	81	81	41791	50050	56122	56122	93	extrapolated		W-I:	Estimate informed by interpolation between 2006 and 2012 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting. Reported data excluded.  Nationally reported data vary widely and exceed 100 percent for some antigens.Reported data excluded due to decline in reported coverage from 123 percent to 81 percent with increase to 100 percent.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2008	99	99	1	100	100	100	45050	45828	56959	56959	93	extrapolated		W-I:	Estimate informed by interpolation between 2006 and 2012 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting. Reported data excluded.  Nationally reported data vary widely and exceed 100 percent for some antigens.  GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2009	99	99	1	101	101	101	46731	46398	57676	57676	93	extrapolated		W-I:	Estimate informed by interpolation between 2006 and 2012 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting. Reported data excluded.  Nationally reported data vary widely and exceed 100 percent for some antigens.Reported data excluded because 101 percent greater than 100 percent.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2010	98	98	1	111	111	111	52336	47029	58309	58309	93	extrapolated		W-I:	Estimate informed by interpolation between 2006 and 2012 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting. Reported data excluded.  Nationally reported data vary widely and exceed 100 percent for some antigens.Reported data excluded because 111 percent greater than 100 percent.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2011	98	98	1	115	115	115	50620	44017	58877	58877	93	extrapolated		W-I:	Estimate informed by interpolation between 2006 and 2012 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting. Reported data excluded because 115 percent greater than 100 percent.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2012	98	98	1	114	114	114	50836	44593	59622	59622	93	extrapolated	98	W: AP	Estimate of 98 percent assigned by working group.  Estimate based on survey results. Reported data excluded because 114 percent greater than 100 percent.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2013	98	98	1	102	102	102	49662	48689	60080	60080	93	extrapolated		C:	Reported data calibrated to 2012 levels. Reported data excluded.  Fluctuation in reported data suggest poor quality administrative recording and reporting.Reported data excluded because 102 percent greater than 100 percent.  Nationally reported data vary widely and exceed 100 percent for some antigens.  GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2014	98	98	1	93	93	93	49786	53530	60500	60500	93	extrapolated		C:	Reported data calibrated to 2012 levels. Reported data excluded.  Fluctuation in reported data suggest poor quality administrative recording and reporting.  GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2015	98	98	1	78	78	78	48030	61236	60853	60853	93	extrapolated		C:	Reported data calibrated to 2012 levels. Reported data excluded.  Fluctuation in reported data suggest poor quality administrative recording and reporting.Reported data excluded due to decline in reported coverage from 93 percent to 78 percent with increase to 90 percent.  Decline in reported coverage appears to be an artifact of an increase in the target population from 2014 to 2015 combined with a slight decrease in the reported number of children vaccinated in 2015 compared to 2014 reported totals.  GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2016	98	98	1	90	90	90	43622	48517	61432	61432	93	extrapolated		C:	Reported data calibrated to 2012 levels. Reported data excluded.  Fluctuation in reported data suggest poor quality administrative recording and reporting.Reported data excluded due to an increase from 78 percent to 90 percent with decrease 73 percent.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2017	98	98	1	73	73	73	45949	63349	61614	61614	93	extrapolated		C:	Reported data calibrated to 2012 levels. Reported data excluded.  Fluctuation in reported data suggest poor quality administrative recording and reporting.Reported data excluded due to decline in reported coverage from 90 percent to 73 percent with increase to 97 percent.   GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2018	98	98	1	77	97	97	49379	64036	62044	62044	93	extrapolated		C:	Reported data calibrated to 2012 levels. Reported data excluded.  Fluctuation in reported data suggest poor quality administrative recording and reporting.  GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
Botswana	Wed Sep 06 18:40:56 2023	bwa	bcg	2019	98	98	1	75	97	97	48500	64555	62174	62174	93	extrapolated		C:	Reported data calibrated to 2012 levels. Reported data excluded.  Fluctuation in reported data suggest poor quality administrative recording and reporting.  GoC=Assigned by working group.  Reported coverage and denominator are inconsistent, and the estimate is confirmed only by survey for 2006 and 2012 birth cohorts.	
