Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	1997	78	78	1		94	94			151445	151445	94	gov		W: AP	Estimate of 78 percent assigned by working group. Legacy estimate.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	1998	70	70	1		53	53			154622	154622	78	interpolated		C:	Reported data calibrated to 1997 and 1999 levels.  Reported data excluded.  Fluctuation in nationally reported data suggests poor recording and reporting.  GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	1999	62	62	1	54	54	54	66096	123315	158526	158526	62	interpolated		R: AP	 Based on survey results for children vaccinated by 12 months of age. Results for children vaccinated by 23 months not available. Reported data excluded.  Fluctuation in nationally reported data suggests poor recording and reporting.  GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2000	66	66	1	46	46	46	58102	124698	162475	162475	46	gov		W-I:	Estimate informed by interpolation between 1999 and 2001 levels.  Fluctuation in nationally reported data suggests poor recording and reporting.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2001	70	70	1	38	38	38	48912	127791	165320	165320	38	gov		W: AP	Estimate of 70 percent assigned by working group.  Based on survey results for children vaccinated by 12 months of age. Results for children vaccinated by 23 months not available.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2002	71	71	1	72	66	66	85520	130549	167475	167475	48	interpolated		W-I:	Estimate informed by interpolation between 2001 and 2005 levels.  Immunization records prior to 2003 were compromised during 2002-2003 civil unrest. Fluctuation in nationally reported data suggests poor recording and reporting. Reported data excluded due to an increase from 38 percent to 66 percent with decrease 55 percent.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2003	72	72	1	55	55	55	73131	133836	172635	172635	59	interpolated		W-I:	Estimate informed by interpolation between 2001 and 2005 levels.  Immunization records prior to 2003 were compromised during 2002-2003 civil unrest. Fluctuation in nationally reported data suggests poor recording and reporting. Reported data excluded due to decline in reported coverage from 66 percent to 55 percent with increase to 69 percent.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2004	73	73	1	69	69	69	94657	137158	175453	175453	69	gov		W-I:	Estimate informed by interpolation between 2001 and 2005 levels.  Immunization records prior to 2003 were compromised during 2002-2003 civil unrest. Fluctuation in nationally reported data suggests poor recording and reporting.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2005	74	74	1	59	59	59	83641	140586	179761	179761	59	gov	74	W: AP	Estimate of 74 percent assigned by working group.  Based on survey results for children vaccinated by 23 months of age.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2006	74	74	1	85	85	85	122878	144655	184598	184598	85	gov		W-I:	Estimate informed by interpolation between 2005 and 2009 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2007	74	74	1	90	90	90	132310	147583	187852	187852	90	gov		W-I:	Estimate informed by interpolation between 2005 and 2009 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2008	74	74	1	69	70	70	104623	150582	192421	192421	81	interpolated		W-I:	Estimate informed by interpolation between 2005 and 2009 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting. Reported data excluded due to decline in reported coverage from 90 percent to 70 percent with increase to 87 percent.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2009	74	74	1	74	87	87	114240	153650	197025	197025	73	interpolated	74	W: AP	Estimate of 74 percent assigned by working group.  Based on survey results for children vaccinated by 23 months of age. Reported data excluded due to an increase from 70 percent to 87 percent with decrease 64 percent.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2010	74	74	1	64	64	64	100865	156780	202470	202470	64	gov		W-I:	Estimate informed by interpolation between 2009 and 2011 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2011	74	74	1	72	72	72	115758	159978	206440	206440	72	gov	74	W: AP	Estimate of 74 percent assigned by working group.  Based on survey results for children vaccinated by 23 months of age.   GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2012	74	74	1	61	61	61	99482	163231	207714	207714	72	extrapolated		W: AP	Estimate of 74 percent assigned by working group.  Estimate is based on extrapolation from survey. Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  GoC=Assigned by working group.  Low confidence in WHO and UNICEF estimates due to conflicting and inconsistent data from national reports.	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2013	37	37	1	39	39	39	64356	166547	206082	206082	72	extrapolated		W:	 Decline in coverage associated with the interruption of health services during period of civil unrest. National immunization programme and partners estimate that civil unrest have resulted in a 50 percent decrease in coverage from prior annual performance. Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.Reported data excluded due to decline in reported coverage from 61 percent to 39 percent with increase to 50 percent.   Estimate challenged by: R-S-	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2014	68	68	1	47	50	50	80555	169922	204833	204833	72	extrapolated		C:	Reported data calibrated to 2012 and 2016 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting. Government reports the conduct of multiple routine intensification activities during 2014. Reported coverage increased from 2013 level, however the number of children vaccinated has not returned to levels observed during 2011, prior to the decrease in coverage. Given concerns with the quality of reported data, the estimate is based on pre-conflict levels determined by the 2012 survey. WHO and UNICEF encourage continued efforts to improve delivery of immunization services.  Estimate challenged by: D-R-	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2015	64	64	1	56	56	56	96688	173358	199087	199087	72	extrapolated		C:	Reported data calibrated to 2012 and 2016 levels.  Survey results ignored. Sample size 0 less than 300. Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting. Survey reported values for vaccination coverage by documented evidence in home-based records are illogical for the first and third doses for several vaccines. Programme reports two months national level vaccine stockout. Given concerns with the quality of reported data, the estimate is based on pre-conflict levels determined by the 2012 survey. The reported number of children vaccinated has not returned to lev  Estimate challenged by: D-R-	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2016	61	61	1	62	62	62	109106	176828	203227	203227	72	extrapolated	61	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 61 percent based on 1 survey(s).   Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting. Programme reports vaccine supply disruptions at district level that impacted service delivery.  Estimate challenged by: R-	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2017	61	61	1	59	58	58	105827	180393	209152	209152	72	extrapolated	61	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 61 percent based on 1 survey(s).   Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting. Programme reports 15 days of vaccine stockout at the national level and vaccine supply disruptions at district level.  Estimate challenged by: D-R-	
Central African Republic	Wed Sep 06 18:41:08 2023	caf	bcg	2018	61	61	1	77	77	77	141652	183984	214277	214277	72	extrapolated		C:	Reported data calibrated to 2017 levels. Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.Reported data excluded due to an increase from 58 percent to 77 percent with decrease 60 percent.   Estimate challenged by: R-	
