Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	1997	95	95	1						349346	349346	96	extrapolated		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	1998	95	95	1						341995	341995	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.    GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	1999	95	95	1						335603	335603	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.    GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2000	95	95	1						323415	323415	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.    GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2001	95	95	1						326442	326442	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.    GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2002	95	95	1						325123	325123	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.    GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2003	95	95	1						329926	329926	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.   The first dose of DTP containing vaccine was not monitored.  GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2004	96	96	1						331158	331158	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.   The first dose of DTP containing vaccine was not monitored.  GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2005	96	96	1						335560	335560	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.   The first dose of DTP containing vaccine was not monitored.  GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2006	96	96	1						347036	347036	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.   The first dose of DTP containing vaccine was not monitored.  GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2007	96	96	1						364149	364149	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.   The first dose of DTP containing vaccine was not monitored.  GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2008	96	96	1						373044	373044	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.   Nationally reported data for 2008 are based on the results of the 2006 Childhood National Immunization Coverage Survey. The first dose of DTP containing vaccine was not monitored.  GoC=No accepted empirical data	
Canada	Wed Sep 06 18:41:22 2023	can	dtp1	2009	96	96	1						375611	375611	96	extrapolated		C:	Reported data calibrated to 1997 and 2011 levels.   The first dose of DTP containing vaccine was not monitored.  GoC=No accepted empirical data	
