Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	1997	93	93	2		93	93			80333	80333	93	gov		R: AP	Legacy estimate.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	1998	93	93	2		93	93			78908	78908	93	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	1999	95	95	2		95	95			77893	77893	95	gov		R:	Estimate informed by reported data.  Reported national data based on rolling surveys among children aged 25-36 months conducted in each canton once every three years.  GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2000	95	95	2		95	95			77495	77495	95	gov		R:	Estimate informed by reported data.  Reported national data based on rolling surveys among children aged 25-36 months conducted in each canton once every three years.  GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2001	95	95	2		95	95			71722	71722	95	gov		R:	Estimate informed by reported data.  Reported national data based on rolling surveys among children aged 25-36 months conducted in each canton once every three years.  GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2002	95	95	2		95	95			71563	71563	95	gov		R:	Estimate informed by reported data.  Reported national data based on rolling surveys among children aged 25-36 months conducted in each canton once every three years.  GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2003	95	95	2		95	95			71213	71213	95	gov		R:	Estimate informed by reported data.  Reported national data based on rolling surveys among children aged 25-36 months conducted in each canton once every three years.  GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2004	95	95	2		95	95			72335	72335	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2005	95	95	2		95	95			72355	72355	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2006	95	95	2		95	95			72757	72757	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2007	95	95	2		95	95			73537	73537	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2008	95	95	2		95	95			75449	75449	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2009	95	95	2		95	95			77282	77282	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2010	95	95	2		95	95			79289	79289	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2011	98	98	1		95	95			79860	79860	95	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: R-	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2012	96	96	1						81213	81213	96	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2013	96	96	1						81771	81771	96	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2014	97	97	1						84174	84174	97	interpolated		R:	Estimate informed by interpolation between reported data.   Reported data are based on subnational survey data among two year olds that will be aggregated following the completion of the three year rolling coverage survey covering all cantons.  GoC=No accepted empirical data	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2015	97	97	1						85758	85758	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2016	98	98	1						86933	86933	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2017	98	98	2	98	98	98			86659	86659	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2018	98	98	2	97	98	98			87004	87004	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Switzerland	Wed Sep 06 18:41:34 2023	che	dtp1	2019	98	98	2	98	98	98			85930	85930	98	gov		R:	Estimate informed by reported data.   GoC=R+	
