Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	1997	92	92	2	92	92	92			264229	264229	92	gov		R: AP	Legacy estimate.   GoC=R+	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	1998	92	92	2	92	92	92			257793	257793	92	gov		R:	Estimate informed by reported data.   GoC=R+	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	1999	95	95	2	95	95	95			250716	250716	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	2000	93	93	2	93	93	93	248010	255333	244983	244983	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	2001	98	98	2	98	98	98			243015	243015	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	2002	96	96	2	96	96	96			241091	241091	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	2003	95	95	2	95	95	95	228390	241166	234636	234636	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	2004	95	95	2	95	95	95	216296	224182	230212	230212	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	2005	95	95	2	95	95	95	225210	236804	229074	229074	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Chile	Wed Sep 06 18:41:44 2023	chl	bcg	2006	98	98	2	98	98	98	228780	233772	230846	230846	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
