Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
China	Wed Sep 06 18:41:54 2023	chn	bcg	1997	83	83	1		96	96			17482506	17482506	96	gov		W: AP	Estimate of 83 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	1998	83	83	1		96	96			16978997	16978997	96	gov		W-I:	Estimate informed by interpolation between 1997 and 2005 levels.  Fluctuation in officially reported data reflects different methods of correction for missing data.   Estimate challenged by: R-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	1999	84	84	1	98	98	98			16689598	16689598	98	gov		W-I:	Estimate informed by interpolation between 1997 and 2005 levels.  Fluctuation in officially reported data reflects different methods of correction for missing data.   Estimate challenged by: R-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2000	84	84	1	98	85	85			17394901	17394901	85	gov		W-I:	Estimate informed by interpolation between 1997 and 2005 levels.  Fluctuation in officially reported data reflects different methods of correction for missing data.   Estimate challenged by: R-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2001	85	85	1	98	77	77	10732661	10998254	16472561	16472561	77	gov		W-I:	Estimate informed by interpolation between 1997 and 2005 levels.  Fluctuation in officially reported data reflects different methods of correction for missing data.   Estimate challenged by: D-R-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2002	85	85	1	97		97	10883674	11108725	16315491	16315491	97	admin		W-I:	Estimate informed by interpolation between 1997 and 2005 levels.  Fluctuation in officially reported data reflects different methods of correction for missing data.   Estimate challenged by: D-R-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2003	85	85	1	98		98	10310657	10517470	16210272	16210272	98	admin		W-I:	Estimate informed by interpolation between 1997 and 2005 levels.  Fluctuation in officially reported data reflects different methods of correction for missing data.   Estimate challenged by: D-R-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2004	86	86	1	99		99	11853852	11992647	16482670	16482670	99	admin		W-I:	Estimate informed by interpolation between 1997 and 2005 levels.  Fluctuation in officially reported data reflects different methods of correction for missing data.   Estimate challenged by: D-R-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2005	86	86	1	99	86	86	11834517	11955482	16663108	16663108	86	gov		R: AP	 Improved methodology incorporates adjustment for missing data.   Estimate challenged by: D-S-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2006	92	92	1	99	92	92	13752235	13894805	16933400	16933400	92	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2007	94	94	1	99	94	94	14064686	14169404	17286419	17286419	94	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    Estimate challenged by: D-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2008	97	97	3	99	97	97	15673719	15774748	17787573	17787573	97	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2009	99	99	3	99		99	16166609	16247157	18085283	18085283	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2010	99	99	2	99		99	16701004	16762918	17941969	17941969	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2011	99	99	2	99		99	17053533	17095464	17826962	17826962	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2012	99	99	2	99		99	18278205	18318295	19235424	19235424	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2013	99	99	2	99		99	17130922	17172804	18255844	18255844	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2014	99	99	2	99		99	17704214	17755449	18711604	18711604	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2015	99	99	1	99		99	15395850	15428664	17446888	17446888	99	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
China	Wed Sep 06 18:41:54 2023	chn	bcg	2016	99	99	2	99		99	17302156	17354556	18283156	18283156	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
