Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	1997	75	75	1		53	53			572921	572921	53	gov	75	W: AP	Estimate of 75 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	1998	80	80	1		63	63			588050	588050	63	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	1999	78	78	1	66	66	66	367871	553847	607379	607379	66	gov	78	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 78 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	2000	78	78	1	69	69	69	419047	608677	619552	619552	69	gov		C:	Reported data calibrated to 1999 and 2003 levels.    Estimate challenged by: D-R-	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	2001	79	79	1	59	66	66	413376	704619	632231	632231	73	interpolated		C:	Reported data calibrated to 1999 and 2003 levels.  Reported data excluded.  Decline in reported data attributed to incomplete reporting.  Estimate challenged by: D-R-	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	2002	79	79	1	76	76	76	486668	644192	652126	652126	76	gov		C:	Reported data calibrated to 1999 and 2003 levels.    Estimate challenged by: R-S-	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	2003	82	82	3	82	82	82	543314	745733	674200	674200	82	gov	86	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 86 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	2004	83	83	3	83	83	83	566287	767359	694186	694186	83	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	2005	90	90	1	77	77	77	610347	789702	710508	710508	77	gov	90	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 90 percent based on 1 survey(s).    BCG estimates based on survey results. Denominator for BCG varies widely  Estimate challenged by: R-	
Cameroon	Wed Sep 06 18:42:14 2023	cmr	bcg	2006	96	96	1	85	85	85	613631	722232	727750	727750	85	gov		C:	Reported data calibrated to 2005 and 2010 levels.    Estimate challenged by: D-R-	
