Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	1997	29	29	2		29	29			110479	110479	29	gov		R: AP	Legacy estimate.   GoC=R+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	1998	34	34	1						111343	111343	34	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	1999	39	39	2	39	39	39	41968	107609	113712	113712	39	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2000	50	50	2	50	50	50	54395	107609	114981	114981	50	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2001	53	53	2	53	53	53	65173	123340	122462	122462	53	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2002	51	51	1	51	51	51	67539	135950	125401	125401	51	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2003	60	60	1	57	60	60	90207	157861	127161	127161	60	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2004	85	85	3	77	85	85	113506	147810	132084	132084	85	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).   Survey supports reported for all other antigens.  GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2005	73	73	1	73	73	73	124812	170114	136536	136536	73	gov		R:	Estimate informed by reported data.  .  Estimate challenged by: D-S-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2006	84	84	1	80	84	84	137006	172125	142379	142379	84	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2007	86	86	1	86	86	86	150725	176224	148481	148481	86	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2008	93	93	3	87	93	93	160907	185387	156305	156305	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2009	90	90	3	84	90	90	141012	167607	161996	161996	90	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300.   GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2010	95	95	1	82	95	95	141805	172933	172311	172311	95	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).   The government estimate includes immunizations delivered in both the public and private sector.  Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2011	95	95	3	88	95	95	155439	177602	175194	175194	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2012	92	92	3	91	92	92	165744	182397	177311	177311	92	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).   Official government estimate reflects DHS survey results.  GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2013	92	92	3	89	92	92	168798	190629	176662	176662	92	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).  Congo Multiple Indicator Cluster Survey 2014-2015 results ignored by working group.  Internal inconsistencies were identified for several vaccines in the survey report. Pneumococcal vaccine data collected yet not reported. Official government estimate reflects DHS survey results.  GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2014	95	95	3	91	95	95	178755	196348	176057	176057	95	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2015	85	85	1	77	85	85	154373	202239	175788	175788	85	gov		R:	Estimate informed by reported data.  Programme reports national level stockout of two months.  Estimate challenged by: S-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2016	80	80	1	80	82	80	171423	214411	175075	175075	80	admin		R:	Estimate informed by reported administrative data.   Drop in coverage at least partially resulting from an unexplained nine percent increase in target population compared to 2015. Adjustments from administrative coverage to derive official estimates are unclear.  Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2017	76	76	1	76	90	76	168116	220844	175642	175642	76	admin		R:	Estimate informed by reported administrative data.   Adjustments from administrative coverage to derive official estimates are unclear.  Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2018	81	81	1	81	88	81	185319	227468	176098	176098	81	admin		R:	Estimate informed by reported administrative data.   Adjustments from reported administrative coverage to derive official estimates are unclear.  Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2019	80	80	1	80	88	80	188216	234293	176563	176563	80	admin		R:	Estimate informed by reported administrative data.   Adjustments from reported administrative coverage to derive official estimates are unclear.  Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2020	72	72	1	72	72	72	172863	241254	177736	177736	72	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2021	81	81	1	81	81	81	200473	248562	179193	179193	81	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	bcg	2022	67		1	67	67	67	171841	256018	180175	180175	67	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage. Programme reports a four months vaccine stockout at national and subnational levels.  Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	1997	47	47	1						110479	110479	42	extrapolated		W: AP	Estimate of 47 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	1998	46	46	1						111343	111343	42	extrapolated		C:	Reported data calibrated to 1997 and 2004 levels.    GoC=No accepted empirical data	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	1999	46	46	1						113712	113712	42	extrapolated		C:	Reported data calibrated to 1997 and 2004 levels.    GoC=No accepted empirical data	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2000	45	45	1						114981	114981	42	extrapolated		C:	Reported data calibrated to 1997 and 2004 levels.    GoC=No accepted empirical data	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2001	44	44	1	42	42	42	51217	123340	122462	122462	42	gov		C:	Reported data calibrated to 1997 and 2004 levels.    Estimate challenged by: R-	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2002	50	50	1	49		49	67218	135950	125401	125401	49	admin		C:	Reported data calibrated to 1997 and 2004 levels.    Estimate challenged by: R-S-	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2003	62	62	1	61		61	85859	146168	127161	127161	61	admin		C:	Reported data calibrated to 1997 and 2004 levels.    Estimate challenged by: R-S-	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2004	67	67	1	71	67	67	105654	147810	132084	132084	67	gov	85	R: AP	 Survey suggests higher level of coverage than nationally reported coverage. Survey supports reported data for other antigens.   Estimate challenged by: D-S-	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2005	73	73	1	73	73	73	115375	158245	136536	136536	73	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2006	81	81	1	81	81	81	131117	162766	142379	142379	81	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2007	80	80	2		80	80		166643	148481	148481	80	gov		R:	Estimate informed by reported data.    GoC=R+	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2008	93	93	3	93	93	93	160950	172426	156305	156305	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2009	92	92	3	92	92	92	144145	155913	161996	161996	92	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300.   GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2010	90	90	1	86	90	90	137568	159963	172311	172311	90	gov	89	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 89 percent based on 1 survey(s).   The government estimate includes immunizations delivered in both the public and private sector.  Estimate challenged by: D-	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2011	90	90	3	96	90	90	158322	164282	175194	175194	90	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2012	90	90	3	91	90	90	154202	168718	177311	177311	90	gov	85	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 85 percent based on 1 survey(s).   Official government estimate reflects DHS survey results.  GoC=R+ S+ D+	
Congo	Wed Sep 06 18:42:31 2023	cog	dtp1	2013	90	90	3	91	90	90	160094	176332	176662	176662	90	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).  Congo Multiple Indicator Cluster Survey 2014-2015 results ignored by working group.  Internal inconsistencies were identified for several vaccines in the survey report. Pneumococcal vaccine data collected yet not reported. Official government estimate reflects DHS survey results.  GoC=R+ S+ D+	
