Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	1997	85	85	2		85	85			484	484	85	gov		R: AP	Legacy estimate.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	1998	98	98	2		98	98			449	449	98	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	1999	97	97	1	97	97	97	348	468	415	415	97	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: D-	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2000	99	99	1	100	100	100	310	309	383	383	100	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: D-	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2001	98	98	2	98	98	98		234	349	349	98	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2002	98	98	1	98	98	98	269	283	321	321	98	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: D-	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2003	99	99	2	100	100	100	296	295	316	316	100	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2004	99	99	2	102	102	102	321	313	310	310	102	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2005	99	99	2	104		104	309	297	307	307	104	admin		R:	Estimate informed by reported administrative data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2006	99	99	2	102		102	315	306	303	303	102	admin		R:	Estimate informed by reported administrative data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2007	99	99	2	106		106	340	320	298	298	106	admin		R:	Estimate informed by reported administrative data.   Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2008	99	99	2	100	100	100	294	293	307	307	100	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  GoC=R+ D+	
Cook Islands	Wed Sep 06 18:42:40 2023	cok	bcg	2009	99	99	1	100	100	100	284	279	316	316	100	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort.  Estimate challenged by: D-	
