Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	1997	97	97	1	98	98	98	872423	891493	885195	885195	98	gov		W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	1998	85	85	1	85	85	85	785676	926822	879217	879217	85	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	1999	80	80	1	80	80	80	727418	911867	874245	874245	80	gov	93	R: AP	 Survey confirms high levels of coverage and supports nationally reported data for other antigens.   Estimate challenged by: S-	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2000	91	91	3	91	91	91	841325	925386	867516	867516	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2001	87	87	1	87	87	87	839309	968062	859788	859788	87	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2002	87	87	1	87	87	87	828279	949848	850588	850588	87	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2003	97	97	3	97	97	97	857271	885871	839623	839623	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2004	92	92	3	92	92	92	827100	900777	827013	827013	92	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    GoC=R+ S+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2005	94	94	3	94	94	94	802192	858113	813688	813688	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2006	96	96	3	96	96	96	819968	858039	799623	799623	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2007	93	93	3	93	93	93	798923	856434	787414	787414	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2008	93	93	3	93	93	93	794039	857099	776110	776110	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2009	90	90	1	90	90	90	773709	858137	765905	765905	90	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    Estimate challenged by: D-	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2010	84	84	1	84	84	84	716245	857416	758072	758072	84	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-S-	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2011	87	87	3	87	87	87	713137	862072	752881	752881	87	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2012	89	89	2	89	89	89	705269	794474	748734	748734	89	gov		R:	Estimate informed by reported data.  Change in reported coverage from 2011 to 2012 partially attributable to change in denominators.  GoC=R+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2013	85	85	2	85	85	85	679162	796361	744381	744381	85	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2014	89	89	2	89	89	89	684650	771523	739615	739615	89	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2015	90	90	2	90	90	90	668506	745573	734664	734664	90	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2016	88	88	2	88	88	88	651143	737172	730565	730565	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2017	91	91	2	91	91	91	663031	724770	726008	726008	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Colombia	Wed Sep 06 18:42:48 2023	col	bcg	2018	89	89	2	89	89	89	636088	713694	727649	727649	89	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
