Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	1997	55	55	1		55	55			18993	18993	55	gov		R: AP	Legacy estimate.   Estimate challenged by: S-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	1998	84	84	2		84	84			19164	19164	84	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	1999	87	87	2					16077	19289	19289	87	interpolated	79	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 79 percent based on 1 survey(s).    GoC=S+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2000	90	90	1	90	90	90	20444	22716	19317	19317	90	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2001	90	90	1	81	90	90	18851	23330	19488	19488	90	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2002	90	90	2	90	90	90		17267	19614	19614	90	gov		R:	Estimate informed by reported data.    GoC=R+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2003	79	79	2	79	79	79	13799	17242	19734	19734	79	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2004	79	79	2	80	79	79	16231	20336	20142	20142	79	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2005	80	80	2	80	80	80	14589	11204	20506	20506	80	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2006	84	84	2	84		84	15886	18947	20783	20783	84	admin		R:	Estimate informed by reported administrative data.  Survey results ignored. Sample size 217 less than 300.   GoC=R+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2007	77	77	3	77		77	14903	19337	21064	21064	77	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2008	81	81	3	81		81	15923	19566	21408	21408	81	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2009	80	80	3	80		80	16030	20080	21853	21853	80	admin	87	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 87 percent based on 1 survey(s).    GoC=R+ S+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2010	76	76	1	76		76	15769	20612	22298	22298	76	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: S-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2011	78	78	3	78	90	90	16527	21161	22716	22716	78	interpolated	85	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 85 percent based on 1 survey(s).  Reported data excluded due to an increase from 76 percent to 90 percent with decrease 79 percent.   GoC=R+ S+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2012	79	79	3	79	79	79	17160	21729	22904	22904	79	gov	87	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 87 percent based on 1 survey(s).    GoC=R+ S+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2013	85	85	1	78	78	78	15875	20397	23108	23108	78	gov		C:	Reported data calibrated to 2012 and 2015 levels.    Estimate challenged by: D-R-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2014	90	90	1	75	76	76	17233	22919	23320	23320	76	gov		C:	Reported data calibrated to 2012 and 2015 levels.    Estimate challenged by: D-R-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2015	94	94	1	73	73	73	17120	23542	23498	23498	73	gov	94	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 94 percent based on 1 survey(s).     GoC=Assigned by working group.  GoC assigned to maintain consistency across vaccines.	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2016	94	94	1	75	94	94	18125	24185	23717	23717	94	gov		R: AP	 .  Reported official coverage levels are based on survey results.  Estimate challenged by: D-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2017	94	94	1	74	94	94	18305	24844	23911	23911	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2018	94	94	1	71	94	94	18213	25521	24003	24003	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2019	94	94	1	71	94	94	18611	26212	24092	24092	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2020	94	91	1	68	94	94	18228	26917	24128	24128	94	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).   Estimate of 94 percent changed from previous revision value of 91 percent.  Estimate challenged by: D-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2021	94	96	1	73	94	94	18045	24625	24180	24180	94	gov		R:	Estimate informed by reported data.  Programme notes that reported official coverage is informed by results from a 2016 coverage survey. WHO and UNICEF recommend an assessment of the administrative data. Programme reports a two months vaccine stockout. Estimate of 94 percent changed from previous revision value of 96 percent.  Estimate challenged by: D-	
Comoros	Wed Sep 06 18:42:57 2023	com	bcg	2022	90		1	61	90	90	16217	26624	24201	24201	90	gov		R:	Estimate informed by reported data.  WHO and UNICEF are aware of an ongoing 2022 Multiple Indicator Cluster Survey and await the final results. Programme reports two months vaccine stockout at national level.  Estimate challenged by: D-	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	1997	72	72	2						18993	18993	85	extrapolated		W: AP	Estimate of 72 percent assigned by working group. Legacy estimate.   GoC=S+	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	1998	90	90	1						19164	19164	85	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 75.    Estimate challenged by: S-	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	1999	73	73	2						19289	19289	85	extrapolated	73	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 73 percent based on 1 survey(s).     GoC=S+	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	2000	85	85	1	80	85	85	14520	18172	19317	19317	85	gov		R: AP	 Estimate based on reported data.   Estimate challenged by: S-	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	2001	85	85	1	85		85	15808	18663	19488	19488	85	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: S-	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	2002	96	96	1	98	98	98		17267	19614	19614	84	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 89.  Reported data excluded due to an increase from 85 percent to 98 percent with decrease 82 percent.   Estimate challenged by: R-	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	2003	82	82	2	82	82	82	14297	16225	19734	19734	82	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	2004	85	85	2	85	85	85	15362	19136	20142	20142	85	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	2005	77	77	2	77	77	77	13987	11204	20506	20506	77	gov		R:	Estimate informed by reported data.   Vaccine presentation changed to DTP-HepB.  GoC=R+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	2006	78	78	2	78		78	14772	18947	20783	20783	78	admin		R:	Estimate informed by reported administrative data.  Survey results ignored. Sample size 217 less than 300.   GoC=R+ D+	
Comoros	Wed Sep 06 18:42:57 2023	com	dtp1	2007	79	79	3	79		79	15298	19337	21064	21064	79	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
