Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	1997	93	93	1		80	80			13684	13684	80	gov		W: AP	Estimate of 93 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	1998	94	94	1		84	84			13537	13537	84	gov		W-I:	Estimate informed by interpolation between 1997 and 2004 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	1999	95	95	1	75	75	75	11076	14680	13423	13423	75	gov		W-I:	Estimate informed by interpolation between 1997 and 2004 levels.  Unexplained fluctuations in numerator and denominator levels. Survey results ignored. Sample size 208 less than 300.   Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2000	96	96	1	66	92	92	9955	15018	13339	13339	92	gov		W-I:	Estimate informed by interpolation between 1997 and 2004 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2001	96	96	1	84	84	84	10938	12955	13138	13138	84	gov		W-I:	Estimate informed by interpolation between 1997 and 2004 levels.  Unexplained fluctuations in numerator and denominator levels. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2002	97	97	1	92		92	9597	10400	12947	12947	92	admin		W-I:	Estimate informed by interpolation between 1997 and 2004 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2003	98	98	1	78	78	78	10457	11401	12732	12732	78	gov		W-I:	Estimate informed by interpolation between 1997 and 2004 levels.  Unexplained fluctuations in numerator and denominator levels.   Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2004	99	99	1	79	79	79	10913	13780	12529	12529	79	gov	96	W: AP	Estimate of 99 percent assigned by working group.  The results of the 2005 EPI coverage survey (card-only with retention rate of 97 percent, see survey details page) taken over those of the IDSR II 2005. Differences between survey results in 2004 may be the result of recall bias.   Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2005	99	99	1	78	78	78	10703	13780	12375	12375	78	gov		W-I:	Estimate informed by interpolation between 2004 and 2008 levels.  Fluctuation and nationally reported data suggests poor recording and reporting.   Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2006	99	99	1	70	70	70	9802	14010	12217	12217	70	gov		W-I:	Estimate informed by interpolation between 2004 and 2008 levels.  Fluctuation and nationally reported data suggests poor recording and reporting.   Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2007	99	99	1	86	86	86	10640	12335	12026	12026	86	gov		W-I:	Estimate informed by interpolation between 2004 and 2008 levels.  Fluctuation and nationally reported data suggests poor recording and reporting.   Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2008	99	99	1	80	80	80	10119	12697	11921	11921	80	gov	100	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 100 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2009	99	99	1	76	76	76	9920	13044	11785	11785	90	interpolated		C:	Reported data calibrated to 2008 and 2010 levels.  Reported data excluded.  Unexplained fluctuations in numerator and denominator levels.  Estimate challenged by: D-R-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2010	99	99	3		100	100	10546		11263	11263	100	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2011	99	99	3	107	99	99	10808	10086	11483	11483	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2012	99	99	3	100	100	100	11199	11234	10813	10813	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2013	94	94	3	94	94	94	9924	10556	10624	10624	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2014	99	99	1	100	100	100	9430	9449	10686	10686	100	gov		R:	Estimate informed by reported data.   Survey results (based on documented evidence by home-based records) support reported coverage levels.  Estimate challenged by: D-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2015	94	94	3	94	94	94	9944	10635	10605	10605	94	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2016	96	96	3	96	96	96	10252	10627	10786	10786	96	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2017	98	98	3	98	98	98	10423	10598	10750	10750	98	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2018	96	96	3	96	96	96	10098	10545	10188	10188	96	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2019	98	98	1	98	98	98	97	10547	10088	10088	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2020	98	98	2	98		98	10226	10382	10008	10008	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2021	98	98	1	118	118	118	9713	8201	9976	9976	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  Programme report issues with data quality. Denominator declines of about 20 percent between 2020 and 2021. Current target population figures derived from the 2021 census. WHO and UNICEF recommend a critical review of the reported numerator and denominator time-series data. Estimated coverage is likely an overestimate.Reported data excluded because 118 percent greater than 100 percent. Reported data excluded due to an increase from 98 percent to 118 percent with decrease 97 percent.   GoC=Assigned by working group.  GoC of one based on no reported data accepted.	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	bcg	2022	98		1	97	97	97	7934	8201	9908	9908	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded.  Estimate informed by prior year estimate. Reported data suggests increasing in coverage while trends in reported doses administered indicate declines.Reported data excluded due to sudden change in coverage from 118 level to 97 percent.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	dtp1	1997	92	92	1						13684	13684	93	extrapolated		W: AP	Estimate of 92 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Cabo Verde	Wed Sep 06 18:43:06 2023	cpv	dtp1	1998	93	93	1						13537	13537	93	extrapolated		W-I:	Estimate informed by interpolation between 1997 and 2004 levels.  Unexplained fluctuations in numerator and denominator levels.   GoC=No accepted empirical data	
