Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	1997	82	82	2		82	82			80215	80215	82	gov		R: AP	Legacy estimate.   GoC=R+	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	1998	88	88	1		87	87			78828	78828	87	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	1999	91	91	1	93	89	89			79038	79038	89	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	2000	95	95	1	92	92	92	72215	78178	78601	78601	92	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	2001	91	91	1	87	87	87			77320	77320	87	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	2002	96	96	1	91	91	91			74600	74600	91	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	2003	93	93	1	87	87	87	63681	72938	73877	73877	87	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	2004	97	97	1	90	90	90	64704	72247	73199	73199	90	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: R-	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	2005	96	96	1	88	88	88	62856	71548	73269	73269	88	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: D-R-	
Costa Rica	Wed Sep 06 18:43:17 2023	cri	bcg	2006	95	95	1	87	87	87	62109	71291	73483	73483	87	gov		C:	Reported data calibrated to 1997 and 2015 levels.    Estimate challenged by: D-R-	
