Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	1997	99	99	2		99	99			149583	149583	99	gov		R: AP	Legacy estimate.   GoC=R+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	1998	99	99	2		99	99			148572	148572	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	1999	99	99	2	94	99	99			147296	147296	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2000	99	99	2	99	99	99	141791	143528	140373	140373	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2001	99	99	2	100		100	137974	138534	135672	135672	100	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2002	99	99	2	99		99	140214	141115	137103	137103	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2003	99	99	3	100		100	135378	138099	132570	132570	100	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2004	99	99	3		99	99	126456		123853	123853	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2005	99	99	3	99	99	99	119269	120587	117483	117483	99	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2006	99	99	3	99	99	99	110495	111211	109790	109790	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2007	99	99	3	99	100	100	111854	112472	111832	111832	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2008	99	99	3	99	99	99	121328	122559	122260	122260	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2009	99	99	3	99	99	99	128984	130033	129809	129809	99	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2010	99	99	3	99	99	99	126855	127611	129069	129069	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2011	99	99	3	99	99	99	131129	132962	133055	133055	99	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2012	99	99	3	100	100	100	124959	125564	126643	126643	100	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2013	99	99	3	100	100	100	125436	125876	126008	126008	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2014	99	99	3	99	99	99	121621	122494	123133	123133	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2015	99	99	3	99	99	99	123801	125064	124508	124508	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2016	99	99	3	99	99	99	115625	116872	117455	117455	99	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2017	99	99	3	99	99	99	113946	114835	115495	115495	99	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2018	99	99	3	100	100	100	121029	121035	117309	117309	100	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2019	99	99	3	99	99	99	108804	109717	110404	110404	99	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2020	99	99	2	100	100	100	104036	104514	105616	105616	100	gov		R:	Estimate informed by reported data.  Programme reports a two months vaccine stockout at national and subnational levels.  GoC=R+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2021	99	99	2	100	100	100	98128	98342	100445	100445	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	bcg	2022	99		2	100	100	100	98128	98342	99693	99693	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Cuba	Wed Sep 06 18:43:26 2023	cub	dtp1	1997	99	99	1						149583	149583	93	extrapolated		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Cuba	Wed Sep 06 18:43:26 2023	cub	dtp1	1998	99	99	1						148572	148572	93	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    GoC=No accepted empirical data	
Cuba	Wed Sep 06 18:43:26 2023	cub	dtp1	1999	95	95	1						147296	147296	93	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    GoC=No accepted empirical data	
