Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	1997	98	98	1						12708	12708	100	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	1998	98	98	1						12292	12292	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	1999	98	98	1						11909	11909	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2000	98	98	1		100	100			11923	11923	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2001	98	98	1						11677	11677	100	interpolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2002	98	98	1		100	100			11494	11494	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2003	98	98	1		100	100			11872	11872	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2004	98	98	1		100	100			12258	12258	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2005	98	98	1		100	100			12244	12244	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2006	98	98	1		100	100		8243	12846	12846	100	gov		C:	Reported data calibrated to 1997 levels.  Survey indicates 65 percent of immunizations are given in the private sector.  Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2007	98	98	1		100	100		8704	12619	12619	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2008	98	98	1		100	100		8554	13219	13219	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2009	99	99	1		100	100		9172	13579	13579	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2010	99	99	1		100	100		9576	13536	13536	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2011	99	99	1		100	100		9801	13143	13143	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2012	99	99	1		100	100	4214	9592	13577	13577	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: D-R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2013	99	99	1		100	100	4467	10125	12912	12912	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: D-R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2014	99	99	1		100	100		9326	13114	13114	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2015	98	98	1		100	100		9332	13282	13282	100	gov		C:	Reported data calibrated to 1997 levels.  Reported coverage levels are based on the Cyprus 2015 Childrens Immunization Survey.  Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2016	98	98	1		100	100			13652	13652	100	gov		C:	Reported data calibrated to 1997 levels.  Reported coverage levels are based on the Cyprus 2015 Childrens Immunization Survey.  Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2017	98	98	1		100	100	4074	9644	13257	13257	100	gov		C:	Reported data calibrated to 1997 levels.  Reported coverage levels are based on the Cyprus 2015 Childrens Immunization Survey.  Estimate challenged by: D-R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2018	99	99	1		100	100	4197	9326	13189	13189	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.   Reported coverage levels are based on the Cyprus 2015 Childrens Immunization Survey.  Estimate challenged by: D-R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2019	98	98	1		100	100	2951	9238	13237	13237	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: D-R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2020	98	98	1		100	100			13081	13081	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2021	98	98	1		100	100			12820	12820	100	gov		C:	Reported data calibrated to 1997 levels.  Programme reports four months vaccine stockout at national and subnational levels.  Estimate challenged by: R-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp1	2022	98		1						12517	12517	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	1997	98	98	2		98	98			12708	12708	98	gov		R: AP	Legacy estimate.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	1998	98	98	1						12292	12292	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	1999	97	97	1						11909	11909	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2000	97	97	2		97	97			11923	11923	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2001	97	97	1						11677	11677	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2002	98	98	1						11494	11494	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2003	98	98	2		98	98			11872	11872	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2004	98	98	2		98	98			12258	12258	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2005	98	98	2		98	98			12244	12244	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2006	97	97	2		97	97		8243	12846	12846	97	gov		R:	Estimate informed by reported data.  Survey indicates 62 percent of immunizations are given in the private sector.  GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2007	97	97	2		97	97		8704	12619	12619	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2008	97	97	2		97	97		8554	13219	13219	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2009	99	99	2		99	99		9172	13579	13579	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2010	99	99	2		99	99		9576	13536	13536	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2011	99	99	2		99	99		9773	13143	13143	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2012	99	99	1		99	99	3896	9592	13577	13577	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2013	99	99	1		99	99	4446	10125	12912	12912	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2014	99	99	2		99	99		9326	13114	13114	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2015	97	97	2		97	97		9332	13282	13282	97	gov		R:	Estimate informed by reported data.  Reported coverage levels are based on the Cyprus 2015 Childrens Immunization Survey.  GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2016	97	97	2		97	97			13652	13652	97	gov		R:	Estimate informed by reported data.  Reported coverage levels are based on the Cyprus 2015 Childrens Immunization Survey.  GoC=R+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2017	97	97	1		97	97	3914	9644	13257	13257	97	gov		R:	Estimate informed by reported data.  Reported coverage levels are based on the Cyprus 2015 Childrens Immunization Survey.  Estimate challenged by: D-	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2018	99	99	2		99	99	11832	9326	13189	13189	99	gov		R:	Estimate informed by reported data.  Reported coverage levels are based on the Cyprus 2015 Childrens Immunization Survey.  GoC=R+ D+	
Cyprus	Wed Sep 06 18:43:40 2023	cyp	dtp3	2019	96	96	1		96	96	3053	9238	13237	13237	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
