Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	1997	97	97	2		97	97			90664	90664	97	gov		R: AP	Legacy estimate.   GoC=R+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	1998	98	98	2		98	98			90003	90003	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	1999	98	98	2		98	98			89044	89044	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2000	98	98	1					90900	91174	91174	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2001	98	98	2		98	98	89262	90622	90871	90871	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2002	97	97	2	97	97	97	87300	90000	93005	93005	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2003	98	98	2	98	98	98	89241	90600	94131	94131	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2004	99	99	2	99	99	99	96296	97664	98410	98410	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2005	99	99	2	99	99	99	101197	102256	103883	103883	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2006	99	99	2		99	99			106981	106981	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2007	99	99	2	99	99	99			114831	114831	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2008	99	99	2	99	99	99		119914	118911	118911	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Czechia	Wed Sep 06 18:43:48 2023	cze	bcg	2009	98	98	2	98	98	98			117849	117849	98	gov		R:	Estimate informed by reported data.  WHO UNICEF estimates for infant immunization coverage discontinued from 2010.  GoC=R+	
Czechia	Wed Sep 06 18:43:48 2023	cze	dtp1	1997	99	99	1						90664	90664				RMF	Estimate based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Czechia	Wed Sep 06 18:43:48 2023	cze	dtp1	1998	99	99	1						90003	90003				RMF	Estimate based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Czechia	Wed Sep 06 18:43:48 2023	cze	dtp1	1999	99	99	1						89044	89044				RMF	Estimate based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Czechia	Wed Sep 06 18:43:48 2023	cze	dtp1	2000	99	99	1						91174	91174				RMF	Estimate based on DTP3 coverage of 98.    GoC=No accepted empirical data	
