Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	1997	95	95	1						802831	802831	99	extrapolated		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	1998	95	95	1						783731	783731	99	extrapolated		C:	Reported data calibrated to 1997 and 2007 levels.    GoC=No accepted empirical data	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	1999	99	99	1						769795	769795	99	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.    GoC=No accepted empirical data	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	2000	96	96	1						758949	758949	99	extrapolated		C:	Reported data calibrated to 1997 and 2007 levels.    GoC=No accepted empirical data	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	2001	97	97	1						726161	726161	99	extrapolated		C:	Reported data calibrated to 1997 and 2007 levels.    GoC=No accepted empirical data	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	2002	97	97	1					538377	707832	707832	99	extrapolated		C:	Reported data calibrated to 1997 and 2007 levels.    GoC=No accepted empirical data	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	2003	97	97	1						694477	694477	99	extrapolated		C:	Reported data calibrated to 1997 and 2007 levels.    GoC=No accepted empirical data	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	2004	98	98	1						690997	690997	99	extrapolated		C:	Reported data calibrated to 1997 and 2007 levels.    GoC=No accepted empirical data	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	2005	98	98	1						673191	673191	99	extrapolated		C:	Reported data calibrated to 1997 and 2007 levels.    GoC=No accepted empirical data	
Germany	Wed Sep 06 18:43:56 2023	deu	dtp1	2006	99	99	1						662205	662205	99	extrapolated		C:	Reported data calibrated to 1997 and 2007 levels.    GoC=No accepted empirical data	
