Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	1997	43	43	1		67	67			22281	22281	67	gov		W: AP	Estimate of 43 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	1998	35	35	2		35	35			23025	23025	35	gov		R: AP	 Estimate based on reported data.   GoC=R+	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	1999	26	26	2	30	26	26	7795	26014	23893	23893	26	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	2000	34	34	2	34	34	34	9367	27948	24571	24571	34	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	2001	38	38	2	38	38	38	10734	27948	25234	25234	38	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	2002	52	52	2	52	52	52	14116	27127	25795	25795	52	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300.   GoC=R+ D+	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	2003	63	63	1	63	63	63	18075	28778	26018	26018	63	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	2004	71	71	1	78	78	78	19287	24800	25565	25565	71	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to an increase from 63 percent to 78 percent with decrease 52 percent.   Estimate challenged by: S-	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	2005	80	80	1	52	52	52	10380	19950	25168	25168	80	interpolated	88	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 88 percent based on 1 survey(s).  Reported data excluded due to decline in reported coverage from 78 percent to 52 percent with increase to 88 percent.   Estimate challenged by: D-S-	
Djibouti	Wed Sep 06 18:44:06 2023	dji	bcg	2006	88	88	1	88	88	88	17900	20353	24660	24660	88	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
