Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	1997	99	99	1		100	100			1297	1297	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	1998	99	99	2		99	99			1248	1248	99	gov		R: AP	 Estimate based on reported data.   GoC=R+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	1999	99	99	2	99	99	99			1346	1346	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2000	99	99	2	99	99	99	1254	1263	1219	1219	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2001	99	99	2	99		99	1192	1203	1292	1292	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2002	99	99	2	99	99	99		1167	1153	1153	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2003	99	99	2		100	100	1075	1064	1105	1105	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2004	99	99	2	100	100	100	993	997	1086	1086	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2005	98	98	2		98	98			1074	1074	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2006	99	99	2	100	100	100	1006	1006	1099	1099	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2007	90	90	1	86	90	90	852	996	1065	1065	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2008	98	98	1	98	98	98	883	901	1028	1028	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2009	99	99	2	99	99	99	963	977	990	990	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2010	99	99	2	102	102	102	981	960	965	965	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 102 percent greater than 100 percent.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2011	98	98	2	110	110	110	1003	911	940	940	98	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 110 percent greater than 100 percent.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2012	98	98	2	98	98	98	903	925	930	930	98	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2013	97	97	2	97	97	97	902	931	923	923	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2014	98	98	2	98	98	98	874	893	899	899	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2015	98	98	2	101	101	101	833	828	944	944	98	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.  House to house vaccination coverage study conducted in 2015.  GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2016	98	98	1	98	98	98	806	819	921	921	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2017	97	97	2	97	97	97	814	841	923	923	97	gov		R:	Estimate informed by reported data.  Programme reported a stockout of all vaccines for 4-5 months at central level due to Hurricane Maria.  GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2018	95	95	1	95	95	95	616	646	933	933	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2019	98	98	1	98	98	98	696	711	946	946	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2020	98	98	1	98	98	98	772	790	957	957	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2021	89	89	1	89	89	89	707	790	965	965	89	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Dominica	Wed Sep 06 18:44:18 2023	dma	bcg	2022	93		1	93	93	93	722	779	966	966	93	gov		R:	Estimate informed by reported data.  No nationally representative independent assessment has been conducted within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage. Programme reports a six month vaccine stockout at national and subnational levels due to cold chain issues.  Estimate challenged by: D-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	1997	97	97	1						1297	1297	98	extrapolated		W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	1998	99	99	1						1248	1248	98	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	1999	99	99	1						1346	1346	98	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2000	99	99	1	98	98	98	1235	1263	1219	1219	98	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2001	99	99	1		100	100		1203	1292	1292	100	gov		C:	Reported data calibrated to 1997 and 2002 levels.    Estimate challenged by: R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2002	99	99	2		99	99			1153	1153	99	gov		R: AP	 Estimate based on reported data.   GoC=R+	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2003	99	99	1	98		98	1042	1064	1105	1105	98	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2004	99	99	1	102		102	1016	997	1086	1086	96	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2005	99	99	1						1074	1074	95	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2006	98	98	1	112	93	93	1107	990	1099	1099	93	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.    Estimate challenged by: R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2007	98	98	1	93	93	93	928	996	1065	1065	93	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: D-R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2008	96	96	2	105	104	104	950	907	1028	1028	96	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ D+	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2009	99	99	1	98	98	98	959	976	990	990	98	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2010	99	99	1	97	97	97	927	960	965	965	97	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2011	99	99	1	96	96	96	875	915	940	940	96	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Dominica	Wed Sep 06 18:44:18 2023	dma	dtp1	2012	98	98	2	98	98	98	904	925	930	930	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
