Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	1997	97	97	1		86	86			67394	67394	86	gov		W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	1998	99	99	1		95	95			66052	66052	95	gov		C:	Reported data calibrated to 1997 and 2001 levels.    Estimate challenged by: R-	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	1999	99	99	1		96	96			66123	66123	96	gov		C:	Reported data calibrated to 1997 and 2001 levels.    Estimate challenged by: R-	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2000	98	98	1		95	95			66812	66812	95	gov		C:	Reported data calibrated to 1997 and 2001 levels.    Estimate challenged by: R-	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2001	97	97	2	97	97	97	63688	65874	65393	65393	97	gov		R: AP	 Estimate is based on the reported data.   GoC=R+ D+	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2002	99	99	1	96	97	97	62216	64494	64177	64177	97	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2003	98	98	1	95	95	95	61426	64833	64625	64625	95	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: R-	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2004	95	95	2	95	95	95	61744	64814	64723	64723	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2005	93	93	2	93	93	93	60127	64567	64565	64565	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2006	93	93	2	93	93	93	60309	65048	65235	65235	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2007	87	87	2	87	87	87			64498	64498	87	gov		R:	Estimate informed by reported data.   GoC=R+	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2008	89	89	1						64831	64831	89	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2009	90	90	2	90	90	90			62753	62753	90	gov		R:	Estimate informed by reported data.   GoC=R+	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2010	93	93	2	93	93	93			62804	62804	93	gov		R:	Estimate informed by reported data.   GoC=R+	
Denmark	Wed Sep 06 18:44:28 2023	dnk	dtp1	2011	94	94	2	94	94	94			58906	58906	94	gov		R:	Estimate informed by reported data.   GoC=R+	
