Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	1997	88	88	2		88	88			212907	212907	88	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	1998	86	86	2		86	86			209217	209217	86	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 73 less than 300.   GoC=R+ S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	1999	99	99	2	83	99	99			210728	210728	99	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    GoC=R+ S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2000	90	90	3	90	90	90	197557	219063	212564	212564	90	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2001	98	98	2	96	98	98			211171	211171	98	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    GoC=R+ S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2002	97	97	3	108	108	108	210243	195053	210285	210285	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 108 percent greater than 100 percent.   GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2003	95	95	3	90	95	95	202963	224346	209303	209303	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2004	97	97	3	97	97	97	210240	216583	208084	208084	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2005	96	96	1	101	101	101	222272	220224	206409	206409	96	interpolated	96	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 96 percent based on 2 survey(s).  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: D-	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2006	95	95	3	95	95	95	212629	224179	203321	203321	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2007	92	92	2	92	92	92			204419	204419	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2008	92	92	3	92	92	92	207718	225097	209382	209382	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2009	96	96	3	96	96	96	217091	227115	213903	213903	96	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2010	98	98	3	98	98	98	211019	215391	215791	215791	98	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2011	99	99	3	103	103	103	219598	213370	216161	216161	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 103 percent greater than 100 percent.   GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2012	99	99	2	100	100	100	210892	211599	215533	215533	100	gov		R:	Estimate informed by reported data. Dominican Republic Demographic and Health Survey 2013 results ignored by working group.  Survey results are to be further examined to better understand potential inconsistencies in reported results.Dominican Republic Multiple Indicator Cluster Survey 2014 results ignored by working group.  Survey results are to be further examined to better understand potential inconsistencies in reported results.  GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2013	99	99	2	98	99	99	207400	210582	215305	215305	99	gov		R:	Estimate informed by reported data. Dominican Republic Multiple Indicator Cluster Survey 2014 results ignored by working group.  Survey results are to be further examined to better understand potential inconsistencies in reported results.  GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2014	99	99	2	109	109	109	214304	196181	214875	214875	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 109 percent greater than 100 percent.  Increase in reported coverage reflects a decrease in the reported target population data.  GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2015	99	99	2	104	104	104	202416	194918	214628	214628	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 104 percent greater than 100 percent.   GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2016	99	99	2	101	101	101	195070	193428	213572	213572	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2017	99	99	2	107	107	107	204992	192216	213169	213169	99	interpolated		R:	Estimate informed by interpolation between reported data.  Dominican Republic Multiple Indicator Cluster Survey 2019 results ignored by working group.  Survey results for adjacent birth cohorts are inconsistent across antigens and require additional review.Reported data excluded because 107 percent greater than 100 percent.   GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2018	99	99	2	105	105	105	200465	191686	213047	213047	99	interpolated		R:	Estimate informed by interpolation between reported data.  Dominican Republic Multiple Indicator Cluster Survey 2019 results ignored by working group.  Survey results for adjacent birth cohorts are inconsistent across antigens and require additional review.Reported data excluded.  Reported data reflect unexplained year-to-year increases in the number of children vaccinated, which for some antigens results in coverage greater than 100 percent.Reported data excluded because 105 percent greater than 100 percent.   GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2019	99	99	2	113	113	113	215613	190745	210196	210196	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 113 percent greater than 100 percent.  Programme reports one month vaccine stockout.  GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2020	85	85	1	99	99	99	188295	189843	206696	206696	99	gov		W:	 Programme reports a two months vaccine stockout at national and subnational levels.  Country reports that declines in 2020 coverage levels are the result of COVID-19 related disruptions.  Estimate challenged by: R-	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2021	99	99	2	103	103	103	194727	188276	205050	205050	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded because 103 percent greater than 100 percent.   GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	bcg	2022	99		2	109	109	109	203050	186546	203625	203625	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded because 109 percent greater than 100 percent.  2019 Multiple Indicator Cluster Survey results for some antigens suggest lower coverage levels than that reported by programme. However, as noted for prior years, results are inconsistent for adjacent cohorts across antigens and are not currently used to inform the estimated coverage time-series. Estimated coverage levels may overestimate coverage.  GoC=R+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	1997	86	86	2						212907	212907	95	extrapolated		W: AP	Estimate of 86 percent assigned by working group. Legacy estimate.   GoC=S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	1998	91	91	2						209217	209217	95	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.  Survey results ignored. Sample size 73 less than 300.   GoC=S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	1999	95	95	2						210728	210728	95	extrapolated	93	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 93 percent based on 1 survey(s).    GoC=S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2000	91	91	2					219063	212564	212564	95	extrapolated		RMF	Estimate based on DTP3 coverage of 78.    GoC=S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2001	95	95	2	95	95	95			211171	211171	95	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).    GoC=R+ S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2002	92	92	1		123	123	240736	195053	210285	210285	92	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 123 percent greater than 100 percent. Reported data excluded due to an increase from 95 percent to 123 percent with decrease 88 percent.   Estimate challenged by: D-	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2003	88	88	3	88	88	88	197719	224346	209303	209303	88	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2004	87	87	3	87	87	87	189364	216583	208084	208084	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2005	92	92	3	92	92	92	202040	220224	206409	206409	92	gov	93	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 93 percent based on 2 survey(s).    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2006	93	93	3	93	93	93	208486	224179	203321	203321	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2007	87	87	2	87	87	87			204419	204419	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2008	86	86	3	90	86	86	192716	225097	209382	209382	86	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2009	85	85	3	85	85	85	192103	227115	213903	213903	85	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2010	96	96	3	95	96	96	205681	215391	215791	215791	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2011	91	91	3	91	91	91	195043	213370	216161	216161	91	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2012	92	92	3	93	92	92	195771	211599	215533	215533	92	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 2 survey(s).    GoC=R+ S+ D+	
Dominican Republic	Wed Sep 06 18:44:39 2023	dom	dtp1	2013	91	91	3	91	91	91	192567	210582	215305	215305	91	gov		R:	Estimate informed by reported data. Dominican Republic Multiple Indicator Cluster Survey 2014 results ignored by working group.  Survey results are to be further examined to better understand potential inconsistencies in reported results.  GoC=R+ S+ D+	
