Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	1997	94	94	2		94	94			623072	623072	94	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	1998	95	95	2		95	95			598945	598945	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	1999	97	97	3	97	97	97	561030	581009	597324	597324	97	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2000	97	97	2						601641	601641	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=S+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2001	97	97	3	97	97	97	547164	561359	606613	606613	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2002	98	98	2	98	98	98	569638	582830	614591	614591	98	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300.   GoC=R+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2003	98	98	3	98	98	98	567583	581431	640386	640386	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2004	98	98	3	98	98	98	591707	603164	668185	668185	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2005	98	98	1	98	98	98	614252	627562	698990	698990	98	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2006	99	99	3	99	99	99	650500	655400	730551	730551	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2007	99	99	1	100	100	100	675181	677924	770485	770485	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2008	99	99	1	100	100	100	723289	724703	810140	810140	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2009	99	99	3	100		100	880099	884496	847255	847255	100	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2010	99	99	1	99	100	100	761191	766963	877676	877676	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2011	99	99	1	99	100	100	788410	804783	907559	907559	100	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2012	99	99	1	99	100	100	824462	836069	946579	946579	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2013	99	99	1	100	100	100	853704	856971	959572	959572	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2014	99	99	2	100	100	100	983831	987760	985393	985393	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2015	99	99	3	100	100	100	1013050	1017367	1005272	1005272	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2016	99	99	3	100	100	100	1036837	1041864	1015743	1015743	100	admin		R:	Estimate informed by reported administrative data.   Official government estimates are higher than reported administrative coverage without explanation.  GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2017	99	99	3	100	100	100	1065986	1070554	1018808	1018808	100	admin	98	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 98 percent based on 1 survey(s).   Official government estimates are higher than reported administrative coverage without explanation.  GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2018	99	99	1	99	100	99	1104133	1110920	1009713	1009713	99	admin		R:	Estimate informed by reported administrative data.   Official government estimates are higher than reported administrative coverage without explanation.  Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2019	99	99	1						995239	995239	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=Assigned by working group.  No reported data.	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2020	99	99	1						974703	974703	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2021	98	99	1						950888	950888	98	interpolated		R:	Estimate informed by interpolation between reported data.   Estimate of 98 percent changed from previous revision value of 99 percent.  GoC=No accepted empirical data	
Algeria	Wed Sep 06 18:44:51 2023	dza	bcg	2022	98		2	98		98	903689	919167	923648	923648	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	1997	96	96	2						623072	623072	92	extrapolated		W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   GoC=S+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	1998	94	94	2						598945	598945	92	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=S+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	1999	92	92	2						597324	597324	92	extrapolated	92	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=S+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2000	95	95	2						601641	601641	92	extrapolated		RMF	Estimate based on DTP3 coverage of 86.    GoC=S+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2001	92	92	3	92		92	518848	561359	606613	606613	92	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2002	93	93	2	93	93	93	541578	582830	614591	614591	93	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300.   GoC=R+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2003	93	93	3	93	93	93	542495	581431	640386	640386	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2004	93	93	3	93	93	93	558882	603164	668185	668185	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2005	94	94	3	94	94	94	587304	627562	698990	698990	94	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2006	98	98	1	97	98	98	638500	655400	730551	730551	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2007	98	98	1	98	98	98	658801	677924	770485	770485	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2008	97	97	1	97	97	97	704174	724703	810140	810140	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2009	98	98	3	98		98	870642	884496	847255	847255	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2010	99	99	1	96	100	100	734140	766963	877676	877676	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2011	99	99	1	95	100	100	753166	796266	907559	907559	100	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2012	99	99	1	98	100	100	815811	836069	946579	946579	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2013	99	99	1	95	100	100	814347	856971	959572	959572	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2014	99	99	2	95	100	100	939781	987760	985393	985393	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2015	99	99	3	95	100	100	966024	1017367	1005272	1005272	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2016	96	96	3	96	100	96	981780	1022171	1015743	1015743	96	admin		R:	Estimate informed by reported administrative data.   Official government estimates are higher than reported administrative coverage without explanation.  GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2017	95	95	3	95	100	95	999846	1047907	1018808	1018808	95	admin	96	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 96 percent based on 1 survey(s).   Official government estimates are higher than reported administrative coverage without explanation.  GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2018	96	96	3	96	98	96	1046732	1090227	1009713	1009713	96	admin		R:	Estimate informed by reported administrative data.   Official government estimates are higher than reported administrative coverage without explanation.  GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2019	95	96	1						995239	995239	95	interpolated		R:	Estimate informed by interpolation between reported data.   Estimate of 95 percent changed from previous revision value of 96 percent.  GoC=Assigned by working group.  No reported data.	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2020	94	96	1						974703	974703	94	interpolated		R:	Estimate informed by interpolation between reported data.   Estimate of 94 percent changed from previous revision value of 96 percent.  GoC=No accepted empirical data	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2021	92	96	1						950888	950888	92	interpolated		R:	Estimate informed by interpolation between reported data.   Estimate of 92 percent changed from previous revision value of 96 percent.  GoC=No accepted empirical data	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp1	2022	91		2	91		91	889215	981834	923648	923648	91	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	1997	89	89	1		79	79			623072	623072	79	gov		W: AP	Estimate of 89 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	1998	85	85	1		80	80			598945	598945	80	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	1999	83	83	3	83	83	83	483372	581009	597324	597324	83	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).  Algeria Multiple Indicator Cluster Survey 2000 card or history results of 94 percent modifed for recall bias to 90 percent based on 1st dose card or history coverage of 92 percent, 1st dose card only coverage of 92 percent and 3rd dose card only coverage of 90 percent.   GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	2000	86	86	2						601641	601641	86	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=S+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	2001	89	89	1	83	89	89	467756	561359	606613	606613	89	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	2002	86	86	2	86	86	86	502612	582830	614591	614591	86	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300. Algeria Family Health Survey card or history results of 92 percent modifed for recall bias to 92 percent based on 1st dose card or history coverage of 96 percent, 1st dose card only coverage of 98 percent and 3rd dose card only coverage of 94 percent.   GoC=R+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	2003	87	87	3	87	87	87	508431	581431	640386	640386	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	2004	86	86	3	86	86	86	519906	603164	668185	668185	86	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	2005	88	88	3	88	88	88	554110	627562	698990	698990	88	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).  Algeria Multiple Indicator Cluster Survey 2006 card or history results of 95 percent modifed for recall bias to 95 percent based on 1st dose card or history coverage of 98 percent, 1st dose card only coverage of 92 percent and 3rd dose card only coverage of 89 percent.   GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	2006	95	95	3	95	95	95	625800	655400	730551	730551	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	2007	95	95	1	95	95	95	646816	677924	770485	770485	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Algeria	Wed Sep 06 18:44:51 2023	dza	dtp3	2008	93	93	1	93	93	93	672262	724703	810140	810140	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
