Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	1997	99	99	2		99	99			321877	321877	99	gov		R: AP	Legacy estimate.   GoC=R+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	1998	98	98	2		98	98			322864	322864	98	gov		R: AP	 Estimate based on reported data.   GoC=R+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	1999	99	99	1	101	99	99			322409	322409	99	gov		C:	Reported data calibrated to 1998 and 2011 levels.    Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2000	99	99	1	113	113	113		297612	321270	321270	98	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 113 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2001	99	99	1	121	121	121	358400	297409	320448	320448	98	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 121 percent greater than 100 percent.   Estimate challenged by: D-R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2002	99	99	1	117	117	117	348378	297103	320056	320056	97	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 117 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2003	99	99	1	99	99	99	335301	248172	319753	319753	96	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Survey of Demography and Maternal and Child Health (ENDEMAIN-2004) results ignored by working group.  Estimate based on reported data for other antigens.Reported data excluded due to decline in reported coverage from 117 percent to 99 percent with increase to 113 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2004	99	99	1	113	113	113	327465	289789	319624	319624	96	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 113 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2005	99	99	1	113	113	113	324703	288485	319659	319659	95	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 113 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2006	99	99	1	116	116	116	332951	287678	320941	320941	95	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 116 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2007	99	99	1	116	116	116	333763	287142	322742	322742	94	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 116 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2008	98	98	1	118	118	118	336884	286616	324545	324545	93	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 118 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2009	99	99	1	120	120	120	343027	286204	326551	326551	93	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 120 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2010	98	98	1	117	117	117	333483	285769	328258	328258	92	interpolated		C:	Reported data calibrated to 1998 and 2011 levels.  Reported data excluded because 117 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2011	98	98	1	117	117	117	334455	285766	330798	330798	91	interpolated	98	W: AP	Estimate of 98 percent assigned by working group.  Estimate is based on survey result. Reported data excluded because 117 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2012	94	94	1	122	122	122	326618	268421	325267	325267	91	interpolated		C:	Reported data calibrated to 2011 and 2013 levels.  Reported data excluded because 122 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2013	90	90	3	90	90	90	303600	337546	316029	316029	90	gov		R: AP	 Coverage levels for 2013 following a revision of the target population are in line with the results of the 2012 coverage survey for the 2011 birth cohort.  Decline in reported coverage is partly due to a revision of the target population estimate in 2013.  GoC=R+ S+ D+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2014	89	89	2	89	89	89	298205	336206	308532	308532	89	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2015	88	88	2	88	88	88	296794	337353	303340	303340	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2016	84	84	1	84	84	84	281364	334222	299318	299318	84	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2017	88	88	2	88	88	88	292729	333325	300031	300031	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2018	90	90	1	90	90	90	299360	332505	299106	299106	90	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2019	86	86	2	86	86	86	286859	331773	300075	300075	86	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2020	81	81	2	81	81	81	266961	331139	299338	299338	81	gov		R:	Estimate informed by reported data.  Decline in reported coverage is unexplained by country but aligns with COVID-19 pandemic service disruptions.  GoC=R+ D+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2021	75	75	2	75	75	75	248812	330580	298989	298989	75	gov		R:	Estimate informed by reported data.  Programme reports three months AD syringe stockout at national and subnational levels.  GoC=R+ D+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	bcg	2022	76		2	76	76	76	250037	330105	298666	298666	76	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=R+ D+	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	dtp1	1997	93	93	1						321877	321877	99	extrapolated		W: AP	Estimate of 93 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	dtp1	1998	94	94	1						322864	322864	99	extrapolated		C:	Reported data calibrated to 1997 and 2013 levels.    GoC=No accepted empirical data	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	dtp1	1999	93	93	1						322409	322409	99	extrapolated		C:	Reported data calibrated to 1997 and 2013 levels.    GoC=No accepted empirical data	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	dtp1	2000	94	94	1	105	105	105	311626	297612	321270	321270	99	extrapolated		C:	Reported data calibrated to 1997 and 2013 levels.  Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	dtp1	2001	95	95	1	105		105	312348	297409	320448	320448	99	extrapolated		C:	Reported data calibrated to 1997 and 2013 levels.  Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	dtp1	2002	95	95	1	102	102	102	303701	297103	320056	320056	99	extrapolated		C:	Reported data calibrated to 1997 and 2013 levels.  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	dtp1	2003	95	95	1	99		99	300961	248172	319753	319753	99	admin		C:	Reported data calibrated to 1997 and 2013 levels.    Estimate challenged by: R-	
Ecuador	Wed Sep 06 18:45:01 2023	ecu	dtp1	2004	95	95	1	99	99	99	285407	289789	319624	319624	99	gov		C:	Reported data calibrated to 1997 and 2013 levels.    Estimate challenged by: R-	
