Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	1997	98	98	2		98	98			1871413	1871413	98	gov	98	R: AP	Legacy estimate.   GoC=R+ S+	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	1998	99	99	2		99	99			1902874	1902874	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	1999	98	98	1	97	98	98	1653730	1700225	1912494	1912494	98	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    Estimate challenged by: D-	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	2000	98	98	3	98	98	98	1714570	1743208	1926197	1926197	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	2001	98	98	3	98		98	1743726	1778535	1955126	1955126	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	2002	98	98	3	98		98	1732794	1764140	1968869	1968869	98	admin	99	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    GoC=R+ S+ D+	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	2003	98	98	3	98	98	98	1779476	1808128	2000352	2000352	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	2004	98	98	3	98	98	98	1854090	1854090	2012961	2012961	98	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+ D+	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	2005	98	98	1	98	98	98	1792452	1826929	2054780	2054780	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Egypt	Wed Sep 06 18:45:32 2023	egy	bcg	2006	99	99	1	99	99	99	1843634	1869050	2087563	2087563	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
