Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	1997	83	83	1		67	67			93745	93745	67	gov		W: AP	Estimate of 83 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-S-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	1998	96	96	1		71	71			92040	92040	71	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	1999	98	98	1	64	64	64	57332	89376	90050	90050	64	gov	98	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 98 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	2000	89	89	1	61	61	61	53298	87463	90648	90648	61	gov		C:	Reported data calibrated to 1999 and 2001 levels.    Estimate challenged by: D-R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	2001	91	91	1	59	70	70	63785	107998	89897	89897	70	gov	91	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 91 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	2002	94	94	1	64	75	75	71068	111237	95036	95036	75	gov		C:	Reported data calibrated to 2001 and 2005 levels.    Estimate challenged by: D-R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	2003	97	97	1	64	80	80	72820	114577	96249	96249	80	gov		C:	Reported data calibrated to 2001 and 2005 levels.    Estimate challenged by: D-R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	2004	99	99	1	69	85	85	80823	118015	103172	103172	85	gov		C:	Reported data calibrated to 2001 and 2005 levels.    Estimate challenged by: D-R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	2005	99	99	1	73	85	85	88355	121555	104107	104107	85	gov	99	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 99 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	2006	99	99	1	68	90	90	85759	125192	105300	105300	90	gov		C:	Reported data calibrated to 2005 and 2007 levels.    Estimate challenged by: D-R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	2007	99	99	1	67	90	90	86006	128958	103609	103609	90	gov		W: AP	Estimate of 99 percent assigned by working group.  Estimate based on survey result which does not support reported level of coverage for other antigens.   Estimate challenged by: D-R-	
Eritrea	Wed Sep 06 18:45:40 2023	eri	bcg	2008	95	95	1	66	90	90	87882	132824	103900	103900	90	gov	95	W: AP	Estimate of 95 percent assigned by working group.  Estimate is based on survey coverage.   Estimate challenged by: D-R-	
