Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	1997	98	98	1						367907	367907	98	extrapolated		R: AP	Legacy estimate.   GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	1998	98	98	1						365722	365722	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	1999	98	98	1						380293	380293	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2000	98	98	1						398233	398233	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2001	98	98	1						404855	404855	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2002	98	98	1						412505	412505	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2003	98	98	1						434778	434778	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2004	98	98	1						449701	449701	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2005	98	98	1						460367	460367	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2006	98	98	1						475473	475473	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2007	98	98	1						487973	487973	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2008	98	98	1						514286	514286	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2009	98	98	1						493585	493585	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2010	98	98	1						486521	486521	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2011	98	98	1						472229	472229	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2012	98	98	1						455530	455530	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2013	98	98	1						428055	428055	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2014	98	98	1						425950	425950	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2015	98	98	1						417745	417745	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2016	98	98	1						407102	407102	98	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2017	98	98	2	98		98	387231	395438	389062	389062	98	admin		R:	Estimate informed by reported administrative data.   Schedule change in 2017 from DTaP-IPV-Hib-HepB recommended at 2-4-6 months to 2-4-11 months. Reported coverage reflects the 2nd dose as the programme does not monitor 1st dose coverage.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2018	98	98	2	98	98	98	375373	382450	367754	367754	98	gov		R:	Estimate informed by reported data.  Reported coverage reflects the 2nd dose as the programme does not monitor 1st dose coverage.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2019	98	98	2	98	98	98	375373	382450	354681	354681	98	gov		R:	Estimate informed by reported data.  Reported data based on provisional information and incomplete reporting. Data are available online at https://www.mscbs.gob.es/profesionales/saludPublica/prevPromocion/vacunaciones/. Reported coverage reflects the 2nd dose as the programme does not monitor 1st dose coverage.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2020	98	98	2	98	98	98	336462	344996	352000	352000	98	gov		R:	Estimate informed by reported data.  Serosurvey 2017-2018 (Rev Esp Salud Pública. 2021. Vol. 95. March 18th e1-5) includes estimated prevalence for some vaccine-preventable diseases, however, the report presents data in a format that does not allow obtaining coverage levels by single year age cohorts.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2021	96	96	1	96	96	96	300308	313477	357652	357652	96	gov		R:	Estimate informed by reported data.  Reported data for 2021 are preliminary. Efforts are ongoing at regional levels to implement catch-up activities for children not vaccinated due to the COVID-19 pandemic. The reported target population of infants has declined about 18 percent between 2019 and 2021.  Estimate challenged by: D-	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp1	2022	98		2	98	98	98	314620	322165	356359	356359	98	gov		R:	Estimate informed by reported data.  No nationally representative independent assessment within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	1997	94	94	2	94	94	94			367907	367907	94	gov		R: AP	Legacy estimate.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	1998	95	95	2	95	95	95			365722	365722	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	1999	95	95	2	95	95	95			380293	380293	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2000	95	95	2	95	95	95	351555	369456	398233	398233	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2001	96	96	2	96	96	96			404855	404855	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2002	98	98	2	98	98	98	394951	410634	412505	412505	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2003	98	98	2	98	98	98	395902	403859	434778	434778	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2004	97	97	2	97	97	97	440360	456829	449701	449701	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2005	96	96	2	96	96	96	475384	494286	460367	460367	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2006	98	98	2	98	98	98	474792	486690	475473	475473	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2007	96	96	2	96	96	96	478072	496331	487973	487973	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2008	97	97	2	97	97	97	480971	496453	514286	514286	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2009	96	96	1	96	96	96	408449	425776	493585	493585	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2010	97	97	2	97	97	97	462665	479144	486521	486521	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2011	97	97	2	97	97	97	435461	435461	472229	472229	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2012	96	96	2	96	96	96	439526	456561	455530	455530	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2013	96	96	2	96	96	96	421557	441111	428055	428055	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2014	97	97	2	97	97	97	400305	414606	425950	425950	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2015	97	97	2	97	97	97	398982	413414	417745	417745	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2016	97	97	2	97	97	97	395002	406354	407102	407102	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2017	95	95	2	95	95	95	376720	397213	389062	389062	95	gov		R:	Estimate informed by reported data.  Schedule change in 2017 from DTaP-IPV-Hib-HepB recommended at 2-4-6 months to 2-4-11 months. Reported coverage reflects the 1st booster dose recommended at 11 months.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2018	96	96	2	96	96	96	345351	369679	367754	367754	96	gov		R:	Estimate informed by reported data.  Reported coverage reflects the 1st booster dose recommended at 11 months.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2019	95	95	2	95	95	95	317345	334932	354681	354681	95	gov		R:	Estimate informed by reported data.  Reported data based on provisional information and incomplete reporting. Data are available online at https://www.mscbs.gob.es/profesionales/saludPublica/prevPromocion/vacunaciones/. Reported coverage reflects the 1st booster dose recommended at 11 months.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2020	94	94	2	94	94	94	319368	338622	352000	352000	94	gov		R:	Estimate informed by reported data.  Serosurvey 2017-2018 (Rev Esp Salud Pública. 2021. Vol. 95. March 18th e1-5) includes estimated prevalence for some vaccine-preventable diseases, however, the report presents data in a format that does not allow obtaining coverage levels by single year age cohorts.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2021	92	92	2	92	92	92	302881	327822	357652	357652	92	gov		R:	Estimate informed by reported data.  Reported data for 2021 are preliminary. Efforts are ongoing at regional levels to implement catch-up activities for children not vaccinated due to the COVID-19 pandemic. The reported target population of infants has declined about 18 percent between 2019 and 2021.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	dtp3	2022	93		2	93	93	93	300541	322165	356359	356359	93	gov		R:	Estimate informed by reported data.  No nationally representative independent assessment within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	1997	84	84	2	84	84	84			367907	367907	84	gov		R: AP	Legacy estimate.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	1998	81	81	2	81	81	81			365722	365722	81	gov		R:	Estimate informed by reported data.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	1999	80	80	2	80	80	80			380293	380293	80	gov		R:	Estimate informed by reported data.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2000	77	77	2	77	77	77	332699	412413	398233	398233	77	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2001	83	83	2	83	83	83			404855	404855	83	gov		R:	Estimate informed by reported data.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2002	82	82	2	82	82	82			412505	412505	82	gov		R:	Estimate informed by reported data.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2003	81	81	2	81	81	81			434778	434778	81	gov		R:	Estimate informed by reported data.   GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2004	97	97	2	97	97	97	441501	456829	449701	449701	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2005	96	96	2	96	96	96	475247	494286	460367	460367	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2006	97	97	2	97	97	97	469961	486690	475473	475473	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2007	96	96	2	96	96	96	477694	496331	487973	487973	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2008	97	97	2	97	97	97	479787	496453	514286	514286	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2009	96	96	1	96	96	96	406581	425776	493585	493585	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2010	97	97	2	97	97	97	462337	479144	486521	486521	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2011	97	97	2	97	97	97	433683	435461	472229	472229	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2012	96	96	2	96	96	96	415067	431493	455530	455530	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2013	95	95	2	95	95	95	420151	441111	428055	428055	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2014	96	96	2	96	96	96	398700	414606	425950	425950	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2015	97	97	2	97	97	97	399389	413568	417745	417745	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2016	97	97	2	97	97	97	395310	406508	407102	407102	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2017	94	94	2	95	94	94	359358	380121	389062	389062	94	gov		R:	Estimate informed by reported data.  Programme reports ten months vaccine stockout. Schedule change in 2017 from DTaP-IPV-Hib-HepB recommended at 2-4-6 months to 2-4-11 months. Reported coverage reflects the 1st booster dose recommended at 11 months.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2018	96	96	2	96	96	96	345545	369679	367754	367754	96	gov		R:	Estimate informed by reported data.  Reported coverage reflects the 1st booster dose recommended at 11 months.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2019	95	95	2	95	95	95	317209	334932	354681	354681	95	gov		R:	Estimate informed by reported data.  Reported data based on provisional information and incomplete reporting. Data are available online at https://www.mscbs.gob.es/profesionales/saludPublica/prevPromocion/vacunaciones/. Reported coverage reflects the 1st booster dose recommended at 11 months.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2020	94	94	2	94	94	94	319212	338622	352000	352000	94	gov		R:	Estimate informed by reported data.  Serosurvey 2017-2018 (Rev Esp Salud Pública. 2021. Vol. 95. March 18th e1-5) includes estimated prevalence for some vaccine-preventable diseases, however, the report presents data in a format that does not allow obtaining coverage levels by single year age cohorts.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2021	92	92	2	92	92	92	302852	327822	357652	357652	92	gov		R:	Estimate informed by reported data.  Reported data for 2021 are preliminary. Efforts are ongoing at regional levels to implement catch-up activities for children not vaccinated due to the COVID-19 pandemic. The reported target population of infants has declined about 18 percent between 2019 and 2021.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hepb3	2022	93		2	93	93	93	300449	322165	356359	356359	93	gov		R:	Estimate informed by reported data.  No nationally representative independent assessment within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage.  GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	1998	82	82	2	82	82	82			365722	365722	82	gov		R:	Estimate informed by reported data.   Hib vaccine introduced in 1998.  GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	1999	82	82	2	82	82	82			380293	380293	82	gov		R:	Estimate informed by reported data.    GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2000	92	92	1	92	92	92	318085	369456	398233	398233	92	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2001	96	96	2	96	96	96			404855	404855	96	gov		R:	Estimate informed by reported data.    GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2002	97	97	2	97	97	97	377819	410634	412505	412505	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2003	98	98	2	98	98	98			434778	434778	98	gov		R:	Estimate informed by reported data.    GoC=R+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2004	97	97	2	97	97	97	439662	456829	449701	449701	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2005	96	96	2	96	96	96	474692	494286	460367	460367	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2006	98	98	2	98	98	98	474571	486690	475473	475473	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2007	96	96	2	96	96	96	477879	496331	487973	487973	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2008	97	97	2	97	97	97	480763	496453	514286	514286	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2009	96	96	1	96	96	96	408449	425776	493585	493585	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2010	97	97	2	97	97	97	462665	479144	486521	486521	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2011	97	97	2	97	97	97	435461	435461	472229	472229	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Spain	Wed Sep 06 18:45:48 2023	esp	hib3	2012	96	96	2	97	96	96	417253	431493	455530	455530	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
