Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	1997	99	99	2	99	99	99			12726	12726	99	gov		R: AP	Legacy estimate.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	1998	99	99	2	99	99	99			12340	12340	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	1999	99	99	2	99	99	99			12425	12425	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2000	99	99	1	100	100	100	1201	12100	13030	13030	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2001	99	99	2	100	100	100	12666	12722	12700	12700	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2002	99	99	2	99	99	99	12159	12297	12998	12998	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2003	99	99	2	100	100	100	12634	12689	13088	13088	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2004	99	99	2	99	99	99	12857	12978	13985	13985	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2005	99	99	2	99	99	99	12919	13046	14395	14395	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2006	99	99	1	99	99	99	13295	13486	14950	14950	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2007	98	98	1	98	98	98	13836	14052	15765	15765	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2008	98	98	2	98	98	98	14341	14594	16031	16031	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2009	97	97	2	97	97	97	13770	14173	15810	15810	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2010	97	97	2	97	97	97	14004	14475	15804	15804	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2011	99	99	2	99	99	99	13269	13476	14756	14756	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2012	97	97	2	97	97	97	12418	12817	14099	14099	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2013	96	96	2	96	96	96	12044	12556	13593	13593	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2014	95	95	2	95	95	95	11821	12433	13573	13573	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2015	95	95	2	96	95	95	12146	12715	13789	13789	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2016	95	95	2	95	95	95	12129	12741	14023	14023	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2017	94	94	2	94	94	94	11614	12294	13813	13813	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2018	92	92	2	92	92	92	11957	12983	14282	14282	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2019	92	92	2	92	92	92	11664	12593	14158	14158	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2020	91	91	1	91	91	91	10743	11791	13902	13902	91	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2021	90	90	1	90	90	90	10706	11853	13639	13639	90	gov		R:	Estimate informed by reported data.  Reported target population is the number of children born in maternity hospitals during 2019.  Estimate challenged by: D-	
Estonia	Wed Sep 06 18:45:56 2023	est	bcg	2022	86		1	77	78	78	10312	13312	13422	13422	90	extrapolated		W:	 Estimate informed by the relative change in reported number of doses administered between 2021 and 2022 applied to the estimated coverage level for 2021. Reported target population change between 2021 and 2022 is unexplained. Reported data excluded due to sudden change in coverage from 90 level to 78 percent.  Beginning in 2022, reported data are obtained from the health information system within which vaccinators are obliged to send notifications. No vaccination coverage survey in the last 5 years. WHO and UNICEF recommend an independent assessment of the reported vaccination coverage.  Estimate challenged by: R-	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	1997	96	96	2	96	96	96			12726	12726	96	gov		R: AP	Legacy estimate.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	1998	97	97	2	97	97	97			12340	12340	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	1999	98	98	2	98	98	98			12425	12425	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2000	96	96	2	96	96	96			13030	13030	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2001	99	99	2	99	99	99			12700	12700	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2002	99	99	2	99	99	99			12998	12998	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2003	99	99	2	99	99	99			13088	13088	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2004	98	98	2	98	98	98	12398	12698	13985	13985	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2005	99	99	2	99	99	99	13329	13482	14395	14395	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2006	98	98	2	98	98	98	13603	13887	14950	14950	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2007	98	98	2	98	98	98	13987	14339	15765	15765	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2008	97	97	2	97	97	97	14726	15166	16031	16031	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Estonia	Wed Sep 06 18:45:56 2023	est	dtp1	2009	97	97	2	97	97	97	14978	15431	15810	15810	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
