Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	1997	54	54	1		52	52			2864920	2864920	52	gov		W: AP	Estimate of 54 percent assigned by working group. Legacy estimate. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	1998	54	54	1		47	47			2894639	2894639	53	interpolated		C:	Reported data calibrated to 1997 and 1999 levels.  Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  Estimate challenged by: R-	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	1999	54	54	3	80	50	50	1297757	1625757	2945809	2945809	54	interpolated	46	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 46 percent based on 1 survey(s).  Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  GoC=R+ S+ D+	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	2000	56	56	1	51	51	51	1363540	2683325	2984415	2984415	56	interpolated		R:	Estimate informed by interpolation between reported data.  National EPI Coverage Survey, Ethiopia 2000, 2001 results ignored by working group.  Survey results inconsistent with other data.Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  Estimate challenged by: D-	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	2001	57	57	1	56	56	56	1466834	2613759	3039805	3039805	57	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  Estimate challenged by: S-	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	2002	58	58	3	55	55	55	1485164	2711403	3084587	3084587	58	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  GoC=R+ S+ D+	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	2003	59	59	3	57	57	57	1582344	2780157	3095976	3095976	59	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  GoC=R+ S+ D+	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	2004	60	60	3	67	67	67	1886968	2842640	3137819	3137819	60	interpolated	60	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 60 percent based on 1 survey(s).  Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  GoC=R+ S+ D+	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	2005	64	64	1	67	67	67	1954940	2904831	3177441	3177441	62	interpolated		C:	Reported data calibrated to 2004 and 2011 levels.  EPI Coverage Cluster Sampling Survey 2006 Ethiopia results ignored by working group.  Survey results inconsistent with other data.Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  Estimate challenged by: R-	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	2006	66	66	1	72	72	72	2160597	2997056	3207115	3207115	63	interpolated		C:	Reported data calibrated to 2004 and 2011 levels.  Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  Estimate challenged by: R-	
Ethiopia	Wed Sep 06 18:46:04 2023	eth	bcg	2007	69	69	1	72	72	72	2253029	3113697	3240151	3240151	64	interpolated		C:	Reported data calibrated to 2004 and 2011 levels.  Reported data excluded.  See comment in 2013 regarding deficiencies in administrative reporting system.  Estimate challenged by: R-	
