Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	1997	99	99	2		99	99			59078	59078	99	gov		R: AP	Legacy estimate.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	1998	99	99	2		99	99			57551	57551	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	1999	99	99	2		99	99			57503	57503	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	2000	99	99	2		99	99			56710	56710	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	2001	99	99	2		99	99			55887	55887	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	2002	99	99	2		99	99			55530	55530	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	2003	98	98	2		98	98			56342	56342	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	2004	98	98	2		98	98			57561	57561	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	2005	98	98	2		98	98			57477	57477	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	bcg	2006	98	98	2		98	98			58606	58606	98	gov		R:	Estimate informed by reported data.  Since September 2006, BCG is recommended for high-risk children under 7 years old only. WHO UNICEF estimates for infant immunization coverage discontinued.  GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	1997	99	99	1						59078	59078	99	extrapolated		R: AP	Legacy estimate.   GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	1998	99	99	1						57551	57551	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	1999	99	99	1						57503	57503	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2000	99	99	1						56710	56710	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2001	99	99	2		99	99			55887	55887	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2002	99	99	2		99	99			55530	55530	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2003	98	98	2		98	98			56342	56342	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2004	98	98	2		98	98			57561	57561	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2005	99	99	2		99	99			57477	57477	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2006	99	99	2		99	99			58606	58606	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2007	99	99	2		99	99			58614	58614	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2008	99	99	2		99	99			59353	59353	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2009	99	99	2		99	99			60232	60232	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2010	99	99	1						60636	60636	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2011	99	99	1						59822	59822	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2012	99	99	1						59367	59367	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2013	99	99	1						57973	57973	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2014	99	99	1						56973	56973	99	interpolated		R:	Estimate informed by interpolation between reported data.   Programme notes that reported data are based on a random sample of 1000 children born in 2009 using data on vaccination through two years of age. Vaccination coverage is partially derived from electronic vaccination registers with further verification with child welfare clinics.  GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2015	99	99	1						55285	55285	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2016	99	99	2		99	99			52673	52673	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2017	98	98	2		98	98			50169	50169	98	gov		R:	Estimate informed by reported data.  Official coverage based on national vaccination register. Vaccination data for the Finnish Vaccination Register is collected from patient data systems following the data model of the National Patient Data Archive.  GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2018	99	99	2		99	99			47532	47532	99	gov		R:	Estimate informed by reported data.  Official coverage based on national vaccination register. Vaccination data for the Finnish Vaccination Register is collected from patient data systems following the data model of the National Patient Data Archive.  GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2019	98	98	2		98	98			45790	45790	98	gov		R:	Estimate informed by reported data.  Official coverage based on national vaccination register. Vaccination data for the Finnish Vaccination Register is collected from patient data systems following the data model of the National Patient Data Archive.  GoC=R+	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2020	98	98	1						46241	46241	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Finland	Wed Sep 06 18:46:15 2023	fin	dtp1	2021	98	98	2		98	98			46891	46891	98	gov		R:	Estimate informed by reported data.   GoC=R+	
