Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	1997	95	95	2		95	95			20505	20505	95	gov		R: AP	Legacy estimate.   GoC=R+	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	1998	95	95	1		95	95			20266	20266	95	gov		W-I:	Estimate informed by interpolation between 1997 and 2007 levels.  Unexplained temporal change in numerator and denominator levels. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	1999	96	96	1						20298	20298	97	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2007 levels.  Unexplained temporal change in numerator and denominator levels.   GoC=No accepted empirical data	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	2000	96	96	1						20338	20338	98	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2007 levels.  Unexplained temporal change in numerator and denominator levels.   GoC=No accepted empirical data	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	2001	97	97	1	99	100	100	17111	17366	20512	20512	100	gov		W-I:	Estimate informed by interpolation between 1997 and 2007 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	2002	97	97	1	97	100	100	16690	17222	20703	20703	100	gov		W-I:	Estimate informed by interpolation between 1997 and 2007 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	2003	97	97	1		100	100			20888	20888	100	gov		W-I:	Estimate informed by interpolation between 1997 and 2007 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: R-	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	2004	98	98	1	93	93	93	16450	17668	20939	20939	93	gov		W-I:	Estimate informed by interpolation between 1997 and 2007 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	2005	98	98	1	89	90	90	15764	17714	20900	20900	90	gov		W-I:	Estimate informed by interpolation between 1997 and 2007 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Fiji	Wed Sep 06 18:46:26 2023	fji	bcg	2006	99	99	1	93		93	16799	17983	21327	21327	93	admin		W-I:	Estimate informed by interpolation between 1997 and 2007 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
