Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
France	Wed Sep 06 18:46:50 2023	fra	bcg	1997	82	82	2		82	82			716452	716452	82	gov		R: AP	Legacy estimate.   GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	1998	81	81	2		81	81			736036	736036	81	gov		R:	Estimate informed by reported data.   GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	1999	83	83	2		83	83			745896	745896	83	gov		R:	Estimate informed by reported data.   GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	2000	83	83	2		83	83			769371	769371	83	gov		R:	Estimate informed by reported data.   GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	2001	84	84	2		84	84			765903	765903	84	gov		R:	Estimate informed by reported data.   GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	2002	85	85	2		85	85			755800	755800	85	gov		R:	Estimate informed by reported data.   GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	2003	84	84	2		84	84			754800	754800	84	gov		R:	Estimate informed by reported data.   GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	2004	85	85	2		85	85			761183	761183	85	gov		R:	Estimate informed by reported data.   GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	2005	81	81	2		81	81			765396	765396	81	gov		R:	Estimate informed by reported data.   GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	2006	83	83	2		83	83			786426	786426	83	gov		R:	Estimate informed by reported data.  Production of multiple injection device was halted in January 2006 leading to a dramatic decrease in coverage in children born in 2006 (year of assessment 2008).  GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	bcg	2007	78	78	2		78	78			776024	776024	78	gov		R:	Estimate informed by reported data.  BCG vaccination was universal and mandatory until July 2007. From July 2007 onwards, BCG has been only recommended to high risk groups. WHO UNICEF estimates for infant immunization coverage discontinued.  GoC=R+	
France	Wed Sep 06 18:46:50 2023	fra	dtp1	1997	99	99	1						716452	716452	99	extrapolated		R: AP	Legacy estimate.   GoC=No accepted empirical data	
France	Wed Sep 06 18:46:50 2023	fra	dtp1	1998	99	99	1						736036	736036	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
France	Wed Sep 06 18:46:50 2023	fra	dtp1	1999	99	99	1						745896	745896	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
France	Wed Sep 06 18:46:50 2023	fra	dtp1	2000	99	99	1						769371	769371	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
France	Wed Sep 06 18:46:50 2023	fra	dtp1	2001	99	99	1						765903	765903	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
