Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	1997	48	48	2		48	48			3646	3646	48	gov		R: AP	Legacy estimate.   GoC=R+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	1998	52	52	2		52	52			3642	3642	52	gov		R:	Estimate informed by reported data.   GoC=R+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	1999	39	39	1	39	39	39	621	1596	3605	3605	39	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2000	24	24	2	24	24	24	614	3055	3556	3556	24	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2001	39	39	2	39	39	39	1163	2957	3441	3441	39	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2002	52	52	1						3313	3313	52	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2003	64	64	1	64	64	64	1714	2938	3210	3210	64	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2004	62	62	2	62	62	62	2163	3500	3124	3124	62	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2005	70	70	2	70	70	70	2168	3093	3034	3034	70	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2006	55	55	2	55		55	1492	2704	2925	2925	55	admin		R:	Estimate informed by reported administrative data.   Decline in 2006 attributed to vaccine shortage.  GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2007	82	82	1	74	82	82	1968	2650	2826	2826	82	gov		R:	Estimate informed by reported data.  Increase in 2007 attributed to catch-up following vaccine shortage in 2006  Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2008	79	79	1						2737	2737	79	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2009	75	75	2	75	75	75	1890	2582	2656	2656	75	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2010	70	70	2		70	70			2570	2570	70	gov		R:	Estimate informed by reported data.   GoC=R+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2011	75	75	2	75	75	75	1878	2488	2545	2545	75	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2012	78	78	2	78	78	78	1860	2377	2505	2505	78	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2013	70	70	2	70	70	70	1696	2410	2478	2478	70	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2014	73	73	2	89	89	89	1695	1902	2444	2444	73	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Programme reports underreporting of birth-related data from health facilities. Administrative coverage reflects coverage among a subset of births during 2013.Reported data excluded due to an increase from 70 percent to 89 percent with decrease 76 percent.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2015	76	76	2	76	76	76	1735	2290	2408	2408	76	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2016	85	85	1	85	85	85	1794	2104	2402	2402	85	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2017	83	83	1	83	83	83	1679	2029	2383	2383	83	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2018	80	80	1	80	80	80	1638	2060	2365	2365	80	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2019	77	77	1	77	77	77	1562	2028	2359	2359	77	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2020	84	84	1	84	84	84	1553	1857	2343	2343	84	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2021	59	59	1	59	59	59	1027	1736	2357	2357	59	gov		R:	Estimate informed by reported data.  Reported data accepted for consistency across antigens with no explanation for the decline in reported coverage.  Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	bcg	2022	75		1	75	77	75	1290	1731	2368	2368	75	admin		R:	Estimate informed by reported administrative data.   Although a 2018 Kosrae and Pohnpei Childhood Vaccination Coverage Survey has been noted in the past, no report has been made available. In the absence of a nationally representative household coverage survey within the last 5 years, WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage. Consistency with other vaccine doses. Country indicates that difference in reported official and administrative coverage data derives from differences in target population. Official coverage is based on the number of children who are registered in FSM WebIZ, that is who attended at least one vaccination session. In previous years admin and official coverage levels were the same. Programme notes challenges with oversight of data and highlights challenges with data quality.  Estimate challenged by: D-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	1997	91	91	1						3646	3646	95	extrapolated		W: AP	Estimate of 91 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	1998	91	91	1						3642	3642	95	extrapolated		C:	Reported data calibrated to 1997 and 2010 levels.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	1999	92	92	1						3605	3605	95	extrapolated		C:	Reported data calibrated to 1997 and 2010 levels.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2000	92	92	1		95	95		3055	3556	3556	95	gov		C:	Reported data calibrated to 1997 and 2010 levels.    Estimate challenged by: R-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2001	90	90	1					2957	3441	3441	92	interpolated		C:	Reported data calibrated to 1997 and 2010 levels.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2002	87	87	1						3313	3313	89	interpolated		C:	Reported data calibrated to 1997 and 2010 levels.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2003	97	97	1					2938	3210	3210	86	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2004	81	81	1	78	83	83	2742	3500	3124	3124	83	gov		C:	Reported data calibrated to 1997 and 2010 levels.    Estimate challenged by: R-	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2005	98	98	1						3034	3034	84	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 94.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2006	83	83	1						2925	2925	85	interpolated		C:	Reported data calibrated to 1997 and 2010 levels.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2007	86	86	1					2650	2826	2826	87	interpolated		C:	Reported data calibrated to 1997 and 2010 levels.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2008	87	87	1						2737	2737	88	interpolated		C:	Reported data calibrated to 1997 and 2010 levels.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2009	97	97	1						2656	2656	89	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 91.    GoC=No accepted empirical data	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2010	90	90	2		90	90			2570	2570	90	gov		R: AP	 Estimate based on reported data.   GoC=R+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2011	96	96	2	96	96	96	2368	2467	2545	2545	96	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2012	97	97	2	97	97	97	2251	2321	2505	2505	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2013	98	98	2	98	98	98	2316	2372	2478	2478	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Micronesia (Federated States of )	Wed Sep 06 18:46:58 2023	fsm	dtp1	2014	97	97	1	94	94	94	6404	6782	2444	2444	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Reported number of children vaccinated and target population data inconsistent with prior years. Reported data are a magnitude of 3x greater in 2014 than 2013.  Estimate challenged by: D-	
