Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	1997	90	90	1		72	72			40080	40080	72	gov		W: AP	Estimate of 90 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	1998	90	90	1		49	49			40837	40837	64	interpolated		W-I:	Estimate informed by interpolation between 1997 and 1999 levels.  WHO and UNICEF recommend a survey and/or data review to confirm current reported levels of coverage. Reported data excluded due to decline in reported coverage from 72 percent to 49 percent with increase to 60 percent.   Estimate challenged by: R-	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	1999	89	89	1	60	60	60	27914	46707	41532	41532	56	interpolated	89	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 89 percent based on 1 survey(s).   Reported data excluded due to an increase from 49 percent to 60 percent with decrease 48 percent.   Estimate challenged by: D-R-	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	2000	89	89	1	48	48	48	23448	48534	42563	42563	48	gov		W-I:	Estimate informed by interpolation between 1999 and 2011 levels.  Fluctuating and inconsistent data across antigens suggest poor reporting.   Estimate challenged by: D-R-	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	2001	90	90	1	39	39	39	19509	50424	43425	43425	39	gov		W-I:	Estimate informed by interpolation between 1999 and 2011 levels.  Fluctuating and inconsistent data across antigens suggest poor reporting.   Estimate challenged by: D-R-	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	2002	90	90	1	55	55	55	28700	52425	44343	44343	55	gov		W-I:	Estimate informed by interpolation between 1999 and 2011 levels.  Fluctuating and inconsistent data across antigens suggest poor reporting.   Estimate challenged by: D-R-	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	2003	91	91	1	60	51	51	32480	54590	45246	45246	51	gov		W-I:	Estimate informed by interpolation between 1999 and 2011 levels.  Fluctuating and inconsistent data across antigens suggest poor reporting.   Estimate challenged by: D-R-	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	2004	91	91	1	43	45	45	24666	56790	46338	46338	45	gov		W-I:	Estimate informed by interpolation between 1999 and 2011 levels.  Fluctuating and inconsistent data across antigens suggest poor reporting.   Estimate challenged by: D-R-	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	2005	92	92	1	53	53	53	31069	59160	47591	47591	53	gov		W-I:	Estimate informed by interpolation between 1999 and 2011 levels.  Fluctuating and inconsistent data across antigens suggest poor reporting.   Estimate challenged by: D-R-	
Gabon	Wed Sep 06 18:47:11 2023	gab	bcg	2006	92	92	1	56	56	56	32283	57952	48944	48944	56	gov		W-I:	Estimate informed by interpolation between 1999 and 2011 levels.  Fluctuating and inconsistent data across antigens suggest poor reporting.   Estimate challenged by: D-R-	
