Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	1997	97	97	1						723360	723360				RMF	Estimate based on DTP3 coverage of 92.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	1998	97	97	1						713633	713633				RMF	Estimate based on DTP3 coverage of 91.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	1999	97	97	1						697052	697052				RMF	Estimate based on DTP3 coverage of 92.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2000	97	97	1						676427	676427				RMF	Estimate based on DTP3 coverage of 91.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2001	97	97	1						667031	667031				RMF	Estimate based on DTP3 coverage of 91.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2002	97	97	1						668008	668008				RMF	Estimate based on DTP3 coverage of 91.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2003	97	97	1						693324	693324				RMF	Estimate based on DTP3 coverage of 91.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2004	97	97	1						712471	712471				RMF	Estimate based on DTP3 coverage of 92.   Reported childhood vaccination coverage is calculated using data extracted from national population based computerized registers which represent all children and collated centrally.  GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2005	97	97	1						717886	717886				RMF	Estimate based on DTP3 coverage of 91.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2006	97	97	1						740640	740640				RMF	Estimate based on DTP3 coverage of 92.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2007	97	97	1						765384	765384				RMF	Estimate based on DTP3 coverage of 92.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2008	97	97	1						785489	785489				RMF	Estimate based on DTP3 coverage of 92.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2009	97	97	1						785284	785284				RMF	Estimate based on DTP3 coverage of 93.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2010	98	98	1						800876	800876				RMF	Estimate based on DTP3 coverage of 94.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2011	98	98	1						804222	804222				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2012	98	98	1						809031	809031				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2013	98	98	1						780843	780843				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2014	98	98	1						777766	777766				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2015	98	98	1						780094	780094				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2016	98	98	1						777997	777997				RMF	Estimate based on DTP3 coverage of 94.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2017	98	98	1						756659	756659				RMF	Estimate based on DTP3 coverage of 94.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2018	98	98	1						731289	731289				RMF	Estimate based on DTP3 coverage of 94.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2019	97	97	1						709079	709079				RMF	Estimate based on DTP3 coverage of 93.    GoC=No accepted empirical data	
United Kingdom of Great Britain and Northern Ireland	Wed Sep 06 18:47:19 2023	gbr	dtp1	2020	97	97	1						678528	678528				RMF	Estimate based on DTP3 coverage of 93.   The data reported for 2020 reflects the fiscal year 2019-2020, ending in March 2020. Thus, the data do not reflect disruptions resulting from COVID-19. Reports published by Public Health England suggest declines for several weeks in 2020 compared to 2019. This was being updated periodically https://www.gov.uk/government/publications/covid-19-impact-on-vaccination-programmes.  GoC=No accepted empirical data	
