Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	1997	76	76	1		76	76			61641	61641	76	gov		R: AP	Legacy estimate.   Estimate challenged by: S-	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	1998	94	94	2		94	94			57893	57893	94	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=R+ S+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	1999	95	95	1	72	95	95	36769	51117	54338	54338	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2000	95	95	1	80	95	95	43943	55000	51894	51894	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2001	94	94	2	94	94	94	42628	46765	49423	49423	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2002	91	91	2	91	91	91	41073	44730	48255	48255	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2003	87	87	2	86	87	87	38537	45033	47638	47638	87	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2004	91	91	2	91	91	91	42021	46299	48941	48941	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2005	95	95	2	95	95	95	46622	48920	49647	49647	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2006	95	95	2	95	95	95	46266	48917	49960	49960	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2007	96	96	2	96	96	96	47847	49666	51480	51480	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2008	95	95	2	95	95	95	53195	55748	54168	54168	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2009	95	95	2	95	95	95	59676	62532	57275	57275	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2010	96	96	2	96	96	96	59565	61670	58164	58164	96	gov		R:	Estimate informed by reported data.  Official estimates are based on district level house to house survey data.  GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2011	96	96	2	96	96	96	55949	58277	57277	57277	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2012	95	95	2	95	95	95	54729	57674	56664	56664	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2013	95	95	2	95	95	95	55759	58578	57392	57392	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2014	96	96	2	96	96	96	58370	60539	58418	58418	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2015	96	96	2	96	96	96	57148	59854	59661	59661	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Georgia	Wed Sep 06 18:47:27 2023	geo	bcg	2016	98	98	2	98	98	98	54760	56157	58419	58419	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
