Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	1997	88	88	1		72	72			644464	644464	72	gov	84	W: AP	Estimate of 88 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	1998	90	90	1		77	77			660465	660465	77	gov		C:	Reported data calibrated to 1997 and 2002 levels.    Estimate challenged by: R-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	1999	98	98	1	84	88	88	656107	776899	679681	679681	88	gov		C:	Reported data calibrated to 1997 and 2002 levels.    Estimate challenged by: R-S-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2000	99	99	1	94	94	94	695659	736490	705624	705624	94	gov		C:	Reported data calibrated to 1997 and 2002 levels.    Estimate challenged by: R-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2001	94	94	1	91		91	689819	773410	719162	719162	91	admin		C:	Reported data calibrated to 1997 and 2002 levels.    Estimate challenged by: R-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2002	92	92	1	137		137	763405	558519	733089	733089	92	interpolated	91	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).  Reported data excluded because 137 percent greater than 100 percent. Reported data excluded due to an increase from 91 percent to 137 percent with decrease 92 percent.   Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2003	92	92	3	92	92	92	755464	821176	744853	744853	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2004	92	92	1	92	92	92	775115	844107	756056	756056	92	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2005	99	99	1	100	100	100	869897	867757	784717	784717	100	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2006	99	99	1	100	100	100	888556	892157	787770	787770	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2007	99	99	1	100	100	100	938488	916559	795211	795211	100	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2008	99	99	1	103	103	103	967579	943326	807389	807389	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2009	99	99	1	104	100	100	1008183	971078	822721	822721	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2010	99	99	1	102	100	100	1019676	998698	844348	844348	100	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2011	98	98	1	105	98	98	1070080	1020855	863884	863884	98	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2012	98	98	1	104	98	98	1082408	1037287	883449	883449	98	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2013	98	98	1	98	98	98	1047623	1063767	895716	895716	98	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2014	99	99	1	103	99	99	1122420	1091922	897736	897736	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2015	97	97	1	95	97	97	1063417	1118877	915988	915988	97	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).   Reported official government coverage based on 2014 DHS results.  Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2016	94	94	1	103	94	94	1171338	1132218	901955	901955	94	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).   Official estimate based on 2017 EPI coverage survey results.  Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2017	99	99	1	100	99	99	1161227	1158133	875587	875587	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2018	98	98	1	98	98	98	1166047	1184560	896502	896502	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Ghana	Wed Sep 06 18:47:35 2023	gha	bcg	2019	96	96	1	96	96	96	1158483	1211457	901018	901018	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
