Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	1997	76	76	1		69	69			345248	345248	69	gov		W: AP	Estimate of 76 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	1998	76	76	1		69	69			341967	341967	69	gov	76	W: AP	Estimate of 76 percent assigned by working group.  Estimate is based on survey results   Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	1999	82	82	1	72	72	72	225306	311350	346360	346360	72	gov	82	W: AP	Estimate of 82 percent assigned by working group.  Estimate is based on survey results   Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2000	81	81	1	71	71	71	227248	320068	348803	348803	71	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Trends between survey and reporting data are inconsistent across antigens.   Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2001	81	81	1	75	71	71	246378	329030	349494	349494	71	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Trends between survey and reporting data are inconsistent across antigens.   Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2002	80	80	1	71	71	71	240594	338243	348490	348490	71	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Trends between survey and reporting data are inconsistent across antigens. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2003	80	80	1	78	78	78	272949	347714	352766	352766	78	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Trends between survey and reporting data are inconsistent across antigens.   Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2004	79	79	1	71	71	71	255730	358414	359010	359010	71	gov	79	W: AP	Estimate of 79 percent assigned by working group.  Estimate is based on survey results   Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2005	80	80	1	90	90	90	329863	368450	366366	366366	90	gov		W-I:	Estimate informed by interpolation between 2004 and 2006 levels.  Trends between survey and reporting data are inconsistent across antigens.   Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2006	81	81	1	90	90	90	339633	378766	372509	372509	90	gov	81	W: AP	Estimate of 81 percent assigned by working group.  Estimate is based on survey results   Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2007	84	84	1	91	91	91	359760	394605	380736	380736	91	gov		C:	Reported data calibrated to 2006 and 2010 levels.    Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2008	87	87	1	84	92	92	381359	456361	389586	389586	92	gov		C:	Reported data calibrated to 2006 and 2010 levels.   One-month vaccine shortage reported. Nationally reported data not sufficient to calculate stockout adjustment.  Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2009	91	91	1	93	93	93	390781	418232	398892	398892	93	gov		C:	Reported data calibrated to 2006 and 2010 levels.    Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2010	93	93	1	96	93	93	413719	431196	405021	405021	93	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    Estimate challenged by: S-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2011	82	82	1	100	93	100	443524	444563	410166	410166	100	admin	82	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 82 percent based on 1 survey(s).    Estimate follows trend in administrative coverage.  Estimate challenged by: D-R-S-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2012	77	77	1	84	84	84	386542	458345	415399	415399	84	admin		W-I:	Estimate informed by interpolation between 2011 and 2014 levels.  Unexplained temporal changes in reported numerator and denominator levels.  Decline in coverage may be attributable to 4 months vaccine shortage in all districts. Estimate follows trend in administrative coverage.  Estimate challenged by: D-R-S-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2013	71	71	1	99	95	99	467143	472564	422211	422211	83	interpolated		W-I:	Estimate informed by interpolation between 2011 and 2014 levels.  Unexplained temporal changes in reported numerator and denominator levels. Reported data excluded due to an increase from 84 percent to 99 percent with decrease 82 percent.  Estimate follows trend in administrative coverage.  Estimate challenged by: D-R-S-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2014	66	66	1	88	82	82	429711	487203	429939	429939	82	gov	66	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 66 percent based on 1 survey(s).   Guinea EPI coverage survey 2016 results ignored by working group.  Survey results are inconsistent internally and with 2016 MICS reporting results for same time period and does not seem to reflect coverage decrease due to Ebola crises. Programme notes disruptions in vaccination activity due to Ebola virus disease outbreak impacting 31 of 38 health districts and delays in procurement of vaccine. Intensification activities were conducted during end of 2014 in 19 health districts.  Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2015	72	72	1	85	75	75	368162	434512	440910	440910	82	extrapolated	72	W: AP	Estimate of 72 percent assigned by working group.  Estimate based on survey coverage. Reported data excluded.  Government reports decrease in the reported target population size compared to 2014 level with new census result. Reported official coverage is based on the 2012 DHS-MICS survey. Programme reports two months national level stockout.  Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2016	73	73	1	98	86	86	435797	444072	446491	446491	82	extrapolated	73	W: AP	Estimate of 73 percent assigned by working group.  Estimate based on survey coverage. Reported data excluded.  Unexplained temporal change in reported numerator and denominator values. Programme reports increases of 30 percent or greater in the number of children vaccinated between 2015 and 2016 due in part to challenges in recording and reporting.  Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2017	73	73	1	99	91	91	453480	456506	448594	448594	82	extrapolated		C:	Reported data calibrated to 2016 levels. Reported data excluded.  Unexplained temporal change in reported numerator and denominator values. Government official estimates are based on a 2017 vaccination coverage survey.  Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2018	73	73	1	102	91	91	491952	484162	451296	451296	82	extrapolated		C:	Reported data calibrated to 2016 levels. Reported data excluded.  Unexplained temporal change in reported numerator and denominator values. WHO and UNICEF recommend assessment of the routine monitoring system.  Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2019	73	73	1	95	85	85	470151	496011	456433	456433	82	extrapolated		C:	Reported data calibrated to 2016 levels. Reported data excluded.  Reported number of administered doses declined from 2018 to 2019 though it remains unclear from information available whether the reported declines reflect improvements in recording and reporting practices or a decline in service delivery. Programme reports subnational stockouts of all vaccines shown here. Programme has reviewed and revised administrative data for 2015-19 and notes efforts to continue improving data quality. The country has expressed interest to WHO and UNICEF for support on improving data quality in the near future.  Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2020	73	72	1	91	86	86	459068	502385	461563	461563	82	extrapolated		C:	Reported data calibrated to 2016 levels. Reported data excluded.  Estimates may not reflect actual changes in coverage as reported number of administered doses declined from 2019 to 2020. However, reported numerator and denominators have been inconsistent over time. Official coverage for the last three years follows an upwards trend, while administrative coverage and number of children vaccinated follows a declining trend for all vaccines recommended after birth. Estimate of 73 percent changed from previous revision value of 72 percent.  Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2021	73	72	1	92	80	80	473774	516296	465954	465954	82	extrapolated		C:	Reported data calibrated to 2016 levels. Reported data excluded.  Reported official coverage reflects an unexplained change relative to reported administrative coverage from prior years. Estimate of 73 percent changed from previous revision value of 72 percent.  Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	bcg	2022	73		1	68	70	70	362484	530466	469311	469311	82	extrapolated		C:	Reported data calibrated to 2016 levels. Reported data excluded.  Reported official coverage reflects adjustments that take into account outbreaks and stockouts of vaccine and syringes. However, further documentation is not provided. WHO and UNICEF encourage a data review alongside improvements to the immunization service delivery. No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage. The country conducted several catch-up activities during 2022 to reduce immunity gaps in persons that had been previously missed. The added proportion of infants from the 2021 cohort who were vaccinated in 2022 varied from 1.2 percent for BCG to 3.8 percent for measles. However, reported coverage shown here do not reflect the contribution of these catch-up activities. Programme reports a three months vaccine stockout at national and subnational levels.  Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	1997	72	72	1						345248	345248	67	extrapolated		W: AP	Estimate of 72 percent assigned by working group. Legacy estimate.   Estimate challenged by: S-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	1998	72	72	1						341967	341967	67	extrapolated	72	W: AP	Estimate of 72 percent assigned by working group.  Estimate is based on survey results   Estimate challenged by: S-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	1999	57	57	1						346360	346360	67	extrapolated	57	W: AP	Estimate of 57 percent assigned by working group.  Estimate is based on survey results   Estimate challenged by: S-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	2000	61	61	1	67	67	67	214446	320068	348803	348803	67	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Trends between survey and reporting data are inconsistent across antigens.   Estimate challenged by: R-S-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	2001	64	64	1	71	66	66	233613	329030	349494	349494	66	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Trends between survey and reporting data are inconsistent across antigens.   Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	2002	68	68	1	65	65	65	218929	338243	348490	348490	65	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Trends between survey and reporting data are inconsistent across antigens. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	2003	71	71	1	77	77	77	242217	316419	352766	352766	77	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Trends between survey and reporting data are inconsistent across antigens.   Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	2004	75	75	3	75	75	75	248135	328820	359010	359010	75	gov	77	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 77 percent based on 1 survey(s).    GoC=R+ S+ D+	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	2005	75	75	1	90	90	90	304484	338874	366366	366366	90	gov		W-I:	Estimate informed by interpolation between 2004 and 2006 levels.  Trends between survey and reporting data are inconsistent across antigens.   Estimate challenged by: R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	2006	75	75	1	99	99	99	345414	347492	372509	372509	99	gov	75	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 75 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	2007	76	76	1	96	96	96	346601	362023	380736	380736	96	gov		C:	Reported data calibrated to 2006 and 2010 levels.    Estimate challenged by: D-R-	
Guinea	Wed Sep 06 18:47:44 2023	gin	dtp1	2008	64	64	1	80		80	323545	405653	389586	389586	80	admin		C:	Reported data calibrated to 2006 and 2010 levels.   One-month vaccine shortage reported. Nationally reported data not sufficient to calculate stockout adjustment.  Estimate challenged by: D-R-S-	
