Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	1997	99	99	2	99		99			58168	58168	99	admin		R: AP	Legacy estimate.   GoC=R+ S+	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	1998	99	99	2	99		99			59877	59877	99	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded.  Unexplained temporal change in numerator and denominator levels.  GoC=R+ S+	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	1999	98	98	1	96		96	36095	41204	60986	60986	98	interpolated	93	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 93 percent based on 1 survey(s).  Reported data excluded.  Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	2000	99	99	1	97		97	53170	55385	62130	62130	98	interpolated		C:	Reported data calibrated to 1999 and 2001 levels.  Reported data excluded.  Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-R-	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	2001	99	99	1	84		84	48650	57711	63614	63614	97	interpolated	100	W: AP	Estimate of 99 percent assigned by working group.  Estimates based on survey results. Reported data excluded.  Unexplained temporal change in numerator and denominator levels.Reported data excluded due to decline in reported coverage from 97 percent to 84 percent with increase to 98 percent.   Estimate challenged by: D-R-	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	2002	99	99	1	88	98	98	52675	60135	64839	64839	97	interpolated		C:	Reported data calibrated to 2001 and 2004 levels.  Reported data excluded.  Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-R-	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	2003	99	99	1	85	98	98	50653	61416	66290	66290	97	interpolated		C:	Reported data calibrated to 2001 and 2004 levels.  Reported data excluded.  Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-R-	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	2004	99	99	1	88	100	100	57353	65292	68137	68137	96	interpolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimates based on survey results. Reported data excluded.  Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-R-	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	2005	99	99	1	83	100	100	56810	63948	70058	70058	96	interpolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimates based on survey results. Reported data excluded.  Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-R-	
Gambia	Wed Sep 06 18:47:59 2023	gmb	bcg	2006	97	97	1	84	100	100	61321	70892	72591	72591	95	interpolated		C:	Reported data calibrated to 2005 and 2009 levels.  Reported data excluded.  Unexplained temporal change in numerator and denominator levels.  Estimate challenged by: D-R-	
